NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AR	NA	0	0.5538935661315918	0.008330339	Yes	
row_1	CTXN1	NA	29	0.4266109764575958	0.012914896	Yes	
row_2	KIFC2	NA	53	0.40455251932144165	0.017494757	Yes	
row_3	ZNF704	NA	69	0.3982808589935303	0.02250358	Yes	
row_4	TESMIN	NA	77	0.3944709300994873	0.027978392	Yes	
row_5	TBX3	NA	87	0.39196476340293884	0.03328469	Yes	
row_6	FOXA1	NA	121	0.3839147388935089	0.03690006	Yes	
row_7	CCND1	NA	238	0.36108851432800293	0.034743037	Yes	
row_8	FZD4	NA	269	0.35673660039901733	0.03814589	Yes	
row_9	LMCD1	NA	279	0.3559023141860962	0.04290982	Yes	
row_10	RSPH1	NA	287	0.3553887605667114	0.047796853	Yes	
row_11	KLHDC9	NA	300	0.3538072109222412	0.052333042	Yes	
row_12	ONECUT2	NA	343	0.34948861598968506	0.054841958	Yes	
row_13	ELOVL2	NA	388	0.3449767231941223	0.057152197	Yes	
row_14	ARFGEF3	NA	390	0.3448632061481476	0.062273394	Yes	
row_15	SPATA2L	NA	449	0.34105077385902405	0.06360883	Yes	
row_16	HPN	NA	557	0.3333183825016022	0.061622858	Yes	
row_17	ELL3	NA	586	0.33145108819007874	0.06477625	Yes	
row_18	TAPT1	NA	601	0.3305957317352295	0.068832524	Yes	
row_19	DEPTOR	NA	609	0.33029234409332275	0.073342115	Yes	
row_20	VPS37C	NA	651	0.3279329240322113	0.07559226	Yes	
row_21	ZNF84	NA	673	0.3262951374053955	0.07912598	Yes	
row_22	MYB	NA	734	0.3225904405117035	0.080052964	Yes	
row_23	CREB3L4	NA	792	0.3195442259311676	0.08113037	Yes	
row_24	ABHD11	NA	800	0.319146990776062	0.08547234	Yes	
row_25	POLE	NA	806	0.318965882062912	0.0899424	Yes	
row_26	CACFD1	NA	913	0.3135789632797241	0.08772496	Yes	
row_27	UAP1L1	NA	922	0.3130473792552948	0.09190978	Yes	
row_28	C17orf58	NA	947	0.31214258074760437	0.09503443	Yes	
row_29	TRIM3	NA	950	0.31211933493614197	0.09959775	Yes	
row_30	PKP4	NA	955	0.31183192133903503	0.10402594	Yes	
row_31	IQCE	NA	979	0.3106803894042969	0.107194	Yes	
row_32	EPN3	NA	988	0.30996519327163696	0.11133247	Yes	
row_33	ARID3A	NA	1032	0.3082759380340576	0.113156155	Yes	
row_34	RALGPS1	NA	1054	0.3071663975715637	0.11640219	Yes	
row_35	KIF12	NA	1132	0.3045848608016968	0.11594639	Yes	
row_36	RND1	NA	1169	0.303097665309906	0.11815007	Yes	
row_37	KLHL22	NA	1180	0.30258917808532715	0.12204678	Yes	
row_38	FGFR4	NA	1200	0.3018566370010376	0.12534378	Yes	
row_39	CAMSAP3	NA	1213	0.3013193607330322	0.12909058	Yes	
row_40	RABEP2	NA	1215	0.3012946844100952	0.13355651	Yes	
row_41	DACH1	NA	1260	0.2999906539916992	0.13519019	Yes	
row_42	PRRT2	NA	1347	0.2970576584339142	0.13403249	Yes	
row_43	NME3	NA	1354	0.2967882454395294	0.1381036	Yes	
row_44	FAM110B	NA	1380	0.29608163237571716	0.14092128	Yes	
row_45	GOLT1A	NA	1411	0.2951810359954834	0.14339836	Yes	
row_46	TSPAN15	NA	1431	0.2947220206260681	0.14658806	Yes	
row_47	KDM7A	NA	1449	0.2940390408039093	0.1498983	Yes	
row_48	ZNF398	NA	1477	0.29320618510246277	0.15254192	Yes	
row_49	GART	NA	1509	0.2922727167606354	0.15490985	Yes	
row_50	RAB17	NA	1516	0.2920856475830078	0.15891024	Yes	
row_51	PLEKHH1	NA	1612	0.28926172852516174	0.1570466	Yes	
row_52	RAB40C	NA	1639	0.2884241044521332	0.1596837	Yes	
row_53	DHRS13	NA	1684	0.2875950038433075	0.16113093	Yes	
row_54	RNF103	NA	1712	0.28628015518188477	0.16367039	Yes	
row_55	PATZ1	NA	1733	0.28563064336776733	0.16665794	Yes	
row_56	TESK1	NA	1752	0.28517216444015503	0.16976942	Yes	
row_57	KIAA0232	NA	1756	0.2850499749183655	0.17386024	Yes	
row_58	PRR14	NA	1764	0.2848455011844635	0.17768632	Yes	
row_59	KCTD15	NA	1773	0.2846969664096832	0.18144476	Yes	
row_60	ACVR1B	NA	1806	0.2837422788143158	0.183619	Yes	
row_61	SCYL3	NA	1831	0.2831771671772003	0.186308	Yes	
row_62	NEK5	NA	1860	0.28238534927368164	0.18872346	Yes	
row_63	CREB3L1	NA	1874	0.2819920480251312	0.19211417	Yes	
row_64	ZNF703	NA	1882	0.2818072736263275	0.19589457	Yes	
row_65	SYCP2	NA	1899	0.28130167722702026	0.19907866	Yes	
