NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DYRK3	NA	342	0.3495461940765381	-0.0054766005	No	
row_1	SOCS1	NA	347	0.34929588437080383	0.010935972	No	
row_2	EGFR	NA	1267	0.2996826767921448	-0.03430801	No	
row_3	TGFB2	NA	1422	0.29488271474838257	-0.030211989	No	
row_4	ACVR2A	NA	1811	0.28364628553390503	-0.04181459	No	
row_5	SOCS5	NA	1963	0.27963748574256897	-0.038251832	No	
row_6	GLMN	NA	2207	0.27373912930488586	-0.04093185	No	
row_7	BCL3	NA	2472	0.2677730619907379	-0.045257345	No	
row_8	BRCA1	NA	2749	0.26228293776512146	-0.050622437	No	
row_9	IL12A	NA	2874	0.26005861163139343	-0.04624467	No	
row_10	ELANE	NA	2929	0.25894683599472046	-0.037384234	No	
row_11	MAP3K7	NA	3548	0.24703995883464813	-0.06563717	No	
row_12	CSF1	NA	3717	0.24444785714149475	-0.06485554	No	
row_13	LIF	NA	4326	0.2341814488172531	-0.09307425	No	
row_14	CXCL9	NA	4725	0.22817161679267883	-0.10797259	No	
row_15	JAK2	NA	5178	0.2217235267162323	-0.1266777	No	
row_16	RIPK2	NA	5230	0.22096018493175507	-0.119435966	No	
row_17	TPD52	NA	5442	0.2179897278547287	-0.1227034	No	
row_18	IL12B	NA	5565	0.2163703888654709	-0.120281264	No	
row_19	NME1	NA	5760	0.21403858065605164	-0.12263575	No	
row_20	EIF4G3	NA	5763	0.21400082111358643	-0.11255117	No	
row_21	CDKN2A	NA	5804	0.21351505815982819	-0.10495202	No	
row_22	INHBA	NA	6138	0.20889198780059814	-0.11655883	No	
row_23	UBE2N	NA	7106	0.19574692845344543	-0.16987385	No	
row_24	F2	NA	7562	0.189458429813385	-0.19031334	No	
row_25	CARTPT	NA	7638	0.1883837878704071	-0.18618158	No	
row_26	AARS1	NA	7649	0.1881556212902069	-0.17784894	No	
row_27	IKBKB	NA	7863	0.1854277402162552	-0.18280014	No	
row_28	GCNT1	NA	8072	0.18277724087238312	-0.18755387	No	
row_29	IL7	NA	8190	0.18127921223640442	-0.18648264	No	
row_30	IL9	NA	8691	0.17423506081104279	-0.21056457	No	
row_31	ABCE1	NA	8765	0.1732877492904663	-0.20702374	No	
row_32	TLR3	NA	8982	0.17031799256801605	-0.2128905	No	
row_33	RPL3L	NA	8992	0.17020829021930695	-0.2053497	No	
row_34	EIF3A	NA	9033	0.16970446705818176	-0.19984162	No	
row_35	THY1	NA	9036	0.16965351998806	-0.19187371	No	
row_36	IL2	NA	9141	0.1682000756263733	-0.19058439	No	
row_37	TLR6	NA	9298	0.1661776900291443	-0.192761	No	
row_38	MRPL3	NA	9348	0.16548556089401245	-0.18803746	No	
row_39	ELF4	NA	9371	0.16500966250896454	-0.18158713	No	
row_40	CCL19	NA	9425	0.1644555926322937	-0.17717193	No	
