NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TNFRSF12A	NA	71	0.3974996507167816	0.025818473	Yes	
row_1	ATF5	NA	327	0.35050487518310547	0.03619998	Yes	
row_2	JAG1	NA	345	0.3493599593639374	0.0618142	Yes	
row_3	TM7SF2	NA	583	0.33169546723365784	0.0719164	Yes	
row_4	ERRFI1	NA	897	0.31437405943870544	0.07580221	Yes	
row_5	PCYT2	NA	903	0.31399884819984436	0.09948553	Yes	
row_6	MAL2	NA	961	0.31143152713775635	0.11962529	Yes	
row_7	CHKA	NA	1022	0.30871790647506714	0.1393645	Yes	
row_8	SCD	NA	1526	0.29176434874534607	0.12929134	Yes	
row_9	HMGCS1	NA	1628	0.2887149155139923	0.14486212	Yes	
row_10	TMEM97	NA	1749	0.2852368950843811	0.15894394	Yes	
row_11	LDLR	NA	1937	0.2802460193634033	0.16833138	Yes	
row_12	LSS	NA	2185	0.2743048667907715	0.17340237	Yes	
row_13	MVK	NA	2226	0.2733669877052307	0.1917264	Yes	
row_14	SQLE	NA	2236	0.27318763732910156	0.21203223	Yes	
row_15	GNAI1	NA	2315	0.27103203535079956	0.22773167	Yes	
row_16	ACAT2	NA	2463	0.2679736912250519	0.23875573	Yes	
row_17	SC5D	NA	2535	0.266088604927063	0.25452784	Yes	
row_18	GPX8	NA	2757	0.26214566826820374	0.2603429	Yes	
row_19	PDK3	NA	2794	0.2613260746002197	0.2780039	Yes	
row_20	NSDHL	NA	3336	0.251277357339859	0.26238942	Yes	
row_21	ACSS2	NA	3514	0.24771855771541595	0.26993385	Yes	
row_22	IDI1	NA	3555	0.2469620555639267	0.28623924	Yes	
row_23	MVD	NA	3634	0.2457071989774704	0.3000026	Yes	
row_24	PMVK	NA	4504	0.23151108622550964	0.2617634	Yes	
row_25	SREBF2	NA	4755	0.22762058675289154	0.26307228	Yes	
row_26	CYP51A1	NA	4979	0.22440801560878754	0.26587355	Yes	
row_27	FDPS	NA	5197	0.22141727805137634	0.26883242	Yes	
row_28	FADS2	NA	5522	0.21678708493709564	0.26454964	Yes	
row_29	ATXN2	NA	5614	0.2157357931137085	0.27518487	Yes	
row_30	STX5	NA	5775	0.2138224095106125	0.28123224	Yes	
row_31	EBP	NA	6199	0.20799271762371063	0.2699044	Yes	
row_32	TP53INP1	NA	6321	0.20615926384925842	0.2778764	Yes	
row_33	ANXA13	NA	6461	0.20408737659454346	0.28453133	Yes	
row_34	TRIB3	NA	6479	0.2038184255361557	0.29901892	Yes	
row_35	FABP5	NA	6862	0.1987963765859604	0.28962722	Yes	
row_36	ALDOC	NA	7065	0.19618354737758636	0.29162255	Yes	
row_37	GLDC	NA	7233	0.19382134079933167	0.29569024	Yes	
row_38	AVPR1A	NA	7525	0.1899014264345169	0.29147628	Yes	
row_39	ALCAM	NA	7552	0.18959783017635345	0.3042974	Yes	
row_40	NFIL3	NA	7582	0.18919450044631958	0.31689453	Yes	
row_41	FBXO6	NA	7796	0.186310812830925	0.31742698	Yes	
row_42	PPARG	NA	8079	0.18269804120063782	0.31324166	No	
row_43	ECH1	NA	9074	0.1691497415304184	0.26218858	No	
row_44	GUSB	NA	9116	0.16847819089889526	0.27242953	No	
row_45	ETHE1	NA	10048	0.1558108925819397	0.22441205	No	
row_46	HMGCR	NA	10117	0.15477070212364197	0.23186705	No	
row_47	ANTXR2	NA	10495	0.1491052806377411	0.21899834	No	
row_48	FDFT1	NA	11241	0.13803093135356903	0.18159457	No	
row_49	ADH4	NA	11315	0.1368645429611206	0.18735877	No	
row_50	STARD4	NA	11336	0.1365494728088379	0.19651055	No	
row_51	CTNNB1	NA	11973	0.12658391892910004	0.16524807	No	
row_52	PNRC1	NA	12544	0.11638707667589188	0.1374545	No	
row_53	NIBAN1	NA	13685	0.09063861519098282	0.07100112	No	
row_54	LGMN	NA	13689	0.09046585112810135	0.077724114	No	
row_55	CXCL16	NA	13908	0.08369426429271698	0.0700897	No	
row_56	PLAUR	NA	13963	0.08147573471069336	0.072842486	No	
row_57	S100A11	NA	14079	0.07641968131065369	0.071282126	No	
row_58	ATF3	NA	14084	0.0762391909956932	0.07685312	No	
row_59	PLSCR1	NA	14237	0.06644286960363388	0.07214831	No	
row_60	LGALS3	NA	14562	0.046037305146455765	0.054811724	No	
row_61	ANXA5	NA	14600	0.04245224595069885	0.055675473	No	
row_62	GSTM2	NA	14950	0.00793117843568325	0.033816412	No	
row_63	CLU	NA	15457	-0.10243979096412659	0.0090763075	No	
