NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HPN	NA	557	0.3333183825016022	-0.017092077	No	
row_1	CAPN5	NA	684	0.3259088099002838	-0.006752953	No	
row_2	MSRB2	NA	797	0.3193555474281311	0.0041192393	No	
row_3	CTSV	NA	977	0.31082600355148315	0.010178183	No	
row_4	GNG12	NA	1017	0.30898234248161316	0.025179429	No	
row_5	RAPGEF3	NA	1053	0.30721449851989746	0.040338907	No	
row_6	MST1	NA	1107	0.3054124116897583	0.05423303	No	
row_7	USP11	NA	1588	0.28992074728012085	0.03965577	No	
row_8	BMP1	NA	2156	0.2750931978225708	0.01861572	No	
row_9	ITGA2	NA	2820	0.26095902919769287	-0.00942939	No	
row_10	MMP10	NA	3175	0.2546170651912689	-0.017866444	No	
row_11	MMP15	NA	3181	0.2544005215167999	-0.0037632731	No	
row_12	RABIF	NA	3352	0.2509004771709442	-5.20938E-4	No	
row_13	APOC1	NA	3459	0.24879691004753113	0.0067378134	No	
row_14	ANG	NA	3830	0.24280188977718353	-0.0034031682	No	
row_15	F3	NA	3844	0.2424425482749939	0.009504939	No	
row_16	MAFF	NA	4475	0.23194538056850433	-0.018052973	No	
row_17	ADAM9	NA	4696	0.22851727902889252	-0.019310938	No	
row_18	RAC1	NA	5399	0.21854808926582336	-0.052281234	No	
row_19	FN1	NA	5506	0.21706092357635498	-0.046822134	No	
row_20	PDGFB	NA	5770	0.21389158070087433	-0.051688153	No	
row_21	MMP7	NA	6315	0.20619313418865204	-0.075149044	No	
row_22	TIMP3	NA	6585	0.20247609913349152	-0.08105013	Yes	
row_23	MEP1A	NA	6669	0.20129333436489105	-0.074998885	Yes	
row_24	PLAU	NA	6787	0.19973206520080566	-0.07123328	Yes	
row_25	KLF7	NA	6817	0.19932109117507935	-0.06180438	Yes	
row_26	FBN1	NA	7007	0.19699107110500336	-0.06284687	Yes	
row_27	HMGCS2	NA	7294	0.19285725057125092	-0.070391946	Yes	
row_28	KLKB1	NA	7482	0.1903866082429886	-0.07167971	Yes	
row_29	F2	NA	7562	0.189458429813385	-0.06604112	Yes	
row_30	C1R	NA	7840	0.1857990324497223	-0.07340486	Yes	
row_31	ARF4	NA	7894	0.18503805994987488	-0.0663368	Yes	
row_32	HTRA1	NA	7916	0.18474560976028442	-0.05721747	Yes	
row_33	SH2B2	NA	7941	0.1844041645526886	-0.048311368	Yes	
row_34	TFPI2	NA	8082	0.18263277411460876	-0.04700167	Yes	
row_35	MMP14	NA	8301	0.17954589426517487	-0.050907414	Yes	
row_36	TF	NA	8354	0.1787588894367218	-0.044130806	Yes	
row_37	CFI	NA	8543	0.17622926831245422	-0.04628601	Yes	
row_38	COMP	NA	8701	0.17409218847751617	-0.046559174	Yes	
row_39	CPQ	NA	8820	0.17245638370513916	-0.0444049	Yes	
row_40	APOC2	NA	9109	0.16854974627494812	-0.05345763	Yes	
row_41	S100A1	NA	9322	0.16590560972690582	-0.057749145	Yes	
row_42	APOC3	NA	9422	0.16449251770973206	-0.054818694	Yes	
