NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SAC3D1	NA	58	0.4023383557796478	0.010748458	Yes	
row_1	VPS37D	NA	96	0.39022377133369446	0.022418495	Yes	
row_2	GTF2H5	NA	328	0.3504642844200134	0.02010878	Yes	
row_3	MRPL40	NA	509	0.33655551075935364	0.020596223	Yes	
row_4	RAD51	NA	530	0.33498385548591614	0.031374976	Yes	
row_5	BCAM	NA	533	0.3348901867866516	0.0433145	Yes	
row_6	RRM2B	NA	776	0.3203044831752777	0.039206456	Yes	
row_7	REV3L	NA	832	0.3174054026603699	0.047088098	Yes	
row_8	TARBP2	NA	1073	0.3066541850566864	0.042617466	Yes	
row_9	ALYREF	NA	1148	0.3040211796760559	0.048787948	Yes	
row_10	ERCC2	NA	1220	0.30116525292396545	0.055049527	Yes	
row_11	NME3	NA	1354	0.2967882454395294	0.05714354	Yes	
row_12	POLR2I	NA	1501	0.29266515374183655	0.05824819	Yes	
row_13	POLA1	NA	1524	0.29193148016929626	0.06734606	Yes	
row_14	USP11	NA	1588	0.28992074728012085	0.0737198	Yes	
row_15	MPC2	NA	1652	0.2882273197174072	0.08003252	Yes	
row_16	TYMS	NA	1927	0.2805839478969574	0.07242342	Yes	
row_17	NPR2	NA	2136	0.2756842374801636	0.06890628	Yes	
row_18	UMPS	NA	2228	0.2733452320098877	0.07287178	Yes	
row_19	POLA2	NA	2303	0.2713550329208374	0.07786503	Yes	
row_20	NUDT9	NA	2326	0.27069273591041565	0.08619749	Yes	
row_21	NELFB	NA	2618	0.2645706534385681	0.07691183	Yes	
row_22	RFC2	NA	2657	0.26394122838974	0.08396619	Yes	
row_23	GTF3C5	NA	2781	0.2616848051548004	0.08544187	Yes	
row_24	POLR2D	NA	2855	0.2604059875011444	0.09010521	Yes	
row_25	ERCC4	NA	2927	0.25897204875946045	0.09484622	Yes	
row_26	PRIM1	NA	2962	0.25845810770988464	0.10196167	Yes	
row_27	POLR1C	NA	3003	0.2578471899032593	0.10866706	Yes	
row_28	LIG1	NA	3037	0.25704658031463623	0.11579631	Yes	
row_29	POLD1	NA	3200	0.2540973424911499	0.11447625	Yes	
row_30	POLH	NA	3288	0.25233888626098633	0.11794341	Yes	
row_31	DDB2	NA	3430	0.24923458695411682	0.11780628	Yes	
row_32	ERCC8	NA	3699	0.24472635984420776	0.109292984	Yes	
row_33	NELFCD	NA	3749	0.24412521719932556	0.11492178	Yes	
row_34	CSTF3	NA	3808	0.2431042641401291	0.11993171	Yes	
row_35	PCNA	NA	3950	0.24062882363796234	0.11948443	Yes	
row_36	CANT1	NA	3975	0.24038968980312347	0.12659548	Yes	
row_37	DGCR8	NA	4077	0.23849527537822723	0.1286583	Yes	
row_38	COX17	NA	4144	0.23737242817878723	0.13294427	Yes	
row_39	TAF13	NA	4149	0.2373112589120865	0.14123787	Yes	
row_40	AAAS	NA	4250	0.2353539615869522	0.14325215	Yes	
row_41	POLE4	NA	4300	0.23466767370700836	0.14854011	Yes	
row_42	NFX1	NA	4542	0.23110155761241913	0.14128202	Yes	
row_43	SNAPC4	NA	4565	0.23077911138534546	0.14817606	Yes	
row_44	UPF3B	NA	4709	0.22835485637187958	0.1471571	Yes	
row_45	DGUOK	NA	4796	0.2269880622625351	0.14977534	Yes	
row_46	TAF6	NA	4904	0.22545047104358673	0.15098001	Yes	
row_47	NME4	NA	4931	0.22510647773742676	0.15741092	Yes	
row_48	TK2	NA	5072	0.2231154441833496	0.15639716	Yes	
row_49	NCBP2	NA	5169	0.22180195152759552	0.15818176	Yes	
row_50	RFC3	NA	5181	0.2216448038816452	0.16545804	Yes	
row_51	BRF2	NA	5210	0.22117646038532257	0.17161797	Yes	
row_52	DUT	NA	5267	0.22045521438121796	0.17594102	Yes	
row_53	RALA	NA	5339	0.21944856643676758	0.17925768	Yes	
row_54	RBX1	NA	5393	0.21863500773906708	0.18370914	Yes	
row_55	ADRM1	NA	5452	0.21785622835159302	0.18780918	Yes	
row_56	ADCY6	NA	5569	0.21632885932922363	0.18810304	Yes	
row_57	GTF2B	NA	5666	0.21508868038654327	0.18964571	Yes	
row_58	TAF10	NA	5730	0.2144705057144165	0.19330035	Yes	
row_59	RAD52	NA	5732	0.21442382037639618	0.20096314	Yes	
row_60	NME1	NA	5760	0.21403858065605164	0.20693052	Yes	
row_61	STX3	NA	5830	0.21311712265014648	0.21014833	Yes	
row_62	CLP1	NA	6237	0.20738585293293	0.19136424	Yes	
row_63	FEN1	NA	6284	0.20666725933551788	0.19583715	Yes	
row_64	CETN2	NA	6304	0.2064250111579895	0.20204754	Yes	
row_65	RFC5	NA	6316	0.20618167519569397	0.20876655	Yes	
row_66	NT5C	NA	6340	0.20591886341571808	0.2147	Yes	
row_67	GTF2A2	NA	6368	0.2054733783006668	0.2203587	Yes	
row_68	DCTN4	NA	6671	0.20126992464065552	0.20808037	Yes	
row_69	VPS37B	NA	6746	0.20026354491710663	0.2105116	Yes	
row_70	ZWINT	NA	6814	0.19939467310905457	0.21336423	Yes	
row_71	GTF2F1	NA	6879	0.19856639206409454	0.21638104	Yes	
row_72	RAE1	NA	7002	0.19702225923538208	0.21559109	Yes	
row_73	HPRT1	NA	7257	0.1935199797153473	0.20613785	Yes	
row_74	SURF1	NA	7305	0.19265629351139069	0.21004114	Yes	
row_75	POLR1D	NA	7483	0.19037412106990814	0.20545448	Yes	
row_76	ELL	NA	7564	0.18944986164569855	0.20710796	Yes	
row_77	GSDME	NA	7678	0.18764130771160126	0.20656198	Yes	
