NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HMMR	NA	46	0.41035178303718567	0.0068105003	Yes	
row_1	CDC25A	NA	92	0.3912610709667206	0.01323021	Yes	
row_2	SPC24	NA	223	0.36452123522758484	0.013498303	Yes	
row_3	E2F8	NA	234	0.36176565289497375	0.02148424	Yes	
row_4	DEPDC1	NA	568	0.332675039768219	0.007824951	Yes	
row_5	BIRC5	NA	602	0.3305104076862335	0.013573034	Yes	
row_6	MELK	NA	605	0.33042779564857483	0.021329911	Yes	
row_7	CDKN3	NA	650	0.32803043723106384	0.026305305	Yes	
row_8	RRM2	NA	654	0.3275900185108185	0.033929586	Yes	
row_9	ESPL1	NA	656	0.32748720049858093	0.041681144	Yes	
row_10	BARD1	NA	659	0.3273454010486603	0.04936445	Yes	
row_11	UBE2S	NA	661	0.32720237970352173	0.057109207	Yes	
row_12	DSCC1	NA	679	0.32604366540908813	0.063788496	Yes	
row_13	EZH2	NA	695	0.32548296451568604	0.070584126	Yes	
row_14	BRCA2	NA	706	0.3249729871749878	0.077691905	Yes	
row_15	MKI67	NA	767	0.3208211362361908	0.08145741	Yes	
row_16	CDC20	NA	770	0.3206539452075958	0.088981	Yes	
row_17	POLE	NA	806	0.318965882062912	0.09432382	Yes	
row_18	DONSON	NA	831	0.317507266998291	0.10034531	Yes	
row_19	GINS1	NA	838	0.3171364665031433	0.107525505	Yes	
row_20	PMS2	NA	866	0.3157896399497986	0.11331141	Yes	
row_21	KIF4A	NA	878	0.3153892159461975	0.120125584	Yes	
row_22	AURKA	NA	881	0.3153315484523773	0.12752214	Yes	
row_23	PSMC3IP	NA	1003	0.30954381823539734	0.12706181	Yes	
row_24	PLK4	NA	1069	0.3067800998687744	0.13016787	Yes	
row_25	GINS4	NA	1074	0.30662497878074646	0.13722691	Yes	
row_26	CDCA3	NA	1117	0.3052544891834259	0.14178841	Yes	
row_27	AURKB	NA	1144	0.3041285574436188	0.14736086	Yes	
row_28	CIT	NA	1195	0.30206823348999023	0.15132742	Yes	
row_29	CKS1B	NA	1218	0.30120179057121277	0.15708946	Yes	
row_30	CHEK1	NA	1247	0.300546258687973	0.16244668	Yes	
row_31	HMGB3	NA	1297	0.2983604669570923	0.1663896	Yes	
row_32	TIMELESS	NA	1325	0.29769131541252136	0.17174354	Yes	
row_33	RAD1	NA	1329	0.297583669424057	0.17865163	Yes	
row_34	MYBL2	NA	1358	0.2966473400592804	0.1839158	Yes	
row_35	CDKN2C	NA	1392	0.29563167691230774	0.18883139	Yes	
row_36	CDK1	NA	1582	0.2901480495929718	0.18349741	Yes	
row_37	PRKDC	NA	1615	0.28900450468063354	0.1883197	Yes	
row_38	ATAD2	NA	1664	0.2880818843841553	0.19208215	Yes	
row_39	MAD2L1	NA	1690	0.2874481976032257	0.19732134	Yes	
row_40	CENPE	NA	1755	0.28508585691452026	0.19997448	Yes	
row_41	CTCF	NA	1803	0.2838553190231323	0.20370091	Yes	
row_42	CKS2	NA	1848	0.2826845347881317	0.20759399	Yes	
row_43	BUB1B	NA	1883	0.28177934885025024	0.21211411	Yes	
row_44	RAD51AP1	NA	1898	0.28131285309791565	0.21792035	Yes	
row_45	MCM2	NA	2050	0.2776950001716614	0.21475396	Yes	
row_46	KIF2C	NA	2198	0.27396684885025024	0.21175803	Yes	
row_47	DCTPP1	NA	2233	0.27323323488235474	0.21607417	Yes	
row_48	POP7	NA	2251	0.2728006839752197	0.22148266	Yes	
row_49	POLA2	NA	2303	0.2713550329208374	0.22465129	Yes	
row_50	NCAPD2	NA	2378	0.26977452635765076	0.22629033	Yes	
row_51	UNG	NA	2415	0.26895251870155334	0.23037456	Yes	
row_52	RACGAP1	NA	2438	0.2685745656490326	0.23535787	Yes	
row_53	MTHFD2	NA	2456	0.26812368631362915	0.24065474	Yes	
row_54	MCM7	NA	2460	0.2680666148662567	0.24685831	Yes	
row_55	SUV39H1	NA	2511	0.266793429851532	0.24998294	Yes	
row_56	PAICS	NA	2517	0.26655179262161255	0.25602064	Yes	
row_57	DLGAP5	NA	2581	0.265210896730423	0.25826424	Yes	
row_58	TRIP13	NA	2642	0.26411256194114685	0.26067626	Yes	
row_59	RFC2	NA	2657	0.26394122838974	0.26606786	Yes	
row_60	PLK1	NA	2678	0.2636411488056183	0.27106315	Yes	
row_61	BRCA1	NA	2749	0.26228293776512146	0.27278286	Yes	
row_62	JPT1	NA	2769	0.261977881193161	0.2778033	Yes	
row_63	SPAG5	NA	2806	0.2611231207847595	0.28170067	Yes	
row_64	SHMT1	NA	2822	0.26086312532424927	0.28695396	Yes	
row_65	CCNB2	NA	2861	0.26028692722320557	0.29070163	Yes	
row_66	LIG1	NA	3037	0.25704658031463623	0.28548568	Yes	
row_67	MMS22L	NA	3184	0.254360169172287	0.28208664	Yes	
row_68	POLD1	NA	3200	0.2540973424911499	0.28717846	Yes	
row_69	DDX39A	NA	3275	0.2525496184825897	0.28840637	Yes	
row_70	MCM4	NA	3325	0.2516390085220337	0.29123417	Yes	
row_71	MXD3	NA	3328	0.25153300166130066	0.297108	Yes	
row_72	CENPM	NA	3329	0.25152117013931274	0.30311126	Yes	
row_73	DIAPH3	NA	3369	0.25060299038887024	0.30656293	Yes	
row_74	WDR90	NA	3485	0.24815911054611206	0.30502668	Yes	
row_75	PAN2	NA	3581	0.24667248129844666	0.3047522	Yes	
row_76	ORC6	NA	3591	0.24650737643241882	0.310052	Yes	
row_77	BRMS1L	NA	3619	0.24601882696151733	0.31417266	Yes	
row_78	STAG1	NA	3737	0.2442387044429779	0.3124131	Yes	
row_79	PTTG1	NA	3900	0.24144399166107178	0.30766794	Yes	
row_80	GINS3	NA	3904	0.2413804829120636	0.3132346	Yes	
row_81	PCNA	NA	3950	0.24062882363796234	0.31605905	Yes	
row_82	USP1	NA	4038	0.23911240696907043	0.316123	Yes	
row_83	ASF1A	NA	4102	0.2379840761423111	0.3177168	Yes	
row_84	NUP107	NA	4130	0.23753298819065094	0.3216349	Yes	
row_85	TOP2A	NA	4160	0.2370987981557846	0.3254129	Yes	
row_86	HUS1	NA	4217	0.2360791265964508	0.32741523	Yes	
row_87	EXOSC8	NA	4251	0.23535248637199402	0.33089212	Yes	
row_88	POLE4	NA	4300	0.23466767370700836	0.3333797	Yes	
row_89	WEE1	NA	4387	0.23339232802391052	0.333372	Yes	
row_90	POLD2	NA	4417	0.232889324426651	0.3370495	Yes	
row_91	ORC2	NA	4434	0.23266533017158508	0.34156492	Yes	
row_92	NAA38	NA	4548	0.23095452785491943	0.33974776	Yes	
row_93	PPM1D	NA	4642	0.2295224666595459	0.33919367	Yes	
row_94	SLBP	NA	4691	0.22857829928398132	0.3415359	Yes	
row_95	ZW10	NA	4783	0.22716224193572998	0.34105518	Yes	
row_96	NOP56	NA	4910	0.22531861066818237	0.33826026	Yes	
row_97	RNASEH2A	NA	5069	0.22317111492156982	0.33333847	Yes	
row_98	PHF5A	NA	5100	0.2227431684732437	0.33670896	Yes	
row_99	KPNA2	NA	5127	0.22236613929271698	0.34032992	Yes	
row_100	TBRG4	NA	5167	0.22181686758995056	0.34309453	Yes	
row_101	RFC3	NA	5181	0.2216448038816452	0.34754148	Yes	
row_102	MCM6	NA	5193	0.22146500647068024	0.3521139	Yes	
row_103	DUT	NA	5267	0.22045521438121796	0.35264066	Yes	
row_104	HMGA1	NA	5331	0.21957436203956604	0.35379502	Yes	
row_105	MYC	NA	5349	0.21934479475021362	0.35792765	Yes	
row_106	MLH1	NA	5377	0.21886077523231506	0.36140007	Yes	
row_107	NASP	NA	5424	0.21820645034313202	0.36362445	Yes	
row_108	NUP153	NA	5464	0.21765287220478058	0.3662897	Yes	
row_109	PDS5B	NA	5481	0.217421755194664	0.3704413	Yes	
row_110	LMNB1	NA	5640	0.21541762351989746	0.36533442	Yes	
row_111	SMC3	NA	5649	0.21530573070049286	0.36995438	Yes	
row_112	PRIM2	NA	5701	0.21477071940898895	0.37177247	Yes	
row_113	NME1	NA	5760	0.21403858065605164	0.37311903	Yes	
row_114	EED	NA	5783	0.21372981369495392	0.37679332	Yes	
row_115	SMC4	NA	5792	0.2136501520872116	0.38137376	Yes	
row_116	CDKN2A	NA	5804	0.21351505815982819	0.38575643	Yes	
row_117	MSH2	NA	5860	0.21270020306110382	0.38726562	Yes	
row_118	CCP110	NA	5887	0.21222883462905884	0.39064464	Yes	
row_119	TACC3	NA	5907	0.21201643347740173	0.3944726	Yes	
row_120	NUP205	NA	6265	0.20687644183635712	0.37625405	No	
row_121	PRDX4	NA	6468	0.20394133031368256	0.36801928	No	
row_122	KIF22	NA	6566	0.2026349902153015	0.36656398	No	
row_123	MCM5	NA	6579	0.20252376794815063	0.37061945	No	
row_124	HNRNPD	NA	6803	0.19952712953090668	0.36091718	No	
row_125	CDK4	NA	6878	0.19856706261634827	0.36085665	No	
row_126	TRA2B	NA	7022	0.19678236544132233	0.35627794	No	
row_127	SMC1A	NA	7118	0.19554749131202698	0.3547832	No	
row_128	RANBP1	NA	7196	0.19450516998767853	0.35443115	No	
row_129	CSE1L	NA	7384	0.19175957143306732	0.3468786	No	
row_130	NBN	NA	7444	0.19088613986968994	0.34760767	No	
row_131	PNN	NA	7852	0.18562862277030945	0.3256388	No	
row_132	NOLC1	NA	8002	0.18361607193946838	0.32035667	No	
row_133	SSRP1	NA	8132	0.18211966753005981	0.3163361	No	
row_134	MRE11	NA	8136	0.18203867971897125	0.32048637	No	
row_135	MCM3	NA	8177	0.1814495176076889	0.32222265	No	
row_136	SRSF2	NA	8228	0.1805802285671234	0.32328954	No	
row_137	ANP32E	NA	8236	0.18044349551200867	0.3271423	No	
row_138	LBR	NA	8280	0.17988832294940948	0.32864672	No	
row_139	IPO7	NA	8331	0.17912916839122772	0.32967898	No	
row_140	SMC6	NA	8352	0.17878632247447968	0.33264896	No	
row_141	PPP1R8	NA	8424	0.1778082251548767	0.33228755	No	
row_142	TIPIN	NA	8427	0.17777082324028015	0.33640084	No	
row_143	RAD51C	NA	8510	0.17677687108516693	0.3353013	No	
row_144	ING3	NA	8552	0.17618286609649658	0.33684704	No	
row_145	TMPO	NA	8894	0.17144916951656342	0.31882071	No	
row_146	PSIP1	NA	9445	0.16430270671844482	0.28706735	No	
row_147	EIF2S1	NA	9540	0.16294898092746735	0.28485945	No	
row_148	TFRC	NA	9664	0.16124838590621948	0.2807299	No	
row_149	CTPS1	NA	9712	0.16062374413013458	0.28151506	No	
row_150	TP53	NA	9848	0.15872476994991302	0.2765469	No	
row_151	LUC7L3	NA	9889	0.15819984674453735	0.27772826	No	
row_152	CDKN1B	NA	9955	0.15724217891693115	0.27726516	No	
row_153	DCK	NA	10003	0.1564941108226776	0.27795178	No	
row_154	GSPT1	NA	10008	0.15640373528003693	0.28142533	No	
row_155	PA2G4	NA	10089	0.15513862669467926	0.2799391	No	
row_156	POLD3	NA	10108	0.15492144227027893	0.28246918	No	
row_157	NUDT21	NA	10533	0.14851722121238708	0.25851187	No	
row_158	AK2	NA	10547	0.14828728139400482	0.26120794	No	
