NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HMMR	NA	46	0.41035178303718567	0.006455644	Yes	
row_1	CDC25A	NA	92	0.3912610709667206	0.012536996	Yes	
row_2	CENPA	NA	189	0.3698106110095978	0.014816435	Yes	
row_3	CCND1	NA	238	0.36108851432800293	0.02000908	Yes	
row_4	CDC45	NA	245	0.3602190613746643	0.027906343	Yes	
row_5	ATF5	NA	327	0.35050487518310547	0.030714752	Yes	
row_6	CHAF1A	NA	331	0.3503868281841278	0.03858045	Yes	
row_7	RAD54L	NA	353	0.3485472500324249	0.045236137	Yes	
row_8	KIF15	NA	375	0.34645789861679077	0.05184376	Yes	
row_9	TENT4A	NA	417	0.34276214241981506	0.05706893	Yes	
row_10	PURA	NA	422	0.3425722122192383	0.06468999	Yes	
row_11	PRC1	NA	517	0.3355486989021301	0.06631101	Yes	
row_12	E2F1	NA	570	0.33263736963272095	0.07058968	Yes	
row_13	BIRC5	NA	602	0.3305104076862335	0.07618172	Yes	
row_14	CDC6	NA	640	0.32849669456481934	0.08133821	Yes	
row_15	CDKN3	NA	650	0.32803043723106384	0.08830039	Yes	
row_16	ESPL1	NA	656	0.32748720049858093	0.09550957	Yes	
row_17	BARD1	NA	659	0.3273454010486603	0.10291009	Yes	
row_18	UBE2S	NA	661	0.32720237970352173	0.11037219	Yes	
row_19	KNL1	NA	665	0.3267541825771332	0.117694244	Yes	
row_20	SAP30	NA	690	0.3256831169128418	0.12362935	Yes	
row_21	EZH2	NA	695	0.32548296451568604	0.13085729	Yes	
row_22	BRCA2	NA	706	0.3249729871749878	0.13768426	Yes	
row_23	KIF11	NA	763	0.32104116678237915	0.14143668	Yes	
row_24	MKI67	NA	767	0.3208211362361908	0.14862224	Yes	
row_25	CDC20	NA	770	0.3206539452075958	0.15586884	Yes	
row_26	POLE	NA	806	0.318965882062912	0.16093583	Yes	
row_27	POLQ	NA	835	0.317232221364975	0.16641705	Yes	
row_28	GINS2	NA	860	0.31602075695991516	0.17212987	Yes	
row_29	KIF4A	NA	878	0.3153892159461975	0.17828228	Yes	
row_30	AURKA	NA	881	0.3153315484523773	0.18540643	Yes	
row_31	CCNF	NA	989	0.3099628984928131	0.18559554	Yes	
row_32	INCENP	NA	1038	0.3079760670661926	0.18956639	Yes	
row_33	TTK	NA	1055	0.3071063756942749	0.19559312	Yes	
row_34	PLK4	NA	1069	0.3067800998687744	0.20180698	Yes	
row_35	EXO1	NA	1070	0.30675774812698364	0.20886365	Yes	
row_36	AURKB	NA	1144	0.3041285574436188	0.21112418	Yes	
row_37	TROAP	NA	1164	0.3032788038253784	0.21686825	Yes	
row_38	STIL	NA	1178	0.30268195271492004	0.22298783	Yes	
row_39	TPX2	NA	1211	0.30137091875076294	0.22784467	Yes	
row_40	CKS1B	NA	1218	0.30120179057121277	0.2343843	Yes	
row_41	CHEK1	NA	1247	0.300546258687973	0.23948167	Yes	
row_42	HOXC10	NA	1248	0.3005373179912567	0.24639525	Yes	
row_43	E2F2	NA	1288	0.2986742854118347	0.25073597	Yes	
row_44	HMGB3	NA	1297	0.2983604669570923	0.2570805	Yes	
row_45	MYBL2	NA	1358	0.2966473400592804	0.26001227	Yes	
row_46	FANCC	NA	1375	0.2962147891521454	0.26578844	Yes	
row_47	CDKN2C	NA	1392	0.29563167691230774	0.27155122	Yes	
row_48	SLC12A2	NA	1403	0.29539868235588074	0.27769786	Yes	
row_49	KIF23	NA	1539	0.29146504402160645	0.27564505	Yes	
row_50	CDK1	NA	1582	0.2901480495929718	0.279595	Yes	
row_51	TRAIP	NA	1605	0.2894528806209564	0.2848264	Yes	
row_52	MAD2L1	NA	1690	0.2874481976032257	0.28598964	Yes	
row_53	UPF1	NA	1734	0.2856001853942871	0.2897701	Yes	
row_54	DBF4	NA	1742	0.28540605306625366	0.29588148	Yes	
row_55	RPS6KA5	NA	1748	0.28524747490882874	0.302119	Yes	
row_56	CENPE	NA	1755	0.28508585691452026	0.30828786	Yes	
row_57	CTCF	NA	1803	0.2838553190231323	0.3117687	Yes	
row_58	HIRA	NA	1825	0.2833952009677887	0.31692564	Yes	
row_59	CENPF	NA	1841	0.2829044759273529	0.3224605	Yes	
row_60	CKS2	NA	1848	0.2826845347881317	0.32857415	Yes	
row_61	MEIS2	NA	1915	0.28090593218803406	0.33075458	Yes	
row_62	MCM2	NA	2050	0.2776950001716614	0.32844988	Yes	
row_63	CHMP1A	NA	2094	0.2765684723854065	0.33202258	Yes	
row_64	KIF2C	NA	2198	0.27396684885025024	0.3316431	Yes	
row_65	UBE2C	NA	2222	0.27341940999031067	0.3364408	Yes	
row_66	SQLE	NA	2236	0.27318763732910156	0.3418819	Yes	
row_67	POLA2	NA	2303	0.2713550329208374	0.34384263	Yes	
row_68	FBXO5	NA	2338	0.270430326461792	0.34785795	Yes	
row_69	NEK2	NA	2389	0.2695768177509308	0.3508157	Yes	
row_70	CCNA2	NA	2391	0.2695624530315399	0.3569519	Yes	
row_71	RACGAP1	NA	2438	0.2685745656490326	0.36014608	Yes	
row_72	TNPO2	NA	2458	0.26809626817703247	0.3650808	Yes	
row_73	BCL3	NA	2472	0.2677730619907379	0.37039733	Yes	
row_74	ODC1	NA	2484	0.2674035429954529	0.37583512	Yes	
row_75	SUV39H1	NA	2511	0.266793429851532	0.38028577	Yes	
row_76	CCNT1	NA	2661	0.26391443610191345	0.37669095	Yes	
row_77	PLK1	NA	2678	0.2636411488056183	0.38171783	Yes	
row_78	WRN	NA	2684	0.2635793387889862	0.38745683	Yes	
row_79	E2F3	NA	2767	0.26201096177101135	0.38816467	Yes	
row_80	JPT1	NA	2769	0.261977881193161	0.39412636	Yes	
row_81	CCNB2	NA	2861	0.26028692722320557	0.39421067	Yes	
row_82	SNRPD1	NA	2862	0.26027870178222656	0.40019813	Yes	
row_83	CDC7	NA	2991	0.25812625885009766	0.39783245	Yes	
row_84	NUSAP1	NA	3105	0.2560235261917114	0.3963915	Yes	
row_85	BUB1	NA	3155	0.25518712401390076	0.39908314	Yes	
row_86	NDC80	NA	3260	0.2527761161327362	0.39815134	Yes	
row_87	DDX39A	NA	3275	0.2525496184825897	0.40305278	Yes	
row_88	PBK	NA	3347	0.25096434354782104	0.40422007	Yes	
row_89	SMC2	NA	3437	0.24919098615646362	0.4041789	Yes	
row_90	ABL1	NA	3442	0.24911987781524658	0.40965015	Yes	
row_91	LIG3	NA	3478	0.24836651980876923	0.4130931	Yes	
row_92	ORC6	NA	3591	0.24650737643241882	0.4114981	Yes	
row_93	RASAL2	NA	3626	0.2458946406841278	0.41494903	Yes	
row_94	CBX1	NA	3713	0.24451328814029694	0.41499484	Yes	
row_95	STAG1	NA	3737	0.2442387044429779	0.41912127	Yes	
row_96	PTTG1	NA	3900	0.24144399166107178	0.4141662	No	
row_97	SLC7A5	NA	3972	0.24041661620140076	0.41509086	No	
row_98	TOP2A	NA	4160	0.2370987981557846	0.40841404	No	
row_99	HUS1	NA	4217	0.2360791265964508	0.41021198	No	
row_100	UCK2	NA	4370	0.2336319088935852	0.40572596	No	
row_101	TFDP1	NA	4582	0.23055335879325867	0.39734164	No	
