NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HMMR	NA	46	0.41035178303718567	0.008157374	Yes	
row_1	AGRN	NA	132	0.3824535608291626	0.013028519	Yes	
row_2	NANP	NA	178	0.3717676103115082	0.020203263	Yes	
row_3	CENPA	NA	189	0.3698106110095978	0.029594362	Yes	
row_4	KIF20A	NA	368	0.3468157947063446	0.027467676	Yes	
row_5	ABCB6	NA	416	0.342827707529068	0.03372708	Yes	
row_6	SDC1	NA	501	0.33702075481414795	0.037429668	Yes	
row_7	GPC1	NA	529	0.33500319719314575	0.044773504	Yes	
row_8	DEPDC1	NA	568	0.332675039768219	0.05134087	Yes	
row_9	CHPF	NA	646	0.3281420171260834	0.05525632	Yes	
row_10	CAPN5	NA	684	0.3259088099002838	0.061704837	Yes	
row_11	SAP30	NA	690	0.3256831169128418	0.070222184	Yes	
row_12	BIK	NA	848	0.3166235387325287	0.06863754	Yes	
row_13	AURKA	NA	881	0.3153315484523773	0.075123124	Yes	
row_14	CTH	NA	905	0.313921719789505	0.08215401	Yes	
row_15	PKP2	NA	908	0.31375184655189514	0.09054198	Yes	
row_16	VLDLR	NA	1006	0.30944880843162537	0.0926531	Yes	
row_17	IRS2	NA	1035	0.3080581724643707	0.0992006	Yes	
row_18	HOMER1	NA	1084	0.3061612844467163	0.104399756	Yes	
row_19	EXT1	NA	1113	0.30532440543174744	0.110873036	Yes	
row_20	ARTN	NA	1122	0.3048120439052582	0.118629254	Yes	
row_21	STC2	NA	1138	0.30428314208984375	0.12591721	Yes	
row_22	PHKA2	NA	1194	0.30208060145378113	0.1305517	Yes	
row_23	P4HA2	NA	1199	0.3018797039985657	0.13848768	Yes	
row_24	CHST1	NA	1219	0.30117106437683105	0.14543179	Yes	
row_25	SOX9	NA	1229	0.3008987307548523	0.15301692	Yes	
row_26	EGFR	NA	1267	0.2996826767921448	0.15875347	Yes	
row_27	PC	NA	1538	0.2915160059928894	0.14916001	Yes	
row_28	B4GALT2	NA	1569	0.2904176414012909	0.15509892	Yes	
row_29	NDST3	NA	1579	0.29018649458885193	0.16239324	Yes	
row_30	CDK1	NA	1582	0.2901480495929718	0.17014043	Yes	
row_31	ELF3	NA	1833	0.28315120935440063	0.16161673	Yes	
row_32	ANGPTL4	NA	1871	0.2820920944213867	0.16687573	Yes	
row_33	XYLT2	NA	1893	0.28145521879196167	0.1731549	Yes	
row_34	SLC25A13	NA	1928	0.28049683570861816	0.17856513	Yes	
row_35	CITED2	NA	2095	0.2765617370605469	0.17530932	Yes	
row_36	GYS1	NA	2165	0.2748485505580902	0.1782967	Yes	
row_37	PLOD2	NA	2172	0.27468404173851013	0.1853647	Yes	
row_38	LDHC	NA	2272	0.2723797857761383	0.1863398	Yes	
row_39	NDUFV3	NA	2669	0.2638593316078186	0.16782537	Yes	
row_40	FKBP4	NA	2733	0.26265788078308105	0.17087087	Yes	
row_41	PDK3	NA	2794	0.2613260746002197	0.17407474	Yes	
row_42	SRD5A3	NA	2888	0.2598237991333008	0.17509803	Yes	
row_43	EGLN3	NA	3026	0.2572660446166992	0.1731988	Yes	
row_44	FAM162A	NA	3051	0.2568579614162445	0.1786157	Yes	
row_45	GCLC	NA	3067	0.256614625453949	0.18460958	Yes	
row_46	TGFA	NA	3199	0.25409847497940063	0.18301341	Yes	
row_47	GMPPB	NA	3226	0.25360873341560364	0.18821241	Yes	
row_48	ALDH7A1	NA	3228	0.25357747077941895	0.19503163	Yes	
row_49	FUT8	NA	3245	0.2532816529273987	0.20087017	Yes	
row_50	NSDHL	NA	3336	0.251277357339859	0.20185597	Yes	
row_51	HS2ST1	NA	3351	0.2509032189846039	0.20775963	Yes	
row_52	P4HA1	NA	3355	0.2508679926395416	0.21437562	Yes	
row_53	TFF3	NA	3425	0.24938902258872986	0.21667182	Yes	
row_54	EFNA3	NA	3454	0.24889731407165527	0.22161324	Yes	
row_55	SDC2	NA	3611	0.24624519050121307	0.21818283	Yes	
row_56	TPST1	NA	3663	0.24524515867233276	0.22153372	Yes	
row_57	CYB5A	NA	3744	0.24421009421348572	0.22297607	Yes	
row_58	ANG	NA	3830	0.24280188977718353	0.22405599	Yes	
row_59	DSC2	NA	4009	0.23961833119392395	0.21901913	Yes	
row_60	B4GALT4	NA	4170	0.23698200285434723	0.21507788	Yes	
row_61	GFPT1	NA	4234	0.2356824278831482	0.21739104	Yes	
row_62	GALE	NA	4246	0.23539473116397858	0.22306821	Yes	
row_63	G6PD	NA	4291	0.23483097553253174	0.22659028	Yes	
row_64	LHPP	NA	4310	0.23456940054893494	0.23179114	Yes	
row_65	B3GNT3	NA	4381	0.23350243270397186	0.23359124	Yes	
row_66	NOL3	NA	4395	0.23328468203544617	0.23908144	Yes	
row_67	IDUA	NA	4429	0.23272734880447388	0.24325967	Yes	
row_68	GPC4	NA	4463	0.23210076987743378	0.24742088	Yes	
row_69	GOT1	NA	4592	0.2303556650876999	0.24537468	Yes	
row_70	CHST12	NA	4619	0.2299169898033142	0.2499305	Yes	
row_71	CASP6	NA	4664	0.2291201502084732	0.25329754	Yes	
row_72	ANKZF1	NA	4791	0.22704948484897614	0.25129128	Yes	
row_73	GNPDA1	NA	4809	0.22679398953914642	0.2563459	Yes	
row_74	MXI1	NA	4874	0.22579099237918854	0.2583257	Yes	
row_75	IDH1	NA	5078	0.2230711430311203	0.25121856	Yes	
row_76	TXN	NA	5184	0.221594899892807	0.2504259	Yes	
row_77	MET	NA	5400	0.21852244436740875	0.24241717	Yes	
row_78	NASP	NA	5424	0.21820645034313202	0.24684961	Yes	
row_79	GFUS	NA	5425	0.21818947792053223	0.25277296	Yes	
row_80	MERTK	NA	5489	0.2172611951828003	0.25458604	Yes	
row_81	ECD	NA	5564	0.21637211740016937	0.25566173	Yes	
row_82	CLN6	NA	5708	0.2146911472082138	0.25221762	Yes	
row_83	B3GAT3	NA	5727	0.2144813984632492	0.25687316	Yes	
row_84	ALG1	NA	5801	0.21354162693023682	0.25793684	Yes	
row_85	COG2	NA	5803	0.2135276049375534	0.26366878	Yes	
row_86	GPC3	NA	5811	0.21335811913013458	0.2690071	Yes	
row_87	LHX9	NA	5881	0.21232110261917114	0.270297	Yes	
row_88	IL13RA1	NA	6094	0.20949997007846832	0.26223785	No	
row_89	KDELR3	NA	6426	0.2046082317829132	0.24632965	No	
row_90	PMM2	NA	6855	0.19887036085128784	0.22397597	No	
row_91	CHST6	NA	6893	0.19844891130924225	0.22696424	No	
row_92	CHPF2	NA	6937	0.19783733785152435	0.22954686	No	
row_93	EXT2	NA	6997	0.19706328213214874	0.23107097	No	
row_94	PFKFB1	NA	7334	0.19236347079277039	0.21450615	No	
row_95	MED24	NA	7409	0.1914825588464737	0.21490613	No	
row_96	CHST2	NA	7411	0.19145022332668304	0.22003873	No	
row_97	PLOD1	NA	7413	0.191411554813385	0.22517028	No	
row_98	HDLBP	NA	7484	0.1903591901063919	0.22579913	No	
row_99	TPBG	NA	7536	0.18972666561603546	0.22764282	No	
row_100	PGAM2	NA	7549	0.18961986899375916	0.23201247	No	
row_101	BPNT1	NA	7730	0.18710511922836304	0.22542031	No	
row_102	PGLS	NA	7739	0.18701037764549255	0.22997847	No	
row_103	PYGB	NA	7848	0.18568073213100433	0.2280163	No	
row_104	GAPDHS	NA	7862	0.18550072610378265	0.23220928	No	
row_105	SDC3	NA	8054	0.18295897543430328	0.2247913	No	
row_106	AGL	NA	8192	0.18121784925460815	0.22082755	No	
row_107	STC1	NA	8295	0.17967216670513153	0.21909131	No	
row_108	ME1	NA	8349	0.1788051724433899	0.22050881	No	
row_109	SLC35A3	NA	8377	0.17843060195446014	0.22360206	No	
row_110	GMPPA	NA	8472	0.17721864581108093	0.22231796	No	
row_111	MPI	NA	8665	0.17456763982772827	0.21460733	No	
row_112	HK2	NA	8686	0.17428992688655853	0.21804206	No	
row_113	ADORA2B	NA	8775	0.17315244674682617	0.21703662	No	
row_114	MDH2	NA	8809	0.17260459065437317	0.21958265	No	
row_115	IGFBP3	NA	8849	0.17212538421154022	0.22172661	No	
row_116	HS6ST2	NA	8953	0.1705755889415741	0.21967858	No	
row_117	DLD	NA	8974	0.17037807404994965	0.22300711	No	
row_118	AKR1A1	NA	9042	0.16957956552505493	0.22326638	No	
row_119	COL5A1	NA	9079	0.16903699934482574	0.22552101	No	
row_120	GUSB	NA	9116	0.16847819089889526	0.2277605	No	
row_121	GALK2	NA	9235	0.1670204997062683	0.22464332	No	
row_122	GALK1	NA	9470	0.16395506262779236	0.2139212	No	
row_123	GOT2	NA	9583	0.16223596036434174	0.21106319	No	
row_124	PGM2	NA	9640	0.16165480017662048	0.21182057	No	
row_125	AK3	NA	9776	0.159826397895813	0.20740578	No	
row_126	ME2	NA	9832	0.15895172953605652	0.20815462	No	
row_127	SOD1	NA	9835	0.15893244743347168	0.2123396	No	
row_128	COPB2	NA	9866	0.1584937423467636	0.21469706	No	
row_129	DCN	NA	9909	0.15791429579257965	0.2162607	No	
row_130	RBCK1	NA	10077	0.15527507662773132	0.20964739	No	
row_131	GLCE	NA	10116	0.15479661524295807	0.21138574	No	
row_132	PPP2CB	NA	10208	0.15351298451423645	0.20965262	No	
row_133	PSMC4	NA	10318	0.151913121342659	0.2067089	No	
row_134	RARS1	NA	10646	0.14693725109100342	0.18949443	No	
row_135	HAX1	NA	10685	0.14645878970623016	0.19100645	No	
row_136	B4GALT1	NA	10769	0.1451413333415985	0.18956478	No	
row_137	ALDH9A1	NA	10797	0.1448492705821991	0.19174637	No	
row_138	GAL3ST1	NA	10961	0.1421222984790802	0.18503535	No	
row_139	UGP2	NA	11110	0.13985465466976166	0.17923541	No	
row_140	LDHA	NA	11277	0.13746894896030426	0.17220354	No	
row_141	FBP2	NA	11346	0.13640648126602173	0.17149739	No	
