NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FZD5	NA	157	0.3758644759654999	0.004399571	No	
row_1	DCBLD2	NA	411	0.34308406710624695	0.0013004058	No	
row_2	EDN1	NA	483	0.3386532962322235	0.009834481	No	
row_3	HPN	NA	557	0.3333183825016022	0.018031841	No	
row_4	TNFSF9	NA	618	0.32985737919807434	0.02693814	No	
row_5	TNFSF15	NA	1436	0.2946181893348694	-0.014624439	No	
row_6	ITGB8	NA	1549	0.2911735475063324	-0.010591929	No	
row_7	RGS16	NA	1647	0.28830593824386597	-0.0056977267	No	
row_8	ADM	NA	1802	0.28390371799468994	-0.004671543	No	
row_9	ACVR1B	NA	1806	0.2837422788143158	0.0061427597	No	
row_10	ACVR2A	NA	1811	0.28364628553390503	0.016888473	No	
row_11	LDLR	NA	1937	0.2802460193634033	0.019653782	No	
row_12	SPHK1	NA	2089	0.2767605483531952	0.02059741	No	
row_13	OSMR	NA	2668	0.2638702392578125	-0.006655791	No	
row_14	IRAK2	NA	2734	0.26265785098075867	-6.8107573E-4	No	
row_15	SCN1B	NA	3087	0.25631073117256165	-0.013568435	No	
row_16	PCDH7	NA	3375	0.25039052963256836	-0.022469366	No	
row_17	CSF1	NA	3717	0.24444785714149475	-0.035103496	No	
row_18	SLC7A2	NA	3734	0.2442544549703598	-0.026664503	No	
row_19	F3	NA	3844	0.2424425482749939	-0.02432811	No	
row_20	CXCL6	NA	3995	0.23987068235874176	-0.024750909	No	
row_21	OPRK1	NA	4127	0.23757244646549225	-0.02403047	No	
row_22	LIF	NA	4326	0.2341814488172531	-0.027787447	No	
row_23	HAS2	NA	4501	0.2315538078546524	-0.030089652	No	
row_24	CXCL9	NA	4725	0.22817161679267883	-0.035701394	No	
row_25	SLC11A2	NA	4821	0.22661352157592773	-0.033071063	No	
row_26	IFNAR1	NA	5108	0.2226191908121109	-0.042984627	No	
row_27	RIPK2	NA	5230	0.22096018493175507	-0.04226009	No	
row_28	KCNJ2	NA	5341	0.2194107472896576	-0.040882174	No	
row_29	MYC	NA	5349	0.21934479475021362	-0.032825876	No	
row_30	MET	NA	5400	0.21852244436740875	-0.027590618	No	
row_31	PVR	NA	5418	0.21826374530792236	-0.020224899	No	
row_32	ADRM1	NA	5452	0.21785622835159302	-0.013912808	No	
row_33	SLC1A2	NA	5508	0.21705441176891327	-0.009058822	No	
row_34	IL12B	NA	5565	0.2163703888654709	-0.00429624	No	
row_35	GPC3	NA	5811	0.21335811913013458	-0.011909724	No	
row_36	SLC31A1	NA	6049	0.21020512282848358	-0.019126633	No	
row_37	INHBA	NA	6138	0.20889198780059814	-0.016729835	No	
row_38	P2RX4	NA	6260	0.20701712369918823	-0.016546274	No	
row_39	IL1R1	NA	6341	0.20590060949325562	-0.01374663	No	
row_40	CX3CL1	NA	6371	0.20537032186985016	-0.0076595256	No	
row_41	MEP1A	NA	6669	0.20129333436489105	-0.01911401	No	
row_42	KCNMB2	NA	6690	0.20096281170845032	-0.01261414	No	
row_43	SLC4A4	NA	6882	0.19853021204471588	-0.017300304	No	
row_44	LAMP3	NA	6891	0.19846464693546295	-0.010118998	No	
row_45	RNF144B	NA	7356	0.19214466214179993	-0.03276064	No	
row_46	TACR1	NA	7410	0.1914730668067932	-0.028769454	No	
row_47	CHST2	NA	7411	0.19145022332668304	-0.021341393	No	
row_48	RELA	NA	7437	0.19104532897472382	-0.015550628	No	
row_49	RAF1	NA	7474	0.1905021220445633	-0.010494437	No	
row_50	TPBG	NA	7536	0.18972666561603546	-0.0070899194	No	
row_51	ROS1	NA	7601	0.18894298374652863	-0.003910398	No	
row_52	P2RY2	NA	7609	0.18876118957996368	0.0029592873	No	
row_53	ATP2A2	NA	7809	0.18615250289440155	-0.002726026	No	
row_54	AHR	NA	7910	0.18484124541282654	-0.0020407324	No	
row_55	MMP14	NA	8301	0.17954589426517487	-0.020371296	No	
row_56	CD82	NA	8670	0.17450836300849915	-0.037470315	No	
row_57	ADORA2B	NA	8775	0.17315244674682617	-0.037497986	No	
row_58	NFKB1	NA	8785	0.1729833334684372	-0.031370193	No	
row_59	KIF1B	NA	8840	0.17221246659755707	-0.02819116	No	
row_60	TLR3	NA	8982	0.17031799256801605	-0.030728756	No	
row_61	BDKRB1	NA	9086	0.168913796544075	-0.03085602	No	
row_62	NMUR1	NA	9345	0.16553859412670135	-0.041168075	No	
row_63	IL15RA	NA	9447	0.16425378620624542	-0.041346416	No	
row_64	TNFRSF9	NA	9482	0.1637556403875351	-0.03719823	No	
row_65	CXCL11	NA	9555	0.16262024641036987	-0.035558913	No	
row_66	SELENOS	NA	9624	0.16178081929683685	-0.033692706	No	
row_67	GNA15	NA	9845	0.15881241858005524	-0.041800916	No	
row_68	HRH1	NA	10103	0.15497778356075287	-0.052457858	No	
row_69	GNAI3	NA	10153	0.15427428483963013	-0.04965049	No	
row_70	HIF1A	NA	10170	0.15400639176368713	-0.044713024	No	
row_71	NAMPT	NA	10238	0.15315258502960205	-0.043116722	No	
row_72	ICAM1	NA	10354	0.15133719146251678	-0.044704303	No	
row_73	FFAR2	NA	10365	0.1511687934398651	-0.039487753	No	
row_74	CCRL2	NA	10476	0.1493232101202011	-0.040829156	No	
row_75	IL6	NA	10597	0.14765524864196777	-0.042883907	No	
row_76	SERPINE1	NA	10634	0.14710013568401337	-0.039511666	No	
row_77	LYN	NA	10719	0.14593970775604248	-0.039297894	No	
row_78	PDPN	NA	10820	0.14454036951065063	-0.040176228	No	
row_79	SLC31A2	NA	10900	0.14321814477443695	-0.039743733	No	
row_80	GCH1	NA	10949	0.14237436652183533	-0.03733321	No	
