NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TDRD7	NA	2393	0.269534170627594	-0.12873095	No	
row_1	SLC25A28	NA	2397	0.2693423330783844	-0.10343557	No	
row_2	MVB12A	NA	2714	0.2630223035812378	-0.098912306	No	
row_3	TENT5A	NA	3441	0.24912841618061066	-0.1221299	No	
row_4	CSF1	NA	3717	0.24444785714149475	-0.116721794	No	
row_5	PARP12	NA	3862	0.24215710163116455	-0.10308702	No	
row_6	RIPK2	NA	5230	0.22096018493175507	-0.17028514	No	
row_7	GMPR	NA	5415	0.21831925213336945	-0.16148436	No	
row_8	IRF2	NA	5786	0.2136954516172409	-0.16510956	No	
row_9	USP18	NA	6173	0.2083849161863327	-0.17026857	No	
row_10	PSME2	NA	6298	0.2065131515264511	-0.15871783	No	
row_11	STAT2	NA	6837	0.1990562379360199	-0.17455661	No	
row_12	LAMP3	NA	6891	0.19846464693546295	-0.15919131	No	
row_13	CNP	NA	7461	0.1905864179134369	-0.17782968	No	
row_14	IL7	NA	8190	0.18127921223640442	-0.20759697	No	
row_15	CMPK2	NA	8362	0.17867328226566315	-0.20171013	No	
row_16	PROCR	NA	8744	0.17355987429618835	-0.20984249	Yes	
row_17	PSMA3	NA	8854	0.1720343977212906	-0.20058776	Yes	
row_18	TRIM25	NA	9077	0.1690957397222519	-0.19889443	Yes	
row_19	CMTR1	NA	9249	0.16687467694282532	-0.19412413	Yes	
row_20	NUB1	NA	9443	0.16431240737438202	-0.19101429	Yes	
row_21	CXCL11	NA	9555	0.16262024641036987	-0.18277937	Yes	
row_22	DHX58	NA	9590	0.16218197345733643	-0.16962299	Yes	
row_23	TRAFD1	NA	9647	0.16150391101837158	-0.15794876	Yes	
row_24	IFIH1	NA	9732	0.16044014692306519	-0.1481799	Yes	
row_25	HERC6	NA	9740	0.1603461354970932	-0.133457	Yes	
row_26	PNPT1	NA	10005	0.15646052360534668	-0.13566643	Yes	
row_27	LAP3	NA	10049	0.15577368438243866	-0.12369657	Yes	
row_28	CCRL2	NA	10476	0.1493232101202011	-0.13702294	Yes	
row_29	PARP9	NA	10610	0.14749236404895782	-0.1316376	Yes	
row_30	NCOA7	NA	11038	0.14089447259902954	-0.14582606	Yes	
row_31	NMI	NA	11166	0.13907043635845184	-0.140851	Yes	
row_32	ISG20	NA	11684	0.13133825361728668	-0.16174462	Yes	
row_33	C1S	NA	11789	0.12963126599788666	-0.1561804	Yes	
row_34	TRIM14	NA	11847	0.12884533405303955	-0.1476612	Yes	
row_35	DDX60	NA	12076	0.12478094547986984	-0.15054823	Yes	
row_36	PARP14	NA	12577	0.11589669436216354	-0.17180742	Yes	
row_37	EIF2AK2	NA	12639	0.11477970331907272	-0.16487713	Yes	
row_38	BATF2	NA	12831	0.11111187934875488	-0.16667293	Yes	
row_39	TMEM140	NA	12872	0.11028328537940979	-0.15881461	Yes	
row_40	ADAR	NA	12894	0.10984211415052414	-0.14977342	Yes	
row_41	IRF1	NA	13085	0.10596688091754913	-0.15199165	Yes	
row_42	RSAD2	NA	13118	0.1051565632224083	-0.14410286	Yes	
row_43	RTP4	NA	13384	0.09894770383834839	-0.15181936	Yes	
row_44	IRF9	NA	13503	0.09586698561906815	-0.1503527	Yes	
row_45	WARS1	NA	13581	0.09336154162883759	-0.14648053	Yes	
row_46	HELZ2	NA	13658	0.09147723019123077	-0.14272223	Yes	
row_47	ELF1	NA	13745	0.08878166228532791	-0.13986357	Yes	
row_48	TRIM5	NA	13773	0.08808633685112	-0.13326792	Yes	
row_49	IFIT2	NA	13832	0.08629890531301498	-0.1288395	Yes	
row_50	TRIM21	NA	13862	0.0852683037519455	-0.12263943	Yes	
row_51	UBE2L6	NA	13930	0.08304790407419205	-0.119098745	Yes	
row_52	OASL	NA	14100	0.07512841373682022	-0.122881785	Yes	
row_53	PLSCR1	NA	14237	0.06644286960363388	-0.12535979	Yes	
row_54	PSME1	NA	14290	0.0628993958234787	-0.12275901	Yes	
row_55	IFI44L	NA	14364	0.059039775282144547	-0.12187701	Yes	
row_56	MX1	NA	14395	0.057491742074489594	-0.11836999	Yes	
row_57	IL15	NA	14453	0.05498695373535156	-0.11684026	Yes	
row_58	SP110	NA	14489	0.051632266491651535	-0.11421002	Yes	
row_59	CXCL10	NA	14497	0.05076475441455841	-0.10985716	Yes	
row_60	CASP8	NA	14506	0.050075750797986984	-0.10563396	Yes	
row_61	IFI35	NA	14551	0.046710044145584106	-0.1040496	Yes	
row_62	OAS1	NA	14627	0.039805587381124496	-0.105116695	Yes	
row_63	IFIT3	NA	14656	0.03672203794121742	-0.103446275	Yes	
row_64	IL4R	NA	14663	0.03601963073015213	-0.10042435	Yes	
row_65	LGALS3BP	NA	14666	0.03573128953576088	-0.09717189	Yes	
row_66	UBA7	NA	14708	0.032149940729141235	-0.09677204	Yes	
row_67	IFI44	NA	14806	0.02339463122189045	-0.10081014	Yes	
row_68	SAMD9	NA	14839	0.020581703633069992	-0.10092495	Yes	
row_69	TXNIP	NA	14935	0.00974967423826456	-0.106125414	Yes	
row_70	GBP4	NA	15016	-4.8226339276880026E-4	-0.11123607	Yes	
row_71	EPSTI1	NA	15067	-0.0082237608730793	-0.11368052	Yes	
row_72	SAMD9L	NA	15108	-0.013700020499527454	-0.1149622	Yes	
row_73	BST2	NA	15267	-0.04980901628732681	-0.1204323	Yes	
row_74	GBP2	NA	15278	-0.05236561596393585	-0.11612131	Yes	
