NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OPHN1	NA	3	0.45781269669532776	0.01261075	Yes	
row_1	SAC3D1	NA	58	0.4023383557796478	0.020363752	Yes	
row_2	ANLN	NA	93	0.39121776819229126	0.029102217	Yes	
row_3	KIF15	NA	375	0.34645789861679077	0.020576801	Yes	
row_4	ARHGAP29	NA	398	0.34430134296417236	0.0287809	Yes	
row_5	PIF1	NA	470	0.33961406350135803	0.03367744	Yes	
row_6	PRC1	NA	517	0.3355486989021301	0.04008091	Yes	
row_7	BIRC5	NA	602	0.3305104076862335	0.043880083	Yes	
row_8	CDC42EP4	NA	633	0.32894691824913025	0.051136106	Yes	
row_9	ESPL1	NA	656	0.32748720049858093	0.058869906	Yes	
row_10	WASF1	NA	702	0.32508018612861633	0.065045394	Yes	
row_11	BRCA2	NA	706	0.3249729871749878	0.07394056	Yes	
row_12	KIF11	NA	763	0.32104116678237915	0.07928999	Yes	
row_13	CEP250	NA	805	0.31898820400238037	0.08555438	Yes	
row_14	KIF4A	NA	878	0.3153892159461975	0.089708515	Yes	
row_15	AURKA	NA	881	0.3153315484523773	0.09839883	Yes	
row_16	FGD6	NA	894	0.3145025968551636	0.1064177	Yes	
row_17	INCENP	NA	1038	0.3079760670661926	0.10576186	Yes	
row_18	TTK	NA	1055	0.3071063756942749	0.11331456	Yes	
row_19	RANBP9	NA	1066	0.30682334303855896	0.12124829	Yes	
row_20	KPTN	NA	1207	0.30141109228134155	0.12060331	Yes	
row_21	TPX2	NA	1211	0.30137091875076294	0.12883832	Yes	
row_22	CNTROB	NA	1414	0.2950947880744934	0.123997465	Yes	
row_23	ARHGEF11	NA	1438	0.2945711314678192	0.13074577	Yes	
row_24	KIF23	NA	1539	0.29146504402160645	0.13241561	Yes	
row_25	CDK1	NA	1582	0.2901480495929718	0.1378085	Yes	
row_26	WASL	NA	1701	0.2867613136768341	0.13817993	Yes	
row_27	KIF3B	NA	1708	0.28643175959587097	0.1458026	Yes	
row_28	CENPE	NA	1755	0.28508585691452026	0.1507946	Yes	
row_29	SHROOM2	NA	1791	0.28427180647850037	0.15647691	Yes	
row_30	CENPF	NA	1841	0.2829044759273529	0.16121343	Yes	
row_31	RICTOR	NA	1901	0.2812618911266327	0.16525574	Yes	
row_32	SASS6	NA	1962	0.2796425223350525	0.16918792	Yes	
row_33	HOOK3	NA	1978	0.2794376611709595	0.17603153	Yes	
row_34	ALMS1	NA	1982	0.27936074137687683	0.18365091	Yes	
row_35	RALBP1	NA	1996	0.27897197008132935	0.19061114	Yes	
row_36	CDC42EP1	NA	2014	0.2785162031650543	0.19729933	Yes	
row_37	MYH10	NA	2126	0.275896281003952	0.19782063	Yes	
row_38	PCNT	NA	2151	0.2751881778240204	0.20396195	Yes	
row_39	MYO1E	NA	2187	0.2742571234703064	0.20936415	Yes	
row_40	KIF2C	NA	2198	0.27396684885025024	0.21637887	Yes	
row_41	DOCK4	NA	2247	0.2729188799858093	0.22090091	Yes	
row_42	CDC42EP2	NA	2288	0.271717369556427	0.22590794	Yes	
row_43	ALS2	NA	2294	0.2716006636619568	0.2331806	Yes	
row_44	CDC42BPA	NA	2309	0.2712368667125702	0.23985966	Yes	
row_45	FBXO5	NA	2338	0.270430326461792	0.2456086	Yes	
row_46	ECT2	NA	2354	0.27017030119895935	0.252193	Yes	
row_47	NEK2	NA	2389	0.2695768177509308	0.2575291	Yes	
row_48	RACGAP1	NA	2438	0.2685745656490326	0.26192963	Yes	
row_49	SOS1	NA	2570	0.26554057002067566	0.26086476	Yes	
row_50	DLGAP5	NA	2581	0.265210896730423	0.26763457	Yes	
row_51	HDAC6	NA	2667	0.2638705372810364	0.269505	Yes	
row_52	PLK1	NA	2678	0.2636411488056183	0.27623087	Yes	
row_53	UXT	NA	2815	0.2610477805137634	0.27471623	Yes	
row_54	CCNB2	NA	2861	0.26028692722320557	0.2790794	Yes	
row_55	ITSN1	NA	3014	0.2576483488082886	0.27643245	Yes	
row_56	NUSAP1	NA	3105	0.2560235261917114	0.27775925	Yes	
row_57	BUB1	NA	3155	0.25518712401390076	0.2817205	Yes	
row_58	NDC80	NA	3260	0.2527761161327362	0.28204888	Yes	
row_59	FSCN1	NA	3264	0.2527538537979126	0.28892404	Yes	
row_60	MID1	NA	3316	0.25187262892723083	0.29266295	Yes	
row_61	DYNLL2	NA	3322	0.25175875425338745	0.2993806	Yes	
row_62	CEP131	NA	3327	0.2515905499458313	0.30615842	Yes	
row_63	CLIP2	NA	3416	0.24961179494857788	0.3074355	Yes	
row_64	ABL1	NA	3442	0.24911987781524658	0.31278285	Yes	
row_65	SHROOM1	NA	3475	0.2484453171491623	0.31765756	Yes	
row_66	CTTN	NA	3497	0.2480262815952301	0.32323363	Yes	
row_67	RASAL2	NA	3626	0.2458946406841278	0.32181373	Yes	
row_68	KIF3C	NA	3670	0.2451193928718567	0.32588235	Yes	
row_69	CENPJ	NA	3871	0.24206402897834778	0.31968787	Yes	
row_70	LLGL1	NA	3899	0.24147486686706543	0.32469174	Yes	
row_71	NF1	NA	3946	0.24070675671100616	0.32844242	Yes	
row_72	CD2AP	NA	4015	0.2395043969154358	0.33073333	Yes	
row_73	TOP2A	NA	4160	0.2370987981557846	0.3280302	Yes	
row_74	ARFGEF1	NA	4212	0.23620444536209106	0.33133084	Yes	
row_75	ARHGAP5	NA	4228	0.23584279417991638	0.33695507	Yes	
row_76	CEP57	NA	4286	0.23488757014274597	0.33982992	Yes	
row_77	RABGAP1	NA	4319	0.23442164063453674	0.3443124	Yes	
row_78	ARHGEF12	NA	4670	0.22895923256874084	0.32802752	No	
row_79	NET1	NA	4781	0.22720955312252045	0.32725185	No	
row_80	MID1IP1	NA	4787	0.22707271575927734	0.33327904	No	
row_81	ARL8A	NA	4878	0.22573570907115936	0.33375868	No	
row_82	PPP4R2	NA	4886	0.2256384640932083	0.33961612	No	
row_83	FLNB	NA	5093	0.22287817299365997	0.33249605	No	
row_84	MARK4	NA	5386	0.21875551342964172	0.31968564	No	
row_85	LMNB1	NA	5640	0.21541762351989746	0.30931008	No	
row_86	SMC3	NA	5649	0.21530573070049286	0.31481367	No	
row_87	SMC4	NA	5792	0.2136501520872116	0.31158432	No	
row_88	FARP1	NA	5810	0.21339944005012512	0.3164512	No	
row_89	STK38L	NA	5974	0.21127696335315704	0.3117941	No	
row_90	TUBGCP2	NA	6011	0.21079154312610626	0.3153563	No	
row_91	RASA2	NA	6021	0.21062758564949036	0.32066426	No	
row_92	KIF20B	NA	6252	0.2071651816368103	0.31154886	No	
row_93	KIF22	NA	6566	0.2026349902153015	0.29692623	No	
row_94	SORBS2	NA	6584	0.20247769355773926	0.3014876	No	
row_95	MYO9B	NA	6857	0.1988460272550583	0.28941682	No	
row_96	KNTC1	NA	6950	0.19766941666603088	0.28898177	No	
row_97	RAPGEF6	NA	7003	0.19702115654945374	0.2911216	No	
row_98	TSC1	NA	7072	0.19607225060462952	0.2921977	No	
row_99	SMC1A	NA	7118	0.19554749131202698	0.2947501	No	
row_100	CLIP1	NA	7209	0.1943652331829071	0.29435226	No	
row_101	CDC27	NA	7414	0.1914026290178299	0.28648147	No	
row_102	KATNB1	NA	7505	0.19018954038619995	0.28596684	No	
row_103	ARFIP2	NA	7663	0.18793657422065735	0.28104588	No	
row_104	STAU1	NA	7769	0.18665847182273865	0.27946013	No	
row_105	MARCKS	NA	7847	0.1856943964958191	0.27966252	No	
row_106	PKD2	NA	7956	0.184188574552536	0.2778132	No	
row_107	BCL2L11	NA	8083	0.1826236993074417	0.2747532	No	
row_108	DYNC1H1	NA	8535	0.17633363604545593	0.250449	No	
row_109	RASA1	NA	8735	0.17369893193244934	0.24240714	No	
row_110	KIF1B	NA	8840	0.17221246659755707	0.24048214	No	
row_111	CDK5RAP2	NA	9117	0.16846530139446259	0.22730231	No	
row_112	RHOT2	NA	9226	0.16714103519916534	0.22497615	No	
row_113	MAPRE1	NA	9274	0.16652369499206543	0.2265871	No	
row_114	NUMA1	NA	9652	0.16145922243595123	0.20666392	No	
row_115	CSNK1D	NA	9657	0.16131354868412018	0.21091664	No	
row_116	KATNA1	NA	9704	0.16069896519184113	0.21242948	No	
row_117	RAPGEF5	NA	9753	0.1601042002439499	0.21379603	No	
row_118	GEMIN4	NA	9869	0.1584782600402832	0.2107738	No	
row_119	LATS1	NA	9964	0.1570681482553482	0.20907345	No	
row_120	TUBD1	NA	10097	0.15507234632968903	0.20485392	No	
row_121	TUBGCP6	NA	10210	0.1534852534532547	0.2018865	No	
row_122	VCL	NA	10217	0.15339237451553345	0.205788	No	
row_123	KIF5B	NA	10231	0.15323881804943085	0.20923142	No	
row_124	PCGF5	NA	10265	0.15276823937892914	0.21136518	No	
row_125	LRPPRC	NA	10278	0.15260545909404755	0.21485572	No	
row_126	ARF6	NA	10366	0.1511632651090622	0.213444	No	
row_127	NCK1	NA	10460	0.1495625227689743	0.21159853	No	
row_128	EPB41L2	NA	10489	0.14919798076152802	0.21395655	No	
row_129	TUBGCP3	NA	10538	0.14845754206180573	0.21499735	No	
row_130	SPTAN1	NA	10681	0.14652617275714874	0.20989051	No	
row_131	ARAP3	NA	10958	0.14224855601787567	0.1959774	No	
row_132	APC	NA	11293	0.13715045154094696	0.1781618	No	
row_133	PAFAH1B1	NA	11299	0.13710226118564606	0.18167248	No	
row_134	RAB3GAP1	NA	11301	0.13706398010253906	0.1854414	No	
row_135	TUBA4A	NA	11326	0.13670548796653748	0.1877093	No	
row_136	PDLIM5	NA	11715	0.13087834417819977	0.16621768	No	
row_137	EPB41	NA	11772	0.12988215684890747	0.16622032	No	
row_138	EZR	NA	12047	0.1253419816493988	0.15196396	No	
row_139	ARHGAP10	NA	12065	0.12506364285945892	0.15436003	No	
