NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAP3K6	NA	200	0.36767712235450745	0.016796976	Yes	
row_1	LAS1L	NA	778	0.3201528787612915	0.0055076983	Yes	
row_2	PLK4	NA	1069	0.3067800998687744	0.011602082	Yes	
row_3	AIMP2	NA	1314	0.29801732301712036	0.019948667	Yes	
row_4	SLC29A2	NA	1720	0.28600651025772095	0.016969236	Yes	
row_5	RABEPK	NA	1725	0.28587985038757324	0.039775662	Yes	
row_6	TMEM97	NA	1749	0.2852368950843811	0.06130796	Yes	
row_7	NOP16	NA	1840	0.28293097019195557	0.07834415	Yes	
row_8	BYSL	NA	2009	0.27866166830062866	0.09001823	Yes	
row_9	NDUFAF4	NA	2025	0.278190553188324	0.11149669	Yes	
row_10	PUS1	NA	2068	0.27742961049079895	0.13117686	Yes	
row_11	DCTPP1	NA	2233	0.27323323488235474	0.1426703	Yes	
row_12	RRP9	NA	2322	0.270844042301178	0.15886004	Yes	
row_13	UNG	NA	2415	0.26895251870155334	0.17463985	Yes	
row_14	PLK1	NA	2678	0.2636411488056183	0.17905515	Yes	
row_15	GRWD1	NA	3061	0.25665220618247986	0.1751871	Yes	
row_16	GNL3	NA	3277	0.25252610445022583	0.18172917	Yes	
row_17	MPHOSPH10	NA	3302	0.2521827518939972	0.20053045	Yes	
row_18	PPAN	NA	3314	0.2519156336784363	0.22014646	Yes	
row_19	MCM4	NA	3325	0.2516390085220337	0.23980449	Yes	
row_20	HSPE1	NA	3398	0.2498779445886612	0.25533202	Yes	
row_21	CBX3	NA	3406	0.24976389110088348	0.27503175	Yes	
row_22	MRTO4	NA	3575	0.24675686657428741	0.28413185	Yes	
row_23	WDR43	NA	4062	0.23877109587192535	0.27213097	Yes	
row_24	TFB2M	NA	4076	0.2385130226612091	0.29053706	Yes	
row_25	SUPV3L1	NA	4359	0.233799546957016	0.29125828	Yes	
row_26	PRMT3	NA	4599	0.23026348650455475	0.29446036	Yes	
row_27	EXOSC5	NA	4707	0.22835832834243774	0.30600023	Yes	
row_28	PPRC1	NA	4812	0.22678247094154358	0.31760597	Yes	
row_29	NIP7	NA	4856	0.2260633260011673	0.3330778	Yes	
row_30	NOP56	NA	4910	0.22531861066818237	0.3478462	Yes	
row_31	TBRG4	NA	5167	0.22181686758995056	0.34927326	Yes	
row_32	MYC	NA	5349	0.21934479475021362	0.35532558	Yes	
row_33	RRP12	NA	5465	0.21763141453266144	0.36548543	Yes	
row_34	TCOF1	NA	5646	0.21533578634262085	0.37127864	Yes	
row_35	MYBBP1A	NA	5941	0.21166828274726868	0.36944243	Yes	
row_36	UTP20	NA	6170	0.2084348052740097	0.3715911	Yes	
row_37	NOP2	NA	6185	0.20818080008029938	0.38748574	Yes	
row_38	IMP4	NA	6262	0.2069765031337738	0.39929482	Yes	
row_39	WDR74	NA	6394	0.20504531264305115	0.40741	Yes	
row_40	NOC4L	NA	6504	0.2034521996974945	0.41681185	Yes	
row_41	MCM5	NA	6579	0.20252376794815063	0.42839038	Yes	
row_42	CDK4	NA	6878	0.19856706261634827	0.4252399	No	
row_43	PES1	NA	7641	0.18829160928726196	0.3914116	No	
row_44	NOLC1	NA	8002	0.18361607193946838	0.3830665	No	
row_45	FARSA	NA	8505	0.17684128880500793	0.36504006	No	
row_46	SORD	NA	8550	0.17619697749614716	0.3764245	No	
row_47	HK2	NA	8686	0.17428992688655853	0.3818011	No	
row_48	IPO4	NA	9241	0.16693076491355896	0.35963002	No	
row_49	PA2G4	NA	10089	0.15513862669467926	0.31765905	No	
row_50	DDX18	NA	11037	0.14090648293495178	0.26810697	No	
row_51	SLC19A1	NA	11931	0.1272319257259369	0.22092545	No	
row_52	RCL1	NA	12209	0.12255625426769257	0.2129936	No	
row_53	NPM1	NA	14325	0.06140684708952904	0.08189107	No	
