NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HES1	NA	70	0.39802053570747375	0.06832852	Yes	
row_1	FZD5	NA	157	0.3758644759654999	0.13157594	Yes	
row_2	CCND1	NA	238	0.36108851432800293	0.19250515	Yes	
row_3	JAG1	NA	345	0.3493599593639374	0.24961902	Yes	
row_4	SAP30	NA	690	0.3256831169128418	0.287119	Yes	
row_5	WNT5A	NA	1854	0.2824632227420807	0.2641237	Yes	
row_6	DTX4	NA	2636	0.26423895359039307	0.26232207	Yes	
row_7	DTX2	NA	4407	0.23306703567504883	0.19131386	Yes	
row_8	KAT2A	NA	4831	0.22639280557632446	0.20557481	Yes	
row_9	TCF7L2	NA	4938	0.2249525934457779	0.23992668	Yes	
row_10	PRKCA	NA	5172	0.2217547446489334	0.26553884	Yes	
row_11	PSEN2	NA	5289	0.22013689577579498	0.29836753	Yes	
row_12	RBX1	NA	5393	0.21863500773906708	0.33175614	Yes	
row_13	PPARD	NA	5872	0.21246084570884705	0.33993652	Yes	
row_14	PSENEN	NA	6634	0.20187440514564514	0.32800865	Yes	
row_15	WNT2	NA	7063	0.19618737697601318	0.3364221	Yes	
row_16	NOTCH3	NA	7188	0.19458110630512238	0.3640613	Yes	
row_17	ARRB1	NA	9006	0.17004549503326416	0.2785046	No	
row_18	ST3GAL6	NA	9210	0.16731972992420197	0.29608345	No	
row_19	DTX1	NA	9622	0.1618202030658722	0.2993005	No	
row_20	HEYL	NA	10078	0.15526804327964783	0.2984935	No	
row_21	APH1A	NA	11171	0.13897691667079926	0.25380433	No	
row_22	SKP1	NA	11890	0.12793691456317902	0.23110962	No	
row_23	MAML2	NA	14744	0.02896994911134243	0.053220134	No	
row_24	CUL1	NA	15070	-0.008475448936223984	0.03390272	No	
