NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ECI1	NA	1322	0.2978056073188782	-0.07664918	No	
row_1	HTRA2	NA	1458	0.2938641905784607	-0.07638649	No	
row_2	PHYH	NA	1573	0.2903524935245514	-0.07486879	No	
row_3	ATP1B1	NA	2048	0.2777349650859833	-0.09710152	No	
row_4	MRPL35	NA	2085	0.27692949771881104	-0.09093402	No	
row_5	NQO2	NA	2370	0.26995140314102173	-0.10107531	No	
row_6	NDUFS8	NA	2891	0.2597946524620056	-0.1268442	No	
row_7	ATP5MC1	NA	3129	0.25571390986442566	-0.1343725	No	
row_8	ETFDH	NA	3215	0.25376617908477783	-0.13209626	No	
row_9	IMMT	NA	3496	0.24802884459495544	-0.14265114	No	
row_10	NDUFC1	NA	3631	0.24576154351234436	-0.14380066	No	
row_11	CYB5A	NA	3744	0.24421009421348572	-0.14357008	No	
row_12	COX15	NA	3820	0.2430054247379303	-0.1409753	No	
row_13	NDUFS6	NA	4022	0.23934993147850037	-0.1466698	Yes	
row_14	MRPS12	NA	4031	0.23924733698368073	-0.13984232	Yes	
row_15	MRPS11	NA	4134	0.23747222125530243	-0.13916968	Yes	
row_16	COX17	NA	4144	0.23737242817878723	-0.13246466	Yes	
row_17	SUPV3L1	NA	4359	0.233799546957016	-0.13917327	Yes	
row_18	ATP5F1D	NA	4427	0.23273488879203796	-0.13637468	Yes	
row_19	FXN	NA	4453	0.2322911024093628	-0.13086405	Yes	
row_20	ALDH6A1	NA	4476	0.23192237317562103	-0.12517007	Yes	
row_21	AFG3L2	NA	4545	0.23102430999279022	-0.12248891	Yes	
row_22	DLAT	NA	4601	0.23022691905498505	-0.11898858	Yes	
row_23	NDUFB6	NA	4687	0.22862130403518677	-0.11748447	Yes	
row_24	TIMM9	NA	4802	0.22690267860889435	-0.11791515	Yes	
row_25	TIMM8B	NA	4899	0.2255091369152069	-0.117220476	Yes	
row_26	TIMM13	NA	4950	0.22480405867099762	-0.11356218	Yes	
row_27	TIMM10	NA	4956	0.2247048020362854	-0.10698657	Yes	
row_28	NDUFB7	NA	5011	0.22406886518001556	-0.10361044	Yes	
row_29	IDH1	NA	5078	0.2230711430311203	-0.101043716	Yes	
row_30	RETSAT	NA	5173	0.22175376117229462	-0.10033456	Yes	
row_31	MPC1	NA	5321	0.21969135105609894	-0.10312829	Yes	
row_32	ATP5ME	NA	5361	0.2190776914358139	-0.098931976	Yes	
row_33	MRPL11	NA	5407	0.21848569810390472	-0.095143214	Yes	
row_34	MGST3	NA	5478	0.21744556725025177	-0.09300882	Yes	
row_35	ALAS1	NA	5491	0.21724024415016174	-0.0871167	Yes	
row_36	MRPL34	NA	5615	0.2157096117734909	-0.088475175	Yes	
row_37	NDUFA7	NA	5652	0.21527421474456787	-0.084200956	Yes	
row_38	TOMM70	NA	5723	0.21449632942676544	-0.08215713	Yes	
row_39	OGDH	NA	5778	0.21378785371780396	-0.079096705	Yes	
row_40	BAX	NA	5796	0.21361202001571655	-0.07364049	Yes	
row_41	NDUFB3	NA	5849	0.21274931728839874	-0.07048216	Yes	
row_42	FDX1	NA	5879	0.21233730018138885	-0.06584384	Yes	
row_43	NDUFS1	NA	5900	0.21209262311458588	-0.060628973	Yes	
row_44	SLC25A12	NA	5963	0.21140743792057037	-0.058160823	Yes	
row_45	NDUFS7	NA	6022	0.21062347292900085	-0.055457156	Yes	
row_46	NDUFA8	NA	6058	0.21011565625667572	-0.05127645	Yes	
row_47	GRPEL1	NA	6108	0.2093106061220169	-0.048029024	Yes	
row_48	TIMM50	NA	6127	0.20906859636306763	-0.042777218	Yes	
row_49	UQCR11	NA	6150	0.20868143439292908	-0.03779689	Yes	
row_50	AIFM1	NA	6167	0.20845137536525726	-0.032434244	Yes	
row_51	ACADSB	NA	6204	0.2079327255487442	-0.028385464	Yes	
row_52	MAOB	NA	6223	0.20766286551952362	-0.023176825	Yes	
row_53	HSPA9	NA	6246	0.20722422003746033	-0.018241243	Yes	
row_54	SLC25A4	NA	6286	0.20666205883026123	-0.014426176	Yes	
row_55	RHOT1	NA	6322	0.20614275336265564	-0.010367467	Yes	
row_56	CYCS	NA	6369	0.20543290674686432	-0.007044424	Yes	
row_57	COX5A	NA	6395	0.20503270626068115	-0.0023708297	Yes	
row_58	ATP6V1C1	NA	6450	0.20423172414302826	3.9615127E-4	Yes	
row_59	UQCRB	NA	6469	0.2039249688386917	0.0054900097	Yes	
row_60	ATP5PF	NA	6689	0.20098760724067688	-0.002550656	Yes	
row_61	HCCS	NA	6724	0.20051831007003784	0.0014002385	Yes	
row_62	VDAC2	NA	6853	0.19890718162059784	-7.986719E-4	Yes	
row_63	HSD17B10	NA	6864	0.1987760066986084	0.0046562525	Yes	
row_64	PDHB	NA	6984	0.19726410508155823	0.0029909618	Yes	
row_65	PDHX	NA	7014	0.1968894600868225	0.0071549094	Yes	
row_66	NDUFA1	NA	7037	0.19655293226242065	0.0117628025	Yes	
row_67	MTX2	NA	7040	0.19653350114822388	0.017668042	Yes	
row_68	PDHA1	NA	7045	0.19645366072654724	0.023441037	Yes	
row_69	MFN2	NA	7114	0.19558654725551605	0.025033986	Yes	
row_70	PDP1	NA	7117	0.19554896652698517	0.030908994	Yes	
row_71	TIMM17A	NA	7168	0.1948336958885193	0.033646975	Yes	
row_72	UQCR10	NA	7228	0.19386981427669525	0.03577128	Yes	
row_73	NDUFS3	NA	7239	0.1937558501958847	0.041072052	Yes	
row_74	SLC25A11	NA	7256	0.19353294372558594	0.04597659	Yes	
row_75	SURF1	NA	7305	0.19265629351139069	0.048777502	Yes	
row_76	IDH3A	NA	7408	0.19153454899787903	0.048039526	Yes	
row_77	MRPL15	NA	7480	0.19039011001586914	0.049278215	Yes	
row_78	ATP5MG	NA	7494	0.19027385115623474	0.054277368	Yes	
row_79	VDAC1	NA	7673	0.18777740001678467	0.048491836	Yes	
row_80	ISCA1	NA	7761	0.1867179423570633	0.048579406	Yes	
row_81	TOMM22	NA	7805	0.18618018925189972	0.05150594	Yes	
row_82	ACAA2	NA	7842	0.185786172747612	0.054874655	Yes	
row_83	IDH3B	NA	7864	0.18542037904262543	0.05920559	Yes	
row_84	ACADM	NA	8038	0.18313482403755188	0.053601984	Yes	
row_85	CYC1	NA	8058	0.18292929232120514	0.057986222	Yes	
row_86	ATP5F1E	NA	8146	0.18178988993167877	0.057922468	Yes	
row_87	NDUFA4	NA	8174	0.18146894872188568	0.061742686	Yes	
row_88	OAT	NA	8269	0.18002811074256897	0.06117055	Yes	
row_89	ATP5PD	NA	8272	0.1799989938735962	0.066568054	Yes	
row_90	SDHB	NA	8335	0.17905758321285248	0.06804283	Yes	
row_91	ATP6AP1	NA	8529	0.17640894651412964	0.06093474	Yes	
row_92	ATP6V1H	NA	8582	0.17577534914016724	0.0629577	Yes	
row_93	NDUFA2	NA	8633	0.1751081645488739	0.065089956	Yes	
row_94	ETFA	NA	8634	0.17510661482810974	0.070467025	Yes	
row_95	NDUFV2	NA	8667	0.17454314231872559	0.073750086	Yes	
row_96	CPT1A	NA	8680	0.17439515888690948	0.078326546	Yes	
row_97	MDH2	NA	8809	0.17260459065437317	0.075319946	Yes	
row_98	DLD	NA	8974	0.17037807404994965	0.069908686	Yes	
row_99	DLST	NA	9063	0.16930101811885834	0.06939653	Yes	
row_100	ECH1	NA	9074	0.1691497415304184	0.07394171	Yes	
row_101	FH	NA	9121	0.16843454539775848	0.07612863	Yes	
row_102	NDUFB4	NA	9155	0.16797949373722076	0.07914524	Yes	
row_103	RHOT2	NA	9226	0.16714103519916534	0.07973491	Yes	
row_104	ABCB7	NA	9230	0.16708512604236603	0.08467097	Yes	
row_105	COX10	NA	9276	0.1664620339870453	0.086862214	Yes	
row_106	SLC25A20	NA	9284	0.1663832664489746	0.09151713	Yes	
row_107	VDAC3	NA	9358	0.16525688767433167	0.09185425	Yes	
row_108	PDK4	NA	9381	0.16492410004138947	0.0954909	Yes	
row_109	MRPS15	NA	9406	0.1646929383277893	0.098990664	Yes	
row_110	GOT2	NA	9583	0.16223596036434174	0.09255061	Yes	
row_111	NDUFB5	NA	9632	0.16173779964447021	0.094402105	Yes	
row_112	COX11	NA	9681	0.16087687015533447	0.09622715	Yes	
row_113	UQCRFS1	NA	9888	0.15820232033729553	0.08771632	Yes	
row_114	ATP6V1F	NA	10017	0.15630318224430084	0.08420915	Yes	
row_115	HADHB	NA	10081	0.15524707734584808	0.08488787	Yes	
row_116	ACO2	NA	10086	0.15516899526119232	0.08939312	Yes	
row_117	SDHA	NA	10118	0.15476849675178528	0.09213384	Yes	
row_118	MTRR	NA	10171	0.153995543718338	0.093488	Yes	
row_119	LRPPRC	NA	10278	0.15260545909404755	0.09129502	Yes	
row_120	NDUFAB1	NA	10356	0.15130645036697388	0.09094417	Yes	
row_121	NDUFB2	NA	10359	0.15126843750476837	0.09545943	Yes	
row_122	MRPS30	NA	10513	0.14883245527744293	0.09010043	Yes	
row_123	POLR2F	NA	10551	0.14827291667461395	0.092252314	Yes	
row_124	NDUFC2	NA	10608	0.14749903976917267	0.09314739	Yes	
row_125	PHB2	NA	10623	0.1472596824169159	0.09676079	Yes	
row_126	ACAT1	NA	10701	0.1462162882089615	0.09625363	Yes	
