NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HSD11B2	NA	251	0.3594338893890381	0.004935146	Yes	
row_1	PEX11A	NA	652	0.327764630317688	-0.001600674	Yes	
row_2	CRABP2	NA	819	0.31837502121925354	0.006403598	Yes	
row_3	CADM1	NA	1960	0.27980127930641174	-0.050677508	Yes	
row_4	DHCR24	NA	2219	0.27351099252700806	-0.051243406	Yes	
row_5	ABCD1	NA	2313	0.27106088399887085	-0.04131157	Yes	
row_6	DLG4	NA	2358	0.2701120376586914	-0.028275222	Yes	
row_7	SLC25A19	NA	2381	0.26974374055862427	-0.0138416225	Yes	
row_8	ABCB9	NA	2557	0.2657552659511566	-0.009510205	Yes	
row_9	ATXN1	NA	2873	0.2600676417350769	-0.014542389	Yes	
row_10	SULT2B1	NA	2899	0.25959068536758423	-8.989572E-4	Yes	
row_11	SEMA3C	NA	3126	0.2557718753814697	-4.435127E-4	Yes	
row_12	PEX13	NA	3172	0.2546928822994232	0.011622175	Yes	
row_13	PEX14	NA	3470	0.2485116869211197	0.0070717786	Yes	
row_14	ACOX1	NA	3524	0.24761106073856354	0.018205315	Yes	
row_15	CDK7	NA	3535	0.24743059277534485	0.03210154	Yes	
row_16	IDI1	NA	3555	0.2469620555639267	0.04538978	Yes	
row_17	PEX5	NA	3615	0.2461518496274948	0.056050584	Yes	
row_18	ACOT8	NA	3764	0.2438977062702179	0.060838833	Yes	
row_19	PEX6	NA	3985	0.2402288317680359	0.060767807	Yes	
row_20	SIAH1	NA	4036	0.23912741243839264	0.07159626	Yes	
row_21	TOP2A	NA	4160	0.2370987981557846	0.07759733	Yes	
row_22	ALB	NA	4428	0.2327299267053604	0.074054316	Yes	
row_23	HMGCL	NA	4432	0.23267610371112823	0.087534904	Yes	
row_24	ECI2	NA	4497	0.23158487677574158	0.097017154	Yes	
row_25	HSD3B7	NA	4776	0.22729714214801788	0.09244542	Yes	
