NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ERCC2	NA	1220	0.30116525292396545	-0.026783306	Yes	
row_1	OXSR1	NA	1221	0.30115222930908203	0.02483733	Yes	
row_2	GLRX2	NA	1413	0.295166015625	0.0631568	Yes	
row_3	NQO1	NA	2316	0.2710215747356415	0.051643573	No	
row_4	GCLC	NA	3067	0.256614625453949	0.047429483	No	
row_5	G6PD	NA	4291	0.23483097553253174	0.009082988	No	
row_6	SRXN1	NA	4594	0.2303348332643509	0.029156039	No	
row_7	TXN	NA	5184	0.221594899892807	0.029286245	No	
row_8	SCAF4	NA	5512	0.2169966995716095	0.04546632	No	
row_9	PRDX4	NA	6468	0.20394133031368256	0.01904867	No	
row_10	GSR	NA	6494	0.20366071164608002	0.05235156	No	
row_11	CDKN2D	NA	7586	0.1891127973794937	0.014651782	No	
row_12	NDUFB4	NA	9155	0.16797949373722076	-0.057325993	No	
row_13	LAMTOR5	NA	9280	0.16643695533275604	-0.03676611	No	
row_14	TXNRD1	NA	9359	0.16524986922740936	-0.013453416	No	
row_15	SELENOS	NA	9624	0.16178081929683685	-0.0026890757	No	
row_16	SOD1	NA	9835	0.15893244743347168	0.011057459	No	
row_17	PRDX6	NA	11298	0.13710756599903107	-0.059399746	No	
row_18	MSRA	NA	11418	0.13534468412399292	-0.04384807	No	
row_19	PRNP	NA	11450	0.13487675786018372	-0.022721075	No	
row_20	PRDX2	NA	12283	0.12119198590517044	-0.055417944	No	
row_21	ATOX1	NA	12316	0.12057723850011826	-0.0368063	No	
row_22	FES	NA	12436	0.11848510801792145	-0.02414453	No	
row_23	GPX3	NA	12696	0.11344430595636368	-0.021344237	No	
row_24	PDLIM1	NA	12861	0.11040998250246048	-0.012958661	No	
row_25	PRDX1	NA	12935	0.10908330976963043	0.0010478402	No	
row_26	HHEX	NA	13523	0.09522393345832825	-0.020354722	No	
row_27	PFKP	NA	13680	0.09079494327306747	-0.014817227	No	
row_28	CAT	NA	13697	0.09022010117769241	-3.808376E-4	No	
row_29	MGST1	NA	13729	0.08925306051969528	0.01292578	No	
row_30	SOD2	NA	14023	0.07925817370414734	0.0076811234	No	
row_31	GLRX	NA	14404	0.05667024478316307	-0.0070265997	No	
row_32	ABCC1	NA	14540	0.04739956185221672	-0.007577913	No	
row_33	NDUFS2	NA	14599	0.04249941557645798	-0.0040205764	No	
row_34	MPO	NA	14805	0.023422561585903168	-0.013180512	No	
row_35	IPCEF1	NA	15245	-0.0448007732629776	-0.033714563	No	
row_36	MBP	NA	15334	-0.06314705312252045	-0.028546024	No	
row_37	FTL	NA	15373	-0.07313789427280426	-0.018451586	No	
row_38	LSP1	NA	15576	-0.19163019955158234	0.0014138242	No	
