NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PCSK4	NA	11	0.44187310338020325	0.017700369	Yes	
row_1	NCAPH	NA	148	0.37856531143188477	0.024688035	Yes	
row_2	GAD1	NA	175	0.3726867437362671	0.038536713	Yes	
row_3	TULP2	NA	186	0.37015536427497864	0.05331351	Yes	
row_4	ZC2HC1C	NA	210	0.3669748306274414	0.06711799	Yes	
row_5	PHF7	NA	362	0.3475930690765381	0.07184619	Yes	
row_6	CLGN	NA	421	0.3425793945789337	0.08237323	Yes	
row_7	CCT6B	NA	573	0.33257851004600525	0.08647584	Yes	
row_8	HSPA4L	NA	629	0.32916760444641113	0.096637875	Yes	
row_9	CDKN3	NA	650	0.32803043723106384	0.109013505	Yes	
row_10	EZH2	NA	695	0.32548296451568604	0.11973262	Yes	
row_11	MLF1	NA	752	0.32162246108055115	0.12951568	Yes	
row_12	AURKA	NA	881	0.3153315484523773	0.13438547	Yes	
row_13	PACRG	NA	887	0.31490358710289	0.14718315	Yes	
row_14	MAST2	NA	983	0.3101435899734497	0.15396856	Yes	
row_15	TTK	NA	1055	0.3071063756942749	0.1621778	Yes	
row_16	DMC1	NA	1301	0.29826417565345764	0.15877832	Yes	
row_17	SLC12A2	NA	1403	0.29539868235588074	0.16456178	Yes	
row_18	CDK1	NA	1582	0.2901480495929718	0.1651523	Yes	
row_19	PSMG1	NA	1602	0.28952756524086	0.17598827	Yes	
row_20	CLPB	NA	1645	0.28832095861434937	0.1852882	Yes	
row_21	DBF4	NA	1742	0.28540605306625366	0.1909783	Yes	
row_22	PHKG2	NA	2041	0.27782657742500305	0.1833035	Yes	
row_23	IFT88	NA	2162	0.2749316990375519	0.18700679	Yes	
row_24	KIF2C	NA	2198	0.27396684885025024	0.19616084	Yes	
row_25	TLE4	NA	2271	0.2723827660083771	0.2028587	Yes	
row_26	LDHC	NA	2272	0.2723797857761383	0.2142076	Yes	
row_27	DDX25	NA	2282	0.27198171615600586	0.22495852	Yes	
row_28	NEK2	NA	2389	0.2695768177509308	0.22934309	Yes	
row_29	PARP2	NA	2437	0.2686200737953186	0.23749916	Yes	
row_30	PIAS2	NA	2559	0.2657206356525421	0.24075407	Yes	
row_31	CCNB2	NA	2861	0.26028692722320557	0.23215467	Yes	
row_32	BUB1	NA	3155	0.25518712401390076	0.22385958	Yes	
row_33	TCP11	NA	3278	0.25252071022987366	0.22649989	Yes	
row_34	BRAF	NA	3313	0.25193342566490173	0.2348005	Yes	
row_35	ELOVL3	NA	3380	0.25033000111579895	0.24096711	Yes	
row_36	GRM8	NA	3443	0.24910348653793335	0.24734102	Yes	
row_37	ZPBP	NA	3616	0.2461351752281189	0.24648531	Yes	
row_38	STAM2	NA	3805	0.24318553507328033	0.24447311	Yes	
row_39	CSNK2A2	NA	3978	0.24030058085918427	0.2433743	Yes	
row_40	PRKAR2A	NA	4023	0.23933149874210358	0.25050384	Yes	
row_41	HTR5A	NA	4496	0.2316030114889145	0.22966279	No	
row_42	COIL	NA	4662	0.22915877401828766	0.22855194	No	
row_43	GSTM3	NA	4727	0.22812968492507935	0.23392276	No	
row_44	SPATA6	NA	4753	0.22768619656562805	0.24179448	No	
row_45	SNAP91	NA	4818	0.2266572266817093	0.24710396	No	
row_46	TNNI3	NA	5180	0.22165046632289886	0.23301877	No	
row_47	MLLT10	NA	5214	0.22112037241458893	0.24010013	No	
row_48	NF2	NA	6081	0.2097647488117218	0.19289698	No	
row_49	NEFH	NA	6130	0.2090219259262085	0.19850525	No	
row_50	IP6K1	NA	6172	0.2083972692489624	0.2045397	No	
row_51	ARL4A	NA	6589	0.20243602991104126	0.18610096	No	
row_52	SHE	NA	6821	0.19929346442222595	0.17948219	No	
