NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SMAD6	NA	39	0.41566646099090576	0.043793473	Yes	
row_1	PMEPA1	NA	496	0.33727923035621643	0.052042104	Yes	
row_2	XIAP	NA	1121	0.3049638271331787	0.045888644	Yes	
row_3	LTBP2	NA	1140	0.30423805117607117	0.07862039	Yes	
row_4	BMPR1A	NA	1153	0.30368757247924805	0.11167662	Yes	
row_5	BMPR2	NA	1232	0.3008187413215637	0.14016946	Yes	
row_6	ID1	NA	1476	0.2932210862636566	0.15720643	Yes	
row_7	CDK9	NA	1575	0.29028457403182983	0.18323986	Yes	
row_8	CDH1	NA	1827	0.2833460867404938	0.19866244	Yes	
row_9	SKI	NA	2169	0.274736613035202	0.20733899	Yes	
row_10	SMURF1	NA	2329	0.2706613838672638	0.22726426	Yes	
row_11	SMAD1	NA	2510	0.2668111026287079	0.24541034	Yes	
row_12	ID3	NA	2844	0.2605624794960022	0.25302243	Yes	
row_13	BMP2	NA	2884	0.2599165439605713	0.27946687	Yes	
row_14	MAP3K7	NA	3548	0.24703995883464813	0.26435354	Yes	
row_15	BCAR3	NA	3694	0.2447919398546219	0.28229743	Yes	
row_16	ARID4B	NA	4011	0.23958122730255127	0.2886655	Yes	
row_17	FNTA	NA	4870	0.22584183514118195	0.25865233	Yes	
row_18	SMURF2	NA	4990	0.22433845698833466	0.2759897	Yes	
row_19	TRIM33	NA	5510	0.2170412838459015	0.2667941	Yes	
row_20	WWTR1	NA	5904	0.21205559372901917	0.26514494	Yes	
row_21	ACVR1	NA	6277	0.2067486196756363	0.26425496	Yes	
row_22	PPM1A	NA	6514	0.20332299172878265	0.27172828	Yes	
row_23	KLF10	NA	6549	0.20282725989818573	0.29213503	Yes	
row_24	TGIF1	NA	6673	0.20120838284492493	0.30663875	Yes	
row_25	SKIL	NA	7273	0.19327370822429657	0.2896516	No	
row_26	SLC20A1	NA	9199	0.16751208901405334	0.18453252	No	
row_27	TGFBR1	NA	10405	0.15043577551841736	0.12380761	No	
row_28	SERPINE1	NA	10634	0.14710013568401337	0.12553263	No	
row_29	HDAC1	NA	11129	0.13966292142868042	0.10932532	No	
row_30	APC	NA	11293	0.13715045154094696	0.11412157	No	
row_31	LEFTY2	NA	11343	0.13644210994243622	0.12616917	No	
row_32	CTNNB1	NA	11973	0.12658391892910004	0.09982443	No	
row_33	NCOR2	NA	12207	0.12257800996303558	0.09849643	No	
row_34	THBS1	NA	12862	0.11040188372135162	0.06874166	No	
row_35	UBE2D3	NA	13032	0.10714297741651535	0.06980957	No	
row_36	FKBP1A	NA	13054	0.1066000685095787	0.08033347	No	
row_37	PPP1R15A	NA	13133	0.10487677156925201	0.08700029	No	
row_38	ID2	NA	13216	0.10297040641307831	0.093197554	No	
row_39	PPP1CA	NA	13331	0.10016880929470062	0.09702513	No	
row_40	FURIN	NA	13520	0.09527067840099335	0.09554888	No	
row_41	RAB31	NA	13818	0.08653853833675385	0.086091205	No	
row_42	RHOA	NA	13941	0.08255596458911896	0.08744249	No	
row_43	TGFB1	NA	13966	0.08135170489549637	0.09496106	No	
row_44	ENG	NA	14567	0.045386090874671936	0.061436385	No	
row_45	SMAD3	NA	14641	0.0381505973637104	0.06099206	No	
row_46	IFNGR2	NA	15043	-0.004302033223211765	0.0356868	No	
