NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LAMC1	NA	190	0.3698021471500397	0.003441684	Yes	
row_1	COL1A1	NA	271	0.3566441535949707	0.01343358	Yes	
row_2	PLPP3	NA	329	0.350421667098999	0.024647487	Yes	
row_3	PIK3R3	NA	333	0.3502965569496155	0.03934625	Yes	
row_4	TENT4A	NA	417	0.34276214241981506	0.048554063	Yes	
row_5	GRK5	NA	441	0.3415086269378662	0.061586555	Yes	
row_6	CDON	NA	550	0.3336807191371918	0.06879245	Yes	
row_7	IRS1	NA	811	0.31872522830963135	0.065538324	Yes	
row_8	CCN1	NA	843	0.3167535662651062	0.0770013	Yes	
row_9	VLDLR	NA	1006	0.30944880843162537	0.07968682	Yes	
row_10	BMPR1A	NA	1153	0.30368757247924805	0.08316153	Yes	
row_11	APBB2	NA	1202	0.3018176555633545	0.09289076	Yes	
row_12	WDR37	NA	1368	0.2964043915271759	0.0948278	Yes	
row_13	PTPN21	NA	1426	0.29483240842819214	0.10367836	Yes	
row_14	ID1	NA	1476	0.2932210862636566	0.11297748	Yes	
row_15	PRKCE	NA	1570	0.29040583968162537	0.11931306	Yes	
row_16	SNAI2	NA	1644	0.2883259356021881	0.12685288	Yes	
row_17	IGFBP5	NA	1672	0.2878437638282776	0.13734531	Yes	
row_18	DBP	NA	1775	0.284650593996048	0.14285451	Yes	
row_19	ACVR2A	NA	1811	0.28364628553390503	0.15265143	Yes	
row_20	LDLR	NA	1937	0.2802460193634033	0.15648682	Yes	
row_21	CITED2	NA	2095	0.2765617370605469	0.15809733	Yes	
row_22	CAP2	NA	2201	0.273939847946167	0.16295727	Yes	
row_23	CDC42BPA	NA	2309	0.2712368667125702	0.16757303	Yes	
row_24	PTPRM	NA	2489	0.26732006669044495	0.16736871	Yes	
row_25	PLCB4	NA	2498	0.26709628105163574	0.1782071	Yes	
row_26	ATXN1	NA	2873	0.2600676417350769	0.16509102	Yes	
row_27	VAV2	NA	3000	0.25789785385131836	0.16791166	Yes	
row_28	NRP1	NA	3048	0.25688624382019043	0.1757953	Yes	
row_29	NR1D2	NA	3213	0.25383687019348145	0.17598724	Yes	
row_30	SCN8A	NA	3419	0.24951541423797607	0.1733455	Yes	
row_31	PEX14	NA	3470	0.2485116869211197	0.1806792	Yes	
