NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HEY1	NA	125	0.38339149951934814	0.05458692	Yes	
row_1	JAG1	NA	345	0.3493599593639374	0.09757729	Yes	
row_2	HEY2	NA	468	0.33972081542015076	0.1452245	Yes	
row_3	WNT1	NA	1502	0.29264211654663086	0.12666142	Yes	
row_4	JAG2	NA	1687	0.2875516414642334	0.1618054	Yes	
row_5	AXIN1	NA	1714	0.28616780042648315	0.20687304	Yes	
row_6	GNAI1	NA	2315	0.27103203535079956	0.21259579	Yes	
row_7	HDAC5	NA	4157	0.23715680837631226	0.13306601	Yes	
row_8	WNT5B	NA	4365	0.23372209072113037	0.1579409	Yes	
row_9	KAT2A	NA	4831	0.22639280557632446	0.1650452	Yes	
row_10	ADAM17	NA	5008	0.22410845756530762	0.19034135	Yes	
row_11	PSEN2	NA	5289	0.22013689577579498	0.20830806	Yes	
row_12	MYC	NA	5349	0.21934479475021362	0.24034208	Yes	
row_13	PPARD	NA	5872	0.21246084570884705	0.2415094	Yes	
row_14	HDAC2	NA	6145	0.20879626274108887	0.25813782	Yes	
row_15	DKK1	NA	6813	0.19940195977687836	0.24785773	Yes	
row_16	PTCH1	NA	7064	0.19618380069732666	0.26383948	Yes	
row_17	SKP2	NA	7230	0.19385497272014618	0.28490114	Yes	
row_18	MAML1	NA	7449	0.19086037576198578	0.3020691	Yes	
row_19	RBPJ	NA	7496	0.1902565360069275	0.33018744	Yes	
row_20	AXIN2	NA	7801	0.18623699247837067	0.34107578	Yes	
row_21	NCSTN	NA	9305	0.1660897582769394	0.2716517	No	
row_22	TP53	NA	9848	0.15872476994991302	0.2627579	No	
row_23	CSNK1E	NA	11453	0.13485515117645264	0.18174438	No	
row_24	DKK4	NA	11764	0.1299835443496704	0.18305978	No	
row_25	CTNNB1	NA	11973	0.12658391892910004	0.19037229	No	
row_26	NCOR2	NA	12207	0.12257800996303558	0.19542456	No	
row_27	NUMB	NA	14098	0.07533997297286987	0.08631864	No	
row_28	LEF1	NA	14707	0.03224484995007515	0.052527994	No	
row_29	CCND2	NA	14963	0.006228328682482243	0.03716442	No	
row_30	CUL1	NA	15070	-0.008475448936223984	0.03173938	No	
row_31	TCF7	NA	15100	-0.012945516966283321	0.03199077	No	
