NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ZBTB10	NA	374	0.3465461730957031	0.052133914	Yes	
row_1	PMEPA1	NA	496	0.33727923035621643	0.11847057	Yes	
row_2	CENPN	NA	623	0.32956287264823914	0.18279096	Yes	
row_3	C1orf116	NA	906	0.31390050053596497	0.23365736	Yes	
row_4	KLK3	NA	1668	0.2879978120326996	0.24808818	Yes	
row_5	ELL2	NA	1740	0.28548237681388855	0.30625388	Yes	
row_6	NKX3-1	NA	1890	0.28149303793907166	0.3585367	Yes	
row_7	TMPRSS2	NA	2033	0.2779325842857361	0.4104865	Yes	
row_8	KLK2	NA	2281	0.2719937562942505	0.4543921	Yes	
row_9	ACSL3	NA	2621	0.2645118534564972	0.49074888	Yes	
row_10	MAF	NA	2994	0.2579955756664276	0.5235559	Yes	
row_11	NNMT	NA	5647	0.2153281718492508	0.400647	No	
row_12	ABCC4	NA	7215	0.19417785108089447	0.3427318	No	
row_13	EAF2	NA	8322	0.17918825149536133	0.3111125	No	
row_14	MED28	NA	8421	0.1778564751148224	0.34389892	No	
row_15	ADAM7	NA	9660	0.16127733886241913	0.29987204	No	
row_16	HERC3	NA	11842	0.1288861185312271	0.1882022	No	
row_17	PTGER4	NA	12303	0.12076334655284882	0.18520989	No	
row_18	MPHOSPH9	NA	12396	0.1193176805973053	0.20551994	No	
