NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	184	0.41912127	2.122157	0.0	0.0	0.0	3737	tags=52%, list=24%, signal=68%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	182	0.3944726	1.988585	0.0	0.0012746522	0.003	5907	tags=66%, list=38%, signal=105%	
TCGA_ANDROGEN_RESPONSE	TCGA_ANDROGEN_RESPONSE	Details ...	19	0.5235559	1.904964	0.0	0.0025443635	0.009	2994	tags=58%, list=19%, signal=72%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	54	0.42839038	1.8827101	0.001004016	0.0021194795	0.01	6579	tags=78%, list=42%, signal=134%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	173	0.3443124	1.7409817	0.0	0.011045538	0.063	4319	tags=45%, list=28%, signal=62%	
CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_UP	CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_UP	Details ...	311	0.326283	1.7188486	0.0	0.010200216	0.07	6577	tags=59%, list=42%, signal=100%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	168	0.29380646	1.4701469	0.002	0.09135003	0.56	8363	tags=70%, list=54%, signal=149%	
SMID_BREAST_CANCER_LUMINAL_B_UP	SMID_BREAST_CANCER_LUMINAL_B_UP	Details ...	138	0.2861698	1.4149218	0.007	0.12791674	0.711	7440	tags=62%, list=48%, signal=118%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	64	0.31742698	1.412261	0.04	0.11700245	0.72	7796	tags=66%, list=50%, signal=131%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	25	0.3640613	1.3849714	0.0743034	0.13654776	0.811	7188	tags=68%, list=46%, signal=126%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	32	0.34107578	1.3796097	0.08299595	0.13061291	0.826	7801	tags=66%, list=50%, signal=131%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	177	0.270297	1.3707693	0.009	0.1323312	0.857	5881	tags=50%, list=38%, signal=79%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	167	0.27126756	1.3568524	0.021	0.13880736	0.887	5899	tags=51%, list=38%, signal=81%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	31	0.32614115	1.3053415	0.121801436	0.20443536	0.979	4113	tags=45%, list=26%, signal=61%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	47	0.30663875	1.3004704	0.11301716	0.19912237	0.98	6673	tags=53%, list=43%, signal=93%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	166	0.246381	1.2395504	0.074	0.3154641	1.0	6698	tags=49%, list=43%, signal=86%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	127	0.24858123	1.2277172	0.108	0.3301811	1.0	5449	tags=41%, list=35%, signal=62%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	119	0.25050384	1.2247854	0.107	0.3190586	1.0	4023	tags=34%, list=26%, signal=46%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	137	0.24367726	1.2020975	0.118	0.3630866	1.0	8623	tags=68%, list=55%, signal=150%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	94	0.2423456	1.1438496	0.24224225	0.53163373	1.0	8400	tags=62%, list=54%, signal=133%	
LIM_MAMMARY_STEM_CELL_UP	LIM_MAMMARY_STEM_CELL_UP		396	0.20774862	1.1024481	0.186	0.6635344	1.0	8309	tags=57%, list=53%, signal=118%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		94	0.22902352	1.0826875	0.331	0.715232	1.0	8550	tags=63%, list=55%, signal=138%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM		104	0.2194303	1.0591528	0.369	0.7844578	1.0	3694	tags=30%, list=24%, signal=39%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA		171	0.20590387	1.0401613	0.402	0.8311754	1.0	5880	tags=41%, list=38%, signal=65%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING		178	0.19886899	1.0084398	0.493	0.9277644	1.0	9377	tags=65%, list=60%, signal=160%	
BELTRAN_NEPC_UP	BELTRAN_NEPC_UP		24	0.2450419	0.9303163	0.5900104	1.0	1.0	6942	tags=54%, list=45%, signal=97%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION		170	0.18019956	0.91125053	0.718	1.0	1.0	8216	tags=53%, list=53%, signal=111%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP		131	0.18372622	0.9041206	0.715	1.0	1.0	8880	tags=59%, list=57%, signal=135%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING		86	0.18845464	0.88834536	0.693	1.0	1.0	7992	tags=51%, list=51%, signal=104%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM		141	0.17643616	0.8750102	0.761	1.0	1.0	8349	tags=55%, list=54%, signal=118%	
