NAME	TITLE	SCORE	
AR	NA	0.55389357	
ZNF511-PRAP1	NA	0.4782886	
SYNGR4	NA	0.45931533	
OPHN1	NA	0.4578127	
NR6A1	NA	0.45441717	
AC009412.1	NA	0.45213473	
POMT2	NA	0.45156702	
MBD3L1	NA	0.449605	
NPAS4	NA	0.44871387	
CPLX1	NA	0.446729	
LYNX1-SLURP2	NA	0.44323918	
PCSK4	NA	0.4418731	
AC024592.3	NA	0.44103992	
TPTEP2-CSNK1E	NA	0.44009736	
EEF1AKMT4-ECE2	NA	0.43767354	
TMEM52	NA	0.43736318	
FAM86B1	NA	0.43497133	
XKR9	NA	0.4347961	
C16orf46	NA	0.4347703	
VGF	NA	0.43381378	
TSACC	NA	0.433333	
AP001781.2	NA	0.43252546	
AP000812.4	NA	0.43122548	
AC008758.1	NA	0.43108666	
FAM72B	NA	0.4302497	
QPCTL	NA	0.4300035	
GADD45G	NA	0.42978305	
CATSPERG	NA	0.42925742	
ZNF559-ZNF177	NA	0.4279341	
CTXN1	NA	0.42661098	
GPR137C	NA	0.4256163	
MICALL2	NA	0.4255691	
MAOA	NA	0.42238015	
STKLD1	NA	0.42092514	
CCDC151	NA	0.418333	
DLX2	NA	0.4180636	
SHB	NA	0.41732678	
MISP3	NA	0.4167179	
C8orf37	NA	0.41568378	
SMAD6	NA	0.41566646	
CCDC40	NA	0.4144978	
AC011448.1	NA	0.41206518	
RNF103-CHMP3	NA	0.41182554	
FAM155B	NA	0.411126	
C16orf71	NA	0.41072005	
WDR62	NA	0.4105115	
HMMR	NA	0.41035178	
FAM71E1	NA	0.41029498	
TICRR	NA	0.4097972	
PLEKHH3	NA	0.4093204	
ZSWIM9	NA	0.40637597	
SPATA33	NA	0.40632835	
PTPRU	NA	0.40518367	
KIFC2	NA	0.40455252	
AC139530.2	NA	0.40370044	
CYP46A1	NA	0.40329072	
HES6	NA	0.40305325	
SMIM10L2B	NA	0.4026301	
SAC3D1	NA	0.40233836	
ZNF367	NA	0.4021574	
AC003006.1	NA	0.40178484	
MBOAT2	NA	0.40102834	
AC093827.5	NA	0.40099943	
TUBA4B	NA	0.39988875	
HIGD2B	NA	0.3997725	
MESP1	NA	0.39959544	
TBX6	NA	0.3993319	
ZNF425	NA	0.39910385	
ETV5	NA	0.39846632	
ZNF704	NA	0.39828086	
HES1	NA	0.39802054	
TNFRSF12A	NA	0.39749965	
MADCAM1	NA	0.39706	
EXD1	NA	0.39633545	
CALR3	NA	0.3963096	
SYP	NA	0.39549395	
EFCAB2	NA	0.3953026	
TESMIN	NA	0.39447093	
AL136295.1	NA	0.3943902	
AL139300.1	NA	0.3938687	
C15orf65	NA	0.39383283	
LRP11	NA	0.39311504	
TVP23C-CDRT4	NA	0.3929165	
ZRANB3	NA	0.39286312	
C9orf43	NA	0.39284945	
PPM1J	NA	0.39272782	
AC008695.1	NA	0.39231712	
TBX3	NA	0.39196476	
CELF5	NA	0.3919083	
AL691442.1	NA	0.3917975	
FAM171A2	NA	0.39163733	
KREMEN1	NA	0.39144	
CDC25A	NA	0.39126107	
ANLN	NA	0.39121777	
EFNB1	NA	0.39095286	
CCNE2	NA	0.39041013	
VPS37D	NA	0.39022377	
SLC2A4	NA	0.38854706	
CAGE1	NA	0.3880511	
DEPDC4	NA	0.38759834	
BEND3	NA	0.38757646	
TMEM217	NA	0.38753363	
EFCAB6	NA	0.38714224	
AK7	NA	0.38699725	
FAM222A	NA	0.38693565	
CDC20B	NA	0.3866343	
ACTRT3	NA	0.38642004	
CCDC114	NA	0.38639042	
KDM4D	NA	0.38633484	
CCDC148	NA	0.38616565	
WDR87	NA	0.38605833	
CYP39A1	NA	0.38599852	
GGN	NA	0.38585848	
UNC13B	NA	0.38564068	
PHLDA2	NA	0.385594	
FBXO36	NA	0.38547835	
ZNF771	NA	0.38534296	
OSCP1	NA	0.3851429	
PURG	NA	0.3843915	
CDR2L	NA	0.3843697	
TIGD7	NA	0.3842651	
FOXA1	NA	0.38391474	
CKLF-CMTM1	NA	0.38385528	
AL353579.1	NA	0.3837819	
NECTIN1	NA	0.3836984	
HEY1	NA	0.3833915	
CATSPERE	NA	0.3831159	
SKA3	NA	0.38306612	
WDR93	NA	0.3829205	
RBM14-RBM4	NA	0.38289043	
LRRC24	NA	0.38257083	
ARVCF	NA	0.38255224	
AGRN	NA	0.38245356	
CGN	NA	0.38219094	
PXMP2	NA	0.38174292	
CFAP94	NA	0.38130444	
AC105001.2	NA	0.38091978	
AC009163.5	NA	0.38080543	
C11orf91	NA	0.38064188	
GDF9	NA	0.38030627	
BCL6B	NA	0.38013875	
ATP5MF-PTCD1	NA	0.38007116	
MACROD1	NA	0.38000536	
GRHL2	NA	0.3799599	
PLCD3	NA	0.37978864	
BICRA	NA	0.37959263	
H2BC15	NA	0.3790734	
CLDN4	NA	0.3786463	
NCAPH	NA	0.3785653	
PLXNA2	NA	0.37844977	
ZNF843	NA	0.37794408	
LYNX1	NA	0.3778039	
CCDC103	NA	0.3777826	
SLC29A4	NA	0.3771841	
FKBP7	NA	0.37640807	
KIAA0895	NA	0.3762989	
AC058822.1	NA	0.37603465	
FZD5	NA	0.37586448	
TMEM198	NA	0.3756295	
BAMBI	NA	0.37547648	
GPRIN1	NA	0.37508032	
TOMM20L	NA	0.37477073	
GNG8	NA	0.37433192	
FBXO15	NA	0.37426442	
BSN	NA	0.3742306	
KANK2	NA	0.37422433	
TUFT1	NA	0.374049	
CFAP206	NA	0.3734581	
C5orf49	NA	0.37345362	
C8orf44-SGK3	NA	0.37322116	
FSIP1	NA	0.3730736	
RECQL4	NA	0.37294787	
JADE3	NA	0.37292096	
GPR157	NA	0.37291867	
TIGD6	NA	0.37275058	
GAD1	NA	0.37268674	
TIGD3	NA	0.3721197	
AC008770.2	NA	0.37191334	
NANP	NA	0.3717676	
REXO5	NA	0.37171733	
EFCAB11	NA	0.3714772	
