NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ETV5	NA	129	0.5449076294898987	0.058549434	Yes	
row_1	TRIM9	NA	518	0.4787271022796631	0.08196917	Yes	
row_2	AURKA	NA	594	0.46720412373542786	0.13580151	Yes	
row_3	NRSN1	NA	715	0.45534396171569824	0.18348265	Yes	
row_4	MYCN	NA	951	0.43543028831481934	0.21681209	Yes	
row_5	ST8SIA3	NA	1004	0.4320860207080841	0.26836917	Yes	
row_6	KCNB2	NA	1097	0.42504286766052246	0.31491902	Yes	
row_7	EZH2	NA	1137	0.42251116037368774	0.36654222	Yes	
row_8	BRINP1	NA	1215	0.4176807999610901	0.41365337	Yes	
row_9	RGS7	NA	1507	0.3997415006160736	0.43657368	Yes	
row_10	SCG3	NA	1600	0.39525148272514343	0.47920305	Yes	
row_11	KCND2	NA	2044	0.3726455569267273	0.48305216	Yes	
row_12	SVOP	NA	2048	0.37249159812927246	0.5317652	Yes	
row_13	CAND2	NA	2112	0.3692585229873657	0.57393223	Yes	
row_14	GNAO1	NA	2733	0.3447846472263336	0.55605924	No	
row_15	PCSK1	NA	5066	0.28132814168930054	0.35519505	No	
row_16	SYT11	NA	6271	0.2433338463306427	0.2643977	No	
row_17	KIAA0408	NA	6822	0.21849893033504486	0.23704642	No	
row_18	JAKMIP2	NA	6953	0.21203495562076569	0.2516885	No	
row_19	GPX2	NA	7698	0.17249804735183716	0.19849376	No	
row_20	SEC11C	NA	8221	0.13810710608959198	0.16341935	No	
