NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SHROOM2	NA	55	0.5734723806381226	0.0659452	Yes	
row_1	SLC2A4	NA	103	0.5522668957710266	0.13006097	Yes	
row_2	SCUBE1	NA	243	0.5209838151931763	0.18088154	Yes	
row_3	RTN4RL1	NA	439	0.48842212557792664	0.22192234	Yes	
row_4	SRPX	NA	538	0.4747941493988037	0.2711646	Yes	
row_5	MDGA1	NA	1362	0.4080190062522888	0.23806465	Yes	
row_6	EFNA5	NA	1374	0.4076222777366638	0.28780615	Yes	
row_7	EPHB4	NA	1985	0.3760225772857666	0.27245715	Yes	
row_8	LYPD3	NA	2378	0.35807737708091736	0.27712286	Yes	
row_9	NTNG1	NA	2539	0.3514871895313263	0.30464938	Yes	
row_10	THY1	NA	2633	0.3478063642978668	0.3385561	Yes	
row_11	PCSK9	NA	2955	0.33716994524002075	0.34786078	Yes	
row_12	CX3CL1	NA	3805	0.31421008706092834	0.30040088	Yes	
row_13	PKHD1	NA	4150	0.3057040274143219	0.30343124	Yes	
row_14	RHCG	NA	4321	0.30156341195106506	0.32370728	Yes	
row_15	ATP6V0A4	NA	4388	0.29956522583961487	0.35435057	Yes	
row_16	GSTM3	NA	5619	0.2655521631240845	0.26192555	No	
row_17	GHRL	NA	7253	0.19696718454360962	0.11980305	No	
row_18	NCOA6	NA	7672	0.17444096505641937	0.09889988	No	
row_19	GATA3	NA	7675	0.1740885227918625	0.12041904	No	
row_20	AKAP7	NA	8265	0.13513852655887604	0.07715547	No	
row_21	ADAM10	NA	8329	0.12932421267032623	0.08686177	No	
row_22	B4GALT1	NA	8654	0.10045115649700165	0.06632166	No	
row_23	CROCC	NA	8965	0.06228254362940788	0.04244791	No	
row_24	FLOT2	NA	9072	0.04605428874492645	0.037373967	No	
row_25	SULF2	NA	9303	0.0032082253601402044	0.014295329	No	
row_26	CD160	NA	9597	-0.09768058359622955	-0.0034259406	No	
row_27	IL2RB	NA	9766	-0.2115234136581421	0.005818776	No	
