NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BGN	NA	92	0.5576419234275818	0.026778411	No	
row_1	TNFRSF12A	NA	110	0.5498246550559998	0.060737584	No	
row_2	CCND1	NA	429	0.4902730882167816	0.059973914	No	
row_3	TGFB2	NA	1192	0.4188498556613922	0.009057384	No	
row_4	CTH	NA	1301	0.411818265914917	0.024726812	No	
row_5	BIK	NA	1424	0.40496084094047546	0.038515806	No	
row_6	TIMP3	NA	1469	0.40161457657814026	0.060083415	No	
row_7	CAV1	NA	1509	0.39962297677993774	0.08203426	No	
row_8	PPP2R5B	NA	1730	0.388295441865921	0.08469499	No	
row_9	GUCY2D	NA	1838	0.38363274931907654	0.09863675	No	
row_10	NEFH	NA	2400	0.357047975063324	0.06431204	No	
row_11	BCL2L2	NA	3049	0.334490031003952	0.019604076	No	
row_12	PLAT	NA	3067	0.3339931070804596	0.039548617	No	
row_13	LUM	NA	3667	0.3177540600299835	-0.0012230058	No	
row_14	FEZ1	NA	3685	0.31737974286079407	0.017642777	No	
row_15	AVPR1A	NA	4366	0.30041342973709106	-0.032558262	No	
row_16	F2	NA	4494	0.29665401577949524	-0.026314536	No	
row_17	SC5D	NA	4703	0.2910141944885254	-0.028740454	No	
row_18	XIAP	NA	4706	0.29098761081695557	-0.010050723	No	
row_19	GPX3	NA	5446	0.27038413286209106	-0.068249844	No	
row_20	CASP3	NA	5562	0.2668757438659668	-0.06270957	No	
row_21	IL1A	NA	5715	0.2629140615463257	-0.061219476	No	
row_22	RETSAT	NA	5762	0.26112666726112366	-0.04897922	No	
row_23	IL6	NA	5984	0.25400134921073914	-0.05514115	No	
row_24	DFFA	NA	6189	0.24634820222854614	-0.060057327	No	
row_25	DCN	NA	6461	0.2355341613292694	-0.07254397	No	
row_26	ERBB2	NA	6596	0.22989152371883392	-0.07135292	No	
row_27	WEE1	NA	6748	0.2222612351179123	-0.07240003	No	
row_28	GSR	NA	6873	0.21614812314510345	-0.07107628	No	
row_29	BAX	NA	6987	0.21093709766864777	-0.06896326	No	
row_30	DNM1L	NA	7175	0.20162874460220337	-0.07504052	No	
row_31	HGF	NA	7257	0.196861132979393	-0.07056113	No	
row_32	ISG20	NA	7387	0.1903807371854782	-0.07142309	No	
row_33	PDGFRB	NA	7398	0.18985283374786377	-0.060120456	No	
row_34	MADD	NA	7452	0.18666402995586395	-0.053432878	No	
row_35	IL18	NA	7621	0.1776689887046814	-0.0591182	No	
row_36	RNASEL	NA	7711	0.17192025482654572	-0.057078395	No	
row_37	DNAJC3	NA	7755	0.16880588233470917	-0.05052529	No	
row_38	GCH1	NA	7824	0.16462741792201996	-0.046806287	No	
row_39	EREG	NA	7874	0.16223236918449402	-0.041295085	No	
row_40	BCL2L1	NA	7957	0.157462477684021	-0.03947649	No	
row_41	PMAIP1	NA	8132	0.14475788176059723	-0.047913905	No	
row_42	DAP	NA	8438	0.11996862292289734	-0.07138998	No	
row_43	GADD45B	NA	8439	0.11981907486915588	-0.06360974	No	
row_44	VDAC2	NA	8553	0.11005378514528275	-0.068047404	No	
row_45	BID	NA	8579	0.10742031037807465	-0.06363505	No	
row_46	TNF	NA	8734	0.0921751856803894	-0.073436595	No	
row_47	HMOX1	NA	8793	0.08452553302049637	-0.07389375	No	
row_48	NEDD9	NA	8868	0.07496418058872223	-0.07661194	No	
row_49	SOD1	NA	8913	0.06953022629022598	-0.07660763	No	
row_50	IER3	NA	8956	0.06293606013059616	-0.076826476	No	
row_51	DPYD	NA	8984	0.0585683211684227	-0.075791255	No	
row_52	IFNGR1	NA	9040	0.050919193774461746	-0.07812305	No	
row_53	FASLG	NA	9267	0.010682415217161179	-0.10059701	No	
row_54	SATB1	NA	9407	-0.025686800479888916	-0.113178186	No	
row_55	TNFSF10	NA	9447	-0.04049542173743248	-0.11454664	No	
row_56	PPT1	NA	9547	-0.07751139998435974	-0.11966222	Yes	
row_57	ADD1	NA	9549	-0.07806312292814255	-0.11469584	Yes	
row_58	LEF1	NA	9557	-0.07978436350822449	-0.11023277	Yes	
row_59	SAT1	NA	9585	-0.0942179337143898	-0.106882714	Yes	
row_60	CASP4	NA	9625	-0.11244639754295349	-0.103579156	Yes	
row_61	IL1B	NA	9686	-0.15203434228897095	-0.09985777	Yes	
row_62	CASP1	NA	9712	-0.16749538481235504	-0.09154455	Yes	
row_63	CLU	NA	9768	-0.2152838557958603	-0.08320362	Yes	
row_64	CD69	NA	9770	-0.2185867726802826	-0.06911259	Yes	
row_65	CD44	NA	9773	-0.22779211401939392	-0.054526348	Yes	
row_66	TXNIP	NA	9778	-0.23537874221801758	-0.0396525	Yes	
row_67	PRF1	NA	9808	-0.33234357833862305	-0.021045204	Yes	
row_68	ANXA1	NA	9809	-0.3462084233760834	0.001435214	Yes	
