NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACTN2	NA	140	0.5412748456001282	0.007454471	No	
row_1	CTSV	NA	449	0.4876694083213806	-0.004553186	No	
row_2	ZFPM2	NA	1117	0.42386841773986816	-0.05609925	No	
row_3	MT3	NA	1211	0.4177963435649872	-0.048794582	No	
row_4	PHEX	NA	1291	0.4125547707080841	-0.04026031	No	
row_5	FN1	NA	1335	0.40958482027053833	-0.028139656	No	
row_6	F3	NA	1343	0.4093893766403198	-0.012320526	No	
row_7	C1R	NA	1409	0.40584200620651245	-0.0026160914	No	
row_8	SCG3	NA	1600	0.39525148272514343	-0.006208877	No	
row_9	COL4A2	NA	2079	0.3711203336715698	-0.040427573	No	
row_10	PDGFB	NA	2374	0.358178973197937	-0.05622543	No	
row_11	RCE1	NA	2496	0.35357213020324707	-0.054398227	No	
row_12	RABIF	NA	2577	0.3500370681285858	-0.0484927	No	
row_13	BRPF3	NA	2817	0.34182852506637573	-0.05928862	No	
row_14	PCSK9	NA	2955	0.33716994524002075	-0.059771363	No	
row_15	CXCL1	NA	2974	0.33645501732826233	-0.04803137	No	
row_16	PCLO	NA	2982	0.3362428545951843	-0.035167444	No	
row_17	ME1	NA	2984	0.3361213207244873	-0.021690702	No	
row_18	APOA4	NA	3047	0.3345792293548584	-0.014556502	No	
row_19	PLAT	NA	3067	0.3339931070804596	-0.0030189268	No	
row_20	SERPINE1	NA	3106	0.332665354013443	0.0065088645	No	
row_21	KLKB1	NA	3137	0.33178701996803284	0.016824808	No	
row_22	DGKG	NA	3214	0.32990920543670654	0.022328965	No	
row_23	SIRT6	NA	3339	0.32586801052093506	0.022728022	No	
row_24	PLA2G4A	NA	3346	0.3255762755870819	0.03526396	No	
row_25	F10	NA	3708	0.31674742698669434	0.010894247	No	
row_26	CDH13	NA	3833	0.31343644857406616	0.010791056	No	
row_27	SERPINC1	NA	4078	0.30719730257987976	-0.0019187812	No	
row_28	C9	NA	4218	0.3038260042667389	-0.003954569	No	
row_29	HPCAL4	NA	4251	0.30304795503616333	0.004994373	No	
