NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	E2F8	NA	69	0.5693129301071167	0.013402684	Yes	
row_1	CDC25A	NA	120	0.5468356013298035	0.027948262	Yes	
row_2	KIF4A	NA	152	0.538793683052063	0.044156313	Yes	
row_3	PSMC3IP	NA	214	0.5266706943511963	0.056846038	Yes	
row_4	BUB1B	NA	276	0.515734076499939	0.069142126	Yes	
row_5	HMMR	NA	283	0.5144898295402527	0.087043725	Yes	
row_6	RAD51AP1	NA	304	0.5110732316970825	0.10338409	Yes	
row_7	DEPDC1	NA	397	0.4951854646205902	0.111755855	Yes	
row_8	DLGAP5	NA	421	0.4919945299625397	0.12710133	Yes	
row_9	TRIP13	NA	463	0.4855535328388214	0.14036578	Yes	
row_10	CIT	NA	571	0.4702378511428833	0.14629862	Yes	
row_11	BIRC5	NA	576	0.46980565786361694	0.16279738	Yes	
row_12	AURKA	NA	594	0.46720412373542786	0.17786697	Yes	
row_13	SPC24	NA	604	0.4666018784046173	0.19373673	Yes	
row_14	ORC6	NA	737	0.45308902859687805	0.19648403	Yes	
row_15	KIF2C	NA	741	0.4526839554309845	0.21246925	Yes	
row_16	CDKN3	NA	787	0.4485771358013153	0.22399189	Yes	
row_17	PLK4	NA	804	0.4473455250263214	0.23844942	Yes	
row_18	MYBL2	NA	820	0.44591569900512695	0.25295824	Yes	
row_19	SPAG5	NA	824	0.44563600420951843	0.2686898	Yes	
row_20	MKI67	NA	825	0.4456269145011902	0.2847292	Yes	
row_21	CENPE	NA	852	0.4437629282474518	0.2980305	Yes	
row_22	MAD2L1	NA	1099	0.42486807703971863	0.2880505	Yes	
row_23	EZH2	NA	1137	0.42251116037368774	0.2994568	Yes	
row_24	AURKB	NA	1189	0.41901886463165283	0.30929914	Yes	
row_25	MELK	NA	1253	0.41508209705352783	0.31776702	Yes	
row_26	CDC20	NA	1397	0.4062671661376953	0.317699	Yes	
row_27	CDK1	NA	1400	0.40618064999580383	0.33211315	Yes	
row_28	KIF18B	NA	1436	0.4040519595146179	0.34306052	Yes	
row_29	CCNB2	NA	1511	0.39949604868888855	0.34983733	Yes	
row_30	DIAPH3	NA	1564	0.3968117833137512	0.35877764	Yes	
row_31	TIPIN	NA	1686	0.39061081409454346	0.36040622	Yes	
row_32	TIMELESS	NA	1767	0.38687294721603394	0.3661123	Yes	
row_33	CHEK1	NA	1795	0.38560017943382263	0.37721738	Yes	
row_34	GINS1	NA	2152	0.3676312565803528	0.35387668	No	
row_35	ATAD2	NA	2506	0.35304325819015503	0.3303191	No	
row_36	SMC1A	NA	2580	0.34999245405197144	0.33541688	No	
row_37	GINS3	NA	2638	0.34769147634506226	0.34207556	No	
row_38	PRDX4	NA	2796	0.34265926480293274	0.3382798	No	
row_39	MMS22L	NA	2926	0.3382062017917633	0.33720034	No	
row_40	PTTG1	NA	3322	0.3262973427772522	0.30836532	No	
row_41	RACGAP1	NA	3333	0.3260394334793091	0.3190731	No	
row_42	POLD1	NA	3650	0.3182302415370941	0.2980636	No	
row_43	RNASEH2A	NA	3869	0.3124692738056183	0.2869146	No	
row_44	ZW10	NA	3967	0.3100626468658447	0.28810957	No	
row_45	POP7	NA	4607	0.29384198784828186	0.23303962	No	
row_46	POLD2	NA	4754	0.2896004617214203	0.22846422	No	
row_47	EXOSC8	NA	5295	0.27472805976867676	0.18287683	No	
row_48	BARD1	NA	5456	0.27010226249694824	0.17616136	No	
row_49	CSE1L	NA	5607	0.2658027112483978	0.17031848	No	
row_50	ORC2	NA	5608	0.2657640278339386	0.1798841	No	
row_51	MCM6	NA	5843	0.2586170434951782	0.16515304	No	
row_52	PRIM2	NA	5846	0.2585461437702179	0.1742534	No	
row_53	RFC3	NA	5949	0.2549285888671875	0.1729503	No	
row_54	PAN2	NA	5995	0.2536538243293762	0.17745708	No	
row_55	RANBP1	NA	6014	0.25303539633750916	0.18471538	No	
row_56	MCM4	NA	6292	0.2422405481338501	0.16497737	No	
row_57	LMNB1	NA	6540	0.23237696290016174	0.14796633	No	
row_58	MCM3	NA	6554	0.2319096475839615	0.1549779	No	
row_59	PCNA	NA	6654	0.22654104232788086	0.15296124	No	
row_60	USP1	NA	6660	0.22627604007720947	0.16059192	No	
row_61	PHF5A	NA	6662	0.22618788480758667	0.16863035	No	
row_62	UBR7	NA	6686	0.2248787134885788	0.17436154	No	
row_63	PPP1R8	NA	6725	0.22329482436180115	0.17849474	No	
row_64	WEE1	NA	6748	0.2222612351179123	0.18423444	No	
row_65	MCM5	NA	6799	0.21967098116874695	0.18700442	No	
row_66	TFRC	NA	6892	0.21494323015213013	0.18528944	No	
row_67	DCTPP1	NA	7007	0.20980289578437805	0.18112934	No	
row_68	CCP110	NA	7124	0.2043551653623581	0.17656769	No	
row_69	RAD51C	NA	7126	0.20428968966007233	0.18381794	No	
row_70	NUDT21	NA	7135	0.20387834310531616	0.19033425	No	
row_71	NOLC1	NA	7352	0.19232746958732605	0.17506643	No	
row_72	IPO7	NA	7525	0.18279226124286652	0.16397563	No	
row_73	DUT	NA	7583	0.17975138127803802	0.16458964	No	
row_74	PRPS1	NA	7751	0.16929444670677185	0.1535267	No	
row_75	LUC7L3	NA	7922	0.15928876399993896	0.1417954	No	
row_76	RPA1	NA	8017	0.15349285304546356	0.13766319	No	
row_77	ING3	NA	8139	0.14446613192558289	0.1304323	No	
row_78	MYC	NA	8274	0.1343548595905304	0.12150193	No	
row_79	NOP56	NA	8301	0.13146363198757172	0.12356264	No	
row_80	RPA2	NA	8360	0.12672486901283264	0.122165345	No	
row_81	ANP32E	NA	8519	0.11315955221652985	0.110006526	No	
row_82	DEK	NA	8590	0.10648716241121292	0.10664802	No	
row_83	TMPO	NA	8627	0.10293446481227875	0.106654555	No	
row_84	EIF2S1	NA	8648	0.10070617496967316	0.108224615	No	
row_85	RPA3	NA	8765	0.08803892880678177	0.099476404	No	
row_86	CTPS1	NA	8834	0.07896450161933899	0.09533274	No	
row_87	RFC1	NA	8932	0.0672200620174408	0.08778712	No	
row_88	RAN	NA	9175	0.029002618044614792	0.063969694	No	
row_89	RAD21	NA	9530	-0.06940416991710663	0.030100385	No	
