NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BGN	NA	92	0.5576419234275818	0.007875908	Yes	
row_1	TNFRSF12A	NA	110	0.5498246550559998	0.023227112	Yes	
row_2	COL1A1	NA	320	0.5083000659942627	0.017527629	Yes	
row_3	CXCL6	NA	323	0.5081486105918884	0.03312631	Yes	
row_4	PTHLH	NA	362	0.5020503401756287	0.044830468	Yes	
row_5	FBN1	NA	412	0.49336493015289307	0.05513246	Yes	
row_6	FERMT2	NA	494	0.48086076974868774	0.061752345	Yes	
row_7	ELN	NA	578	0.46936869621276855	0.06780898	Yes	
row_8	GEM	NA	613	0.465641587972641	0.0787924	Yes	
row_9	PDLIM4	NA	700	0.4564427435398102	0.084138274	Yes	
row_10	FBLN1	NA	740	0.45269814133644104	0.09420456	Yes	
row_11	CAP2	NA	754	0.45117688179016113	0.10689926	Yes	
row_12	SLIT2	NA	973	0.43401336669921875	0.097963095	Yes	
row_13	LAMA1	NA	1031	0.4300263226032257	0.10547182	Yes	
row_14	GREM1	NA	1060	0.42787182331085205	0.11589799	Yes	
row_15	TNFRSF11B	NA	1121	0.4236863851547241	0.1229008	Yes	
row_16	COL16A1	NA	1149	0.42175596952438354	0.13323967	Yes	
row_17	SFRP4	NA	1282	0.4132431447505951	0.13250796	Yes	
row_18	FN1	NA	1335	0.40958482027053833	0.13989548	Yes	
row_19	SCG2	NA	1402	0.40603989362716675	0.14573197	Yes	
row_20	LAMC2	NA	1442	0.4032251536846161	0.15425955	Yes	
row_21	TIMP3	NA	1469	0.40161457657814026	0.16407488	Yes	
row_22	DKK1	NA	1482	0.4008322060108185	0.17530668	Yes	
row_23	NTM	NA	1485	0.40068519115448	0.187563	Yes	
row_24	SFRP1	NA	1487	0.4003686010837555	0.19991241	Yes	
row_25	PCOLCE2	NA	1557	0.3972878158092499	0.20516795	Yes	
row_26	PRRX1	NA	1611	0.39458808302879333	0.21198612	Yes	
row_27	EDIL3	NA	1885	0.380923330783844	0.19573855	Yes	
row_28	COL7A1	NA	1898	0.38016611337661743	0.20632757	Yes	
row_29	COL4A2	NA	2079	0.3711203336715698	0.19934598	Yes	
row_30	SNAI2	NA	2119	0.36886805295944214	0.20680498	Yes	
row_31	SPP1	NA	2156	0.36741122603416443	0.2145274	Yes	
row_32	CDH6	NA	2180	0.3661709427833557	0.2235491	Yes	
row_33	COMP	NA	2266	0.3617785573005676	0.22605363	Yes	
row_34	LOX	NA	2536	0.35160472989082336	0.20930584	Yes	
row_35	COL5A1	NA	2597	0.34939247369766235	0.21399795	Yes	
row_36	THY1	NA	2633	0.3478063642978668	0.22121353	Yes	
row_37	COL1A2	NA	2816	0.3419348895549774	0.21311837	Yes	
row_38	ITGA2	NA	2878	0.33968380093574524	0.2174056	Yes	
row_39	GJA1	NA	2920	0.33842822909355164	0.22371203	Yes	
row_40	LOXL1	NA	2973	0.3365907371044159	0.22882928	Yes	
row_41	CXCL1	NA	2974	0.33645501732826233	0.23929374	Yes	
row_42	LRRC15	NA	2980	0.3362489938735962	0.24923724	Yes	
row_43	IGFBP4	NA	3006	0.3355643153190613	0.25710118	Yes	
row_44	SERPINE1	NA	3106	0.332665354013443	0.25725946	Yes	
row_45	SDC4	NA	3212	0.3299364745616913	0.2567154	Yes	
row_46	POSTN	NA	3228	0.32944461703300476	0.2654181	Yes	
row_47	COL11A1	NA	3248	0.3289145231246948	0.27369273	Yes	
row_48	MGP	NA	3381	0.3246457278728485	0.27020547	Yes	
row_49	RGS4	NA	3526	0.3209477961063385	0.26536822	Yes	
row_50	MATN2	NA	3574	0.31988149881362915	0.27048033	Yes	
row_51	PLOD2	NA	3651	0.3182239830493927	0.27255645	Yes	
row_52	VCAM1	NA	3654	0.3181746006011963	0.28224653	Yes	
row_53	LUM	NA	3667	0.3177540600299835	0.2908944	Yes	
row_54	NNMT	NA	3728	0.316059410572052	0.29454976	Yes	
row_55	BASP1	NA	3875	0.3122951090335846	0.28923762	Yes	
row_56	COL5A3	NA	3946	0.3105737864971161	0.29169324	Yes	
row_57	COL3A1	NA	4056	0.3078077435493469	0.29004925	Yes	
row_58	ECM1	NA	4098	0.30676522850990295	0.2953709	Yes	
row_59	MMP3	NA	4515	0.29629626870155334	0.26177478	No	
row_60	AREG	NA	4641	0.29316437244415283	0.25802878	No	
row_61	FAP	NA	4836	0.2873757481575012	0.24700175	No	
row_62	SGCG	NA	4870	0.2864854037761688	0.25251594	No	
row_63	COL5A2	NA	4930	0.28502029180526733	0.25530884	No	
row_64	FSTL1	NA	5008	0.28299373388290405	0.2561863	No	
row_65	ABI3BP	NA	5110	0.2801494300365448	0.2545054	No	
row_66	FBLN5	NA	5227	0.27619537711143494	0.25115782	No	
row_67	ADAM12	NA	5279	0.27502623200416565	0.25446317	No	
row_68	MMP14	NA	5435	0.27057763934135437	0.24692729	No	
row_69	PRSS2	NA	5598	0.2660754323005676	0.238531	No	
row_70	FBLN2	NA	5614	0.2656364142894745	0.24524915	No	
row_71	MEST	NA	5731	0.2623540759086609	0.24147108	No	
row_72	SGCD	NA	5829	0.25889331102371216	0.23954071	No	
row_73	IL6	NA	5984	0.25400134921073914	0.23159218	No	
row_74	ECM2	NA	6032	0.2526092827320099	0.23461199	No	
row_75	COL6A3	NA	6036	0.2525560259819031	0.24215828	No	
row_76	MFAP5	NA	6372	0.23891665041446686	0.21511343	No	
row_77	DCN	NA	6461	0.2355341613292694	0.21338275	No	
row_78	PTX3	NA	6532	0.23271490633487701	0.21341681	No	
row_79	PMP22	NA	6762	0.22137245535850525	0.19673502	No	
row_80	LOXL2	NA	6920	0.21354113519191742	0.18721935	No	
row_81	PLOD1	NA	6984	0.2110566645860672	0.18730018	No	
row_82	GPX7	NA	7043	0.20838280022144318	0.1878124	No	
row_83	SGCB	NA	7283	0.19575518369674683	0.16930474	No	
row_84	PDGFRB	NA	7398	0.18985283374786377	0.16347755	No	
row_85	SNTB1	NA	7693	0.17278331518173218	0.13859522	No	
row_86	CALU	NA	7776	0.16783922910690308	0.13537656	No	
row_87	IGFBP3	NA	7796	0.16630686819553375	0.13859373	No	
row_88	CD59	NA	7854	0.16336952149868011	0.13780886	No	
row_89	COLGALT1	NA	8039	0.1520063728094101	0.12360069	No	
row_90	MYL9	NA	8061	0.1507302075624466	0.12612756	No	
row_91	THBS1	NA	8351	0.127815842628479	0.10036121	No	
row_92	GADD45B	NA	8439	0.11981907486915588	0.09513447	No	
row_93	ACTA2	NA	8768	0.08792752772569656	0.06411392	No	
row_94	COPA	NA	8775	0.08718278259038925	0.06620802	No	
row_95	MYLK	NA	8988	0.05789535120129585	0.046191253	No	
row_96	DST	NA	9130	0.03684404119849205	0.032826528	No	
row_97	ITGB3	NA	9162	0.03210129961371422	0.03063466	No	
row_98	SPARC	NA	9521	-0.0658523440361023	-0.00415984	No	
row_99	EMP3	NA	9538	-0.07293712347745895	-0.0035379387	No	
row_100	ITGB1	NA	9548	-0.07758866250514984	-0.0020509781	No	
row_101	SAT1	NA	9585	-0.0942179337143898	-0.0028254474	No	
row_102	WIPF1	NA	9603	-0.10131539404392242	-0.0014238341	No	
row_103	CXCL8	NA	9619	-0.10896950960159302	4.2166316E-4	No	
