NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KCNK15	NA	96	0.5560628771781921	0.011922449	Yes	
row_1	DEPTOR	NA	390	0.49624189734458923	0.001269524	Yes	
row_2	AR	NA	392	0.4961242079734802	0.020600691	Yes	
row_3	HES1	NA	401	0.4944950044155121	0.03914913	Yes	
row_4	CCND1	NA	429	0.4902730882167816	0.055580877	Yes	
row_5	ADCY1	NA	486	0.4817523956298828	0.06870052	Yes	
row_6	KRT19	NA	510	0.4791814684867859	0.0851086	Yes	
row_7	CALB2	NA	522	0.4782721996307373	0.102713466	Yes	
row_8	MAPT	NA	742	0.45258113741874695	0.09795017	Yes	
row_9	PODXL	NA	822	0.4457060694694519	0.10729571	Yes	
row_10	TUBB2B	NA	1145	0.42193838953971863	0.090753876	Yes	
row_11	CELSR2	NA	1155	0.421357125043869	0.10633471	Yes	
row_12	TSKU	NA	1180	0.41962242126464844	0.12030707	Yes	
row_13	OVOL2	NA	1197	0.4185648560523987	0.13505962	Yes	
row_14	OLFML3	NA	1304	0.411511093378067	0.14029276	Yes	
row_15	PDLIM3	NA	1317	0.41089946031570435	0.15515585	Yes	
row_16	CA12	NA	1461	0.40229174494743347	0.15622792	Yes	
row_17	REEP1	NA	1518	0.3990389108657837	0.16610757	Yes	
row_18	INPP5F	NA	1572	0.3963657319545746	0.1761906	Yes	
row_19	CCN5	NA	1615	0.3944302499294281	0.18732753	Yes	
row_20	WFS1	NA	1691	0.3902142345905304	0.19491018	Yes	
row_21	IL17RB	NA	1953	0.3774822950363159	0.18289171	Yes	
row_22	SLC26A2	NA	1959	0.3772425055503845	0.19715531	Yes	
row_23	KRT8	NA	1995	0.3754148483276367	0.2082663	Yes	
row_24	SYT12	NA	2053	0.372441828250885	0.2170014	Yes	
row_25	MLPH	NA	2056	0.3723929822444916	0.23138314	Yes	
row_26	LAD1	NA	2096	0.3700617551803589	0.24187364	Yes	
row_27	SNX24	NA	2104	0.36957722902297974	0.25563157	Yes	
row_28	SULT2B1	NA	2269	0.36160168051719666	0.25295305	Yes	
row_29	FRK	NA	2350	0.35904258489608765	0.25880116	Yes	
row_30	MYB	NA	2427	0.3563683331012726	0.2649553	Yes	
row_31	HSPB8	NA	2663	0.34715092182159424	0.25441894	Yes	
row_32	CALCR	NA	2728	0.3449690341949463	0.26135898	Yes	
row_33	RAB17	NA	2768	0.34357520937919617	0.27081198	Yes	
row_34	NPY1R	NA	2848	0.3408498167991638	0.27605015	Yes	
row_35	GJA1	NA	2920	0.33842822909355164	0.28201506	Yes	
row_36	TFF3	NA	2978	0.336324006319046	0.28933537	Yes	
row_37	IGFBP4	NA	3006	0.3355643153190613	0.29970697	Yes	
row_38	MREG	NA	3090	0.33313843607902527	0.30423227	Yes	
row_39	RAPGEFL1	NA	3176	0.33087071776390076	0.30846334	Yes	
row_40	ELF3	NA	3258	0.3284762501716614	0.31301144	Yes	
row_41	SYBU	NA	3423	0.3234543204307556	0.3088386	No	
row_42	SLC7A2	NA	3657	0.3181036412715912	0.29736984	No	
row_43	FKBP4	NA	3690	0.3171910345554352	0.3065082	No	
row_44	THSD4	NA	3783	0.31470179557800293	0.309387	No	
row_45	ASB13	NA	4548	0.295450896024704	0.24249664	No	
row_46	KRT15	NA	4558	0.29515179991722107	0.25313383	No	
row_47	AREG	NA	4641	0.29316437244415283	0.256196	No	
row_48	SLC22A5	NA	4700	0.2910870313644409	0.26164162	No	
row_49	KRT13	NA	4735	0.29004722833633423	0.26951134	No	
row_50	CLDN7	NA	4906	0.285655677318573	0.26324168	No	
row_51	PTGES	NA	5040	0.2819214463233948	0.2606257	No	
row_52	ANXA9	NA	5318	0.2738427221775055	0.2429043	No	
row_53	GLA	NA	5958	0.2546496093273163	0.18725331	No	
row_54	RRP12	NA	5972	0.2541939914226532	0.19587533	No	
row_55	MYBBP1A	NA	6158	0.24772918224334717	0.18657954	No	
row_56	MSMB	NA	6181	0.24686504900455475	0.19399016	No	
row_57	PDZK1	NA	6215	0.2454160451889038	0.20021431	No	
row_58	MICB	NA	6220	0.24521034955978394	0.20940873	No	
row_59	GREB1	NA	6241	0.24464698135852814	0.21693787	No	
row_60	DLC1	NA	6341	0.240197092294693	0.21617931	No	
row_61	PAPSS2	NA	6467	0.2353561818599701	0.2125609	No	
row_62	RBBP8	NA	6511	0.2334720939397812	0.2172902	No	
row_63	AKAP1	NA	6551	0.23197661340236664	0.2223717	No	
row_64	ISG20L2	NA	6641	0.22708569467067719	0.22212656	No	
row_65	SYNGR1	NA	6798	0.21970710158348083	0.21471143	No	
