NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KIF20A	NA	117	0.5480242371559143	0.0071483003	Yes	
row_1	GINS2	NA	215	0.5263653993606567	0.015593864	Yes	
row_2	ASCL1	NA	284	0.5144126415252686	0.026600888	Yes	
row_3	UNC13B	NA	315	0.5088544487953186	0.041317735	Yes	
row_4	CCND1	NA	429	0.4902730882167816	0.04685694	Yes	
row_5	IGSF1	NA	490	0.4814010262489319	0.0575312	Yes	
row_6	KRT19	NA	510	0.4791814684867859	0.072340295	Yes	
row_7	HSPA4L	NA	575	0.4698939621448517	0.08220108	Yes	
row_8	MAPT	NA	742	0.45258113741874695	0.08097647	Yes	
row_9	PLK4	NA	804	0.4473455250263214	0.09035677	Yes	
row_10	CPE	NA	815	0.44628268480300903	0.104939796	Yes	
row_11	PLAC1	NA	835	0.44498154520988464	0.11855262	Yes	
row_12	CDC6	NA	885	0.4406331479549408	0.12893105	Yes	
row_13	LARGE1	NA	1141	0.4222566485404968	0.117501564	Yes	
row_14	CELSR2	NA	1155	0.421357125043869	0.1309045	Yes	
row_15	CHST8	NA	1163	0.42080533504486084	0.14490458	Yes	
row_16	OVOL2	NA	1197	0.4185648560523987	0.15615498	Yes	
row_17	PDLIM3	NA	1317	0.41089946031570435	0.15830131	Yes	
row_18	CDC20	NA	1397	0.4062671661376953	0.16439536	Yes	
row_19	NMU	NA	1434	0.40429580211639404	0.17483841	Yes	
row_20	LAMC2	NA	1442	0.4032251536846161	0.18822356	Yes	
row_21	CA12	NA	1461	0.40229174494743347	0.20044588	Yes	
row_22	CAV1	NA	1509	0.39962297677993774	0.20959531	Yes	
row_23	CCN5	NA	1615	0.3944302499294281	0.21260399	Yes	
row_24	CDH1	NA	1683	0.39068523049354553	0.2193859	Yes	
row_25	WFS1	NA	1691	0.3902142345905304	0.23231594	Yes	
row_26	PCP4	NA	1761	0.3871749937534332	0.2387696	Yes	
row_27	NAB2	NA	1865	0.3818676471710205	0.24154434	Yes	
row_28	IL17RB	NA	1953	0.3774822950363159	0.24580957	Yes	
row_29	SLC26A2	NA	1959	0.3772425055503845	0.25849137	Yes	
row_30	SULT2B1	NA	2269	0.36160168051719666	0.23939212	Yes	
row_31	DNAJC12	NA	2282	0.36117789149284363	0.2507928	Yes	
row_32	FRK	NA	2350	0.35904258489608765	0.25646788	Yes	
row_33	MYB	NA	2427	0.3563683331012726	0.26112476	Yes	
row_34	TNNC1	NA	2630	0.34793174266815186	0.2525409	Yes	
row_35	HSPB8	NA	2663	0.34715092182159424	0.26139605	Yes	
row_36	SORD	NA	2701	0.3457016348838806	0.2696868	Yes	
row_37	CALCR	NA	2728	0.3449690341949463	0.2790821	Yes	
row_38	NPY1R	NA	2848	0.3408498167991638	0.27877817	Yes	
row_39	CXCL14	NA	2900	0.33887213468551636	0.28539163	Yes	
row_40	TFF3	NA	2978	0.336324006319046	0.28924462	Yes	
row_41	IGFBP4	NA	3006	0.3355643153190613	0.2982082	Yes	
row_42	AGR2	NA	3123	0.33201864361763	0.29790363	Yes	
row_43	HMGCS2	NA	3164	0.33107849955558777	0.30537465	Yes	
row_44	RAPGEFL1	NA	3176	0.33087071776390076	0.31581795	Yes	
row_45	PERP	NA	3245	0.3289826214313507	0.32033885	Yes	
row_46	PTGER3	NA	3486	0.3217279016971588	0.30693412	No	
row_47	MOCS2	NA	3529	0.32089564204216003	0.3138435	No	
row_48	FKBP4	NA	3690	0.3171910345554352	0.30849954	No	
row_49	RNASEH2A	NA	3869	0.3124692738056183	0.30114105	No	
row_50	SERPINA3	NA	4211	0.30402594804763794	0.2767401	No	
row_51	MAPK13	NA	4501	0.2965909540653229	0.2574217	No	
row_52	AREG	NA	4641	0.29316437244415283	0.25339493	No	
row_53	SLC29A1	NA	4693	0.2913393974304199	0.25834575	No	
row_54	SLC22A5	NA	4700	0.2910870313644409	0.2679112	No	
row_55	DCXR	NA	4730	0.2901903986930847	0.27508217	No	
row_56	KRT13	NA	4735	0.29004722833633423	0.2848167	No	
row_57	ACOX2	NA	4884	0.28620120882987976	0.2796217	No	
row_58	KLK11	NA	4931	0.284980446100235	0.2848638	No	
row_59	PTGES	NA	5040	0.2819214463233948	0.28362882	No	
row_60	ANXA9	NA	5318	0.2738427221775055	0.26474765	No	
row_61	LLGL2	NA	5342	0.27319663763046265	0.27194065	No	
row_62	HPRT1	NA	5388	0.2718181014060974	0.2768251	No	
row_63	UGDH	NA	5679	0.26407527923583984	0.2562666	No	
row_64	MEST	NA	5731	0.2623540759086609	0.26020354	No	
row_65	GLA	NA	5958	0.2546496093273163	0.24589092	No	
row_66	PDZK1	NA	6215	0.2454160451889038	0.22817302	No	
row_67	MICB	NA	6220	0.24521034955978394	0.23633923	No	
row_68	PRLR	NA	6338	0.2403135746717453	0.23272416	No	
row_69	IMPA2	NA	6425	0.23694312572479248	0.23217624	No	
row_70	PAPSS2	NA	6467	0.2353561818599701	0.23619626	No	
row_71	RBBP8	NA	6511	0.2334720939397812	0.23994489	No	
row_72	TSPAN13	NA	6544	0.23223137855529785	0.24478029	No	
row_73	DNAJC1	NA	6821	0.2185036540031433	0.22406615	No	
row_74	DYNLT3	NA	6847	0.2172931581735611	0.22909825	No	
row_75	ISG20	NA	7387	0.1903807371854782	0.18037893	No	
row_76	BATF	NA	7826	0.16460776329040527	0.14113519	No	
row_77	PRKAR2B	NA	8293	0.13222791254520416	0.09788201	No	
row_78	ALDH3A2	NA	8456	0.11843515187501907	0.08538033	No	
row_79	RAB31	NA	8513	0.11360318213701248	0.083600424	No	
row_80	MYOF	NA	8669	0.09914689511060715	0.07114326	No	
row_81	RABEP1	NA	8750	0.09030955284833908	0.06608273	No	
row_82	COX6C	NA	9078	0.044814977794885635	0.034053262	No	
row_83	SGK1	NA	9141	0.03521977365016937	0.02891513	No	
row_84	SNX10	NA	9301	0.0037798478733748198	0.012711168	No	
row_85	ELOVL5	NA	9430	-0.033518508076667786	7.324723E-4	No	
row_86	IL6ST	NA	9567	-0.08462994545698166	-0.01028035	No	
row_87	ZFP36	NA	9594	-0.09617721289396286	-0.009587507	No	
row_88	CD44	NA	9773	-0.22779211401939392	-0.019907897	No	
row_89	SERPINA1	NA	9776	-0.233769491314888	-0.0119363945	No	
row_90	S100A9	NA	9822	-0.4763577878475189	1.0260823E-4	No	
