NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RAD54L	NA	93	0.5572959780693054	0.009425912	Yes	
row_1	CDC25A	NA	120	0.5468356013298035	0.025380727	Yes	
row_2	KIF4A	NA	152	0.538793683052063	0.040547792	Yes	
row_3	CENPA	NA	174	0.5338958501815796	0.056575667	Yes	
row_4	HOXC10	NA	205	0.5272656679153442	0.07145282	Yes	
row_5	GINS2	NA	215	0.5263653993606567	0.08845736	Yes	
row_6	POLQ	NA	273	0.5161067843437195	0.10017977	Yes	
row_7	HMMR	NA	283	0.5144898295402527	0.1167798	Yes	
row_8	TROAP	NA	426	0.4908674657344818	0.118907526	Yes	
row_9	CCND1	NA	429	0.4902730882167816	0.13540201	Yes	
row_10	TPX2	NA	467	0.48483890295028687	0.14811465	Yes	
row_11	CENPF	NA	524	0.4782492518424988	0.1586503	Yes	
row_12	BIRC5	NA	576	0.46980565786361694	0.16941215	Yes	
row_13	AURKA	NA	594	0.46720412373542786	0.18357939	Yes	
row_14	UBE2C	NA	736	0.4531860947608948	0.18452634	Yes	
row_15	ORC6	NA	737	0.45308902859687805	0.19995977	Yes	
row_16	KIF2C	NA	741	0.4526839554309845	0.21507111	Yes	
row_17	CDKN3	NA	787	0.4485771358013153	0.22572646	Yes	
row_18	PLK4	NA	804	0.4473455250263214	0.23932001	Yes	
row_19	MYBL2	NA	820	0.44591569900512695	0.25296763	Yes	
row_20	MKI67	NA	825	0.4456269145011902	0.26773584	Yes	
row_21	CENPE	NA	852	0.4437629282474518	0.2801797	Yes	
row_22	KIF11	NA	863	0.44260019063949585	0.29422823	Yes	
row_23	KNL1	NA	869	0.4420263171195984	0.308771	Yes	
row_24	CDC6	NA	885	0.4406331479549408	0.32223868	Yes	
row_25	NEK2	NA	917	0.43792641162872314	0.33396995	Yes	
row_26	PRC1	NA	956	0.4349398612976074	0.3448801	Yes	
row_27	TRAIP	NA	971	0.4340737462043762	0.35822713	Yes	
row_28	EXO1	NA	1017	0.4312802255153656	0.3682933	Yes	
row_29	MAD2L1	NA	1099	0.42486807703971863	0.37444153	Yes	
row_30	EZH2	NA	1137	0.42251116037368774	0.3850311	Yes	
row_31	AURKB	NA	1189	0.41901886463165283	0.39406303	Yes	
row_32	INCENP	NA	1313	0.4109947979450226	0.3954226	Yes	
row_33	EFNA5	NA	1374	0.4076222777366638	0.40314144	Yes	
row_34	CDC20	NA	1397	0.4062671661376953	0.4147192	Yes	
row_35	CDK1	NA	1400	0.40618064999580383	0.42834926	Yes	
row_36	CCNB2	NA	1511	0.39949604868888855	0.4306531	Yes	
row_37	NDC80	NA	1628	0.3937358856201172	0.43214414	Yes	
row_38	FANCC	NA	1754	0.3873817026615143	0.43249384	Yes	
row_39	CHEK1	NA	1795	0.38560017943382263	0.44151783	Yes	
row_40	CHAF1A	NA	1826	0.3841398358345032	0.45151976	Yes	
row_41	KIF20B	NA	1904	0.37995535135269165	0.4565492	Yes	
row_42	NUSAP1	NA	2084	0.37089869379997253	0.45078817	No	
row_43	E2F2	NA	2220	0.36379265785217285	0.44930673	No	
row_44	SMC1A	NA	2580	0.34999245405197144	0.42433602	No	
row_45	SQLE	NA	2857	0.34050747752189636	0.40757164	No	
row_46	RASAL2	NA	3010	0.3354358971118927	0.40337732	No	
row_47	PTTG1	NA	3322	0.3262973427772522	0.38253218	No	
row_48	RACGAP1	NA	3333	0.3260394334793091	0.3926103	No	
row_49	BCL3	NA	4337	0.3011951148509979	0.29979718	No	
row_50	DBF4	NA	5368	0.272497296333313	0.20323186	No	
row_51	BARD1	NA	5456	0.27010226249694824	0.20349178	No	
row_52	MAP3K20	NA	5574	0.2666274905204773	0.20055039	No	
