NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CNTFR	NA	207	0.5271087288856506	0.06260519	Yes	
row_1	VLDLR	NA	782	0.4486981928348541	0.07532297	Yes	
row_2	OPHN1	NA	881	0.4408365488052368	0.13534373	Yes	
row_3	AMOT	NA	886	0.44059231877326965	0.20491362	Yes	
row_4	GLI1	NA	901	0.43943536281585693	0.27327976	Yes	
row_5	SCG2	NA	1402	0.40603989362716675	0.2867702	Yes	
row_6	NRP2	NA	2167	0.3667575716972351	0.26709378	Yes	
row_7	NKX6-1	NA	2214	0.36415883898735046	0.32024002	Yes	
row_8	SLIT1	NA	2458	0.3549424707889557	0.3518286	Yes	
row_9	THY1	NA	2633	0.3478063642978668	0.3893217	Yes	
row_10	SHH	NA	2714	0.3453772962093353	0.43601698	Yes	
row_11	PLG	NA	5078	0.28102999925613403	0.23962802	No	
row_12	NF1	NA	5881	0.25715988874435425	0.19866857	No	
row_13	CDK6	NA	6231	0.24483641982078552	0.20195745	No	
row_14	LDB1	NA	6251	0.24435053765773773	0.23882888	No	
row_15	PML	NA	6340	0.24025452136993408	0.2680118	No	
row_16	ETS2	NA	7066	0.20735497772693634	0.22699594	No	
row_17	RTN1	NA	8446	0.11947239190340042	0.1053145	No	
row_18	DPYSL2	NA	8969	0.06173928454518318	0.06187678	No	
row_19	ADGRG1	NA	9701	-0.1582137793302536	0.012443972	No	
