NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GPC4	NA	29	0.6045656204223633	0.019609602	Yes	
row_1	GPC3	NA	85	0.5647208094596863	0.03505881	Yes	
row_2	BGN	NA	92	0.5576419234275818	0.055278458	Yes	
row_3	KIF5A	NA	318	0.5084869265556335	0.051158354	Yes	
row_4	CAVIN1	NA	469	0.484736829996109	0.05385737	Yes	
row_5	SRPX	NA	538	0.4747941493988037	0.06461069	Yes	
row_6	BRS3	NA	541	0.4744541049003601	0.082133055	Yes	
row_7	CSRP2	NA	593	0.4672652781009674	0.09435188	Yes	
row_8	TMEM45A	NA	684	0.4578396677970886	0.10221112	Yes	
row_9	HOXB9	NA	718	0.4543335437774658	0.11579631	Yes	
row_10	VLDLR	NA	782	0.4486981928348541	0.12608834	Yes	
row_11	EGFR	NA	855	0.44349098205566406	0.135261	Yes	
row_12	P4HA2	NA	862	0.4426831603050232	0.15118524	Yes	
row_13	LARGE1	NA	1141	0.4222566485404968	0.13839722	Yes	
row_14	EFNA3	NA	1182	0.4194815456867218	0.14996089	Yes	
row_15	NCAN	NA	1217	0.4176308810710907	0.16207196	Yes	
row_16	EXT1	NA	1232	0.41632279753685	0.17618921	Yes	
row_17	F3	NA	1343	0.4093893766403198	0.18018304	Yes	
row_18	CA12	NA	1461	0.40229174494743347	0.18319239	Yes	
row_19	CAV1	NA	1509	0.39962297677993774	0.19329478	Yes	
row_20	CCN5	NA	1615	0.3944302499294281	0.19724344	Yes	
row_21	PKP1	NA	1783	0.3859562575817108	0.19450472	Yes	
row_22	EDN2	NA	1818	0.3844539225101471	0.20537612	Yes	
row_23	LDHC	NA	1886	0.38085344433784485	0.21272212	Yes	
row_24	IGFBP1	NA	1977	0.3763694167137146	0.21753724	Yes	
row_25	B4GALNT2	NA	2040	0.3727365732192993	0.22509372	Yes	
row_26	EFNA1	NA	2095	0.3701258599758148	0.2333747	Yes	
row_27	PGAM2	NA	2224	0.3636755049228668	0.23381087	Yes	
row_28	SULT2B1	NA	2269	0.36160168051719666	0.24280086	Yes	
row_29	ATP7A	NA	2306	0.3605458438396454	0.25257346	Yes	
row_30	PDGFB	NA	2374	0.358178973197937	0.2590722	Yes	
row_31	NOCT	NA	2420	0.3566076457500458	0.26777285	Yes	
row_32	PPP1R3C	NA	2441	0.3558235466480255	0.27901307	Yes	
row_33	SDC3	NA	2476	0.3542802035808563	0.28875703	Yes	
row_34	LOX	NA	2536	0.35160472989082336	0.2958322	Yes	
row_35	COL5A1	NA	2597	0.34939247369766235	0.30272195	Yes	
row_36	HS3ST1	NA	2700	0.3457023501396179	0.30515814	Yes	
row_37	PCK1	NA	2804	0.34236907958984375	0.30736706	Yes	
row_38	SDC2	NA	3034	0.33489924669265747	0.29634985	Yes	
row_39	GYS1	NA	3054	0.3343486785888672	0.3068904	Yes	
row_40	SERPINE1	NA	3106	0.332665354013443	0.31407994	Yes	
row_41	ERRFI1	NA	3179	0.3308342695236206	0.31904322	Yes	
row_42	HAS1	NA	3180	0.33077532052993774	0.33140254	Yes	
row_43	SDC4	NA	3212	0.3299364745616913	0.34054518	Yes	
row_44	LALBA	NA	3524	0.32098397612571716	0.32058224	No	
row_45	PDK3	NA	3741	0.31572842597961426	0.31018457	No	
row_46	GCK	NA	3844	0.31318286061286926	0.3114057	No	
row_47	STC1	NA	3867	0.3124868869781494	0.3208211	No	
row_48	ACKR3	NA	4288	0.30231356620788574	0.28896037	No	
row_49	FAM162A	NA	4666	0.29213765263557434	0.26113784	No	
row_50	SLC2A5	NA	4857	0.2868179976940155	0.25233153	No	
row_51	CP	NA	5011	0.28290772438049316	0.24718098	No	
row_52	PDK1	NA	5119	0.2797965109348297	0.24664086	No	
row_53	IRS2	NA	5325	0.2736091911792755	0.23579967	No	
row_54	PKLR	NA	5508	0.268616646528244	0.22713529	No	
row_55	CAVIN3	NA	5695	0.26368576288223267	0.21787564	No	
row_56	AKAP12	NA	5727	0.26238882541656494	0.22449437	No	
row_57	SELENBP1	NA	5878	0.2572115957736969	0.21869196	No	
row_58	IL6	NA	5984	0.25400134921073914	0.21739352	No	
row_59	PPFIA4	NA	6111	0.24948684871196747	0.21376856	No	
row_60	GAPDHS	NA	6360	0.23930765688419342	0.19722728	No	
row_61	DCN	NA	6461	0.2355341613292694	0.19575259	No	
row_62	PHKG1	NA	6526	0.23302996158599854	0.19788346	No	
row_63	DTNA	NA	6863	0.21672524511814117	0.17145608	No	
