NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GPC3	NA	85	0.5647208094596863	0.013072357	No	
row_1	HAS2	NA	247	0.5200440287590027	0.01658133	No	
row_2	CXCL6	NA	323	0.5081486105918884	0.028497238	No	
row_3	LIF	NA	709	0.4556965231895447	0.0064229122	No	
row_4	MET	NA	1000	0.43239110708236694	-0.006757743	No	
row_5	PCDH7	NA	1006	0.4320172965526581	0.009431619	No	
row_6	SCN1B	NA	1079	0.42623576521873474	0.018489499	No	
row_7	EDN1	NA	1221	0.41747787594795227	0.0200946	No	
row_8	F3	NA	1343	0.4093893766403198	0.02344901	No	
row_9	TNFSF15	NA	1655	0.39220941066741943	0.00654947	No	
row_10	ITGB8	NA	1895	0.3803800046443939	-0.0033840328	No	
row_11	OSMR	NA	1930	0.3788144886493683	0.00775813	No	
row_12	SLC1A2	NA	1933	0.3785896599292755	0.022190908	No	
row_13	OPRK1	NA	1973	0.3765527307987213	0.0327301	No	
row_14	IRAK2	NA	2025	0.3736967444419861	0.041921616	No	
row_15	IL1R1	NA	2054	0.3724299371242523	0.053435527	No	
row_16	IL12B	NA	2218	0.3639500141143799	0.05070258	No	
row_17	MEP1A	NA	2779	0.3432549834251404	0.0062373634	No	
row_18	CCL22	NA	2994	0.3359123468399048	-0.0028379916	No	
row_19	SERPINE1	NA	3106	0.332665354013443	-0.0014192477	No	
row_20	KCNJ2	NA	3335	0.3259902596473694	-0.01232171	No	
row_21	SLC7A2	NA	3657	0.3181036412715912	-0.03311774	No	
row_22	VIP	NA	3689	0.3172040283679962	-0.02404857	No	
row_23	CX3CL1	NA	3805	0.31421008706092834	-0.023755852	No	
row_24	LAMP3	NA	3834	0.3133983612060547	-0.014524525	No	
row_25	BDKRB1	NA	3952	0.3104485869407654	-0.01458346	No	
row_26	CXCL11	NA	4008	0.30910199880599976	-0.0083020525	No	
row_27	TACR1	NA	4053	0.30785298347473145	-9.348037E-4	No	
row_28	CCL7	NA	4301	0.30199357867240906	-0.014724114	No	
row_29	EBI3	NA	4418	0.2987549304962158	-0.015132106	No	
row_30	PDPN	NA	4682	0.29163283109664917	-0.030971691	No	
row_31	IL10	NA	4928	0.2850533723831177	-0.045209825	No	
row_32	CXCL9	NA	5178	0.2777159810066223	-0.060144085	No	
row_33	TNFRSF9	NA	5190	0.2772802710533142	-0.050556585	No	
row_34	ACVR2A	NA	5237	0.27603936195373535	-0.044625685	No	
row_35	ABCA1	NA	5361	0.2727077305316925	-0.04676257	No	
row_36	CCL17	NA	5393	0.27178505063056946	-0.039449625	No	
row_37	MMP14	NA	5435	0.27057763934135437	-0.033214394	No	
row_38	SELE	NA	5531	0.2677866816520691	-0.03265467	No	
row_39	CALCRL	NA	5565	0.2668519616127014	-0.025738677	No	
row_40	ROS1	NA	5600	0.2660181224346161	-0.018958028	No	
row_41	IL1A	NA	5715	0.2629140615463257	-0.020545678	No	
row_42	IL6	NA	5984	0.25400134921073914	-0.038355883	No	
row_43	ICAM4	NA	6197	0.24614660441875458	-0.050696015	No	
row_44	SLC28A2	NA	6256	0.2441524863243103	-0.047235332	No	
row_45	CCL24	NA	6330	0.24069523811340332	-0.045454882	No	
row_46	AXL	NA	6553	0.23194564878940582	-0.05937516	No	
row_47	SLC11A2	NA	6659	0.22628149390220642	-0.061451357	No	
row_48	PROK2	NA	6746	0.22231680154800415	-0.06172189	No	
row_49	SCARF1	NA	6842	0.21755316853523254	-0.063104555	No	
row_50	CCL2	NA	6860	0.21684466302394867	-0.056472547	No	
row_51	SELENOS	NA	6866	0.21658754348754883	-0.04861324	No	
row_52	CD70	NA	6884	0.21553881466388702	-0.042031724	No	
row_53	RTP4	NA	6896	0.2148333191871643	-0.03485887	No	
row_54	SLC7A1	NA	6962	0.2117406129837036	-0.033373185	No	
row_55	NMUR1	NA	6996	0.21063661575317383	-0.028630877	No	
row_56	GNAI3	NA	7030	0.20880188047885895	-0.023959516	No	
row_57	CCRL2	NA	7037	0.20863622426986694	-0.016510766	No	
row_58	TNFAIP6	NA	7411	0.18932896852493286	-0.047647525	No	
row_59	CLEC5A	NA	7471	0.18536169826984406	-0.04656322	No	
row_60	IL15RA	NA	7513	0.18343499302864075	-0.043697547	No	
row_61	IL18	NA	7621	0.1776689887046814	-0.047859658	No	
row_62	NOD2	NA	7702	0.17224884033203125	-0.04944756	No	
row_63	OLR1	NA	7816	0.16517698764801025	-0.05471132	No	
row_64	GCH1	NA	7824	0.16462741792201996	-0.04906737	No	
row_65	EREG	NA	7874	0.16223236918449402	-0.047846373	No	
row_66	CCL20	NA	7998	0.15454770624637604	-0.05455217	No	
row_67	RAF1	NA	8099	0.14830097556114197	-0.059128135	No	
row_68	STAB1	NA	8199	0.13983434438705444	-0.06392838	No	
row_69	CD40	NA	8233	0.13766303658485413	-0.062007755	No	
row_70	MYC	NA	8274	0.1343548595905304	-0.060936768	No	
row_71	RNF144B	NA	8342	0.12847405672073364	-0.06287697	No	
row_72	P2RX7	NA	8437	0.12010696530342102	-0.0679245	No	
row_73	MARCO	NA	8483	0.11645115166902542	-0.068061315	No	
row_74	PTGER4	NA	8496	0.11495199054479599	-0.06485369	No	
row_75	SLC31A2	NA	8497	0.11492212116718292	-0.060409978	No	
row_76	SGMS2	NA	8598	0.10576310008764267	-0.066630766	No	
row_77	NMI	NA	8628	0.10288690775632858	-0.06564242	No	
row_78	IL18R1	NA	8658	0.09989695996046066	-0.064769685	No	
row_79	GP1BA	NA	8733	0.09232473373413086	-0.0688294	No	
row_80	GPR132	NA	8994	0.05736179277300835	-0.09341827	No	
row_81	EIF2AK2	NA	8999	0.05675476789474487	-0.09163614	No	
