NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MVB12A	NA	3221	0.32962319254875183	-0.29058453	No	
row_1	PROCR	NA	3691	0.3171584904193878	-0.3009414	No	
row_2	LAMP3	NA	3834	0.3133983612060547	-0.2782714	No	
row_3	CXCL11	NA	4008	0.30910199880599976	-0.2592848	No	
row_4	BATF2	NA	4736	0.29003003239631653	-0.29927233	No	
row_5	C1S	NA	4951	0.2843194603919983	-0.28742477	No	
row_6	IFI27	NA	6439	0.23631888628005981	-0.41158587	Yes	
row_7	RSAD2	NA	6592	0.2301616668701172	-0.39982116	Yes	
row_8	IL7	NA	6682	0.22504697740077972	-0.3822147	Yes	
row_9	RTP4	NA	6896	0.2148333191871643	-0.37851396	Yes	
row_10	CCRL2	NA	7037	0.20863622426986694	-0.3680763	Yes	
row_11	CMPK2	NA	7192	0.20093002915382385	-0.3599866	Yes	
row_12	TRIM25	NA	7339	0.19306115806102753	-0.3520122	Yes	
row_13	ISG20	NA	7387	0.1903807371854782	-0.33422187	Yes	
row_14	USP18	NA	7401	0.1897628903388977	-0.3130245	Yes	
row_15	TRIM5	NA	7646	0.1757909059524536	-0.3171321	Yes	
row_16	IFIH1	NA	7661	0.17501801252365112	-0.29778755	Yes	
row_17	DDX60	NA	7734	0.17022603750228882	-0.28494903	Yes	
row_18	SAMD9	NA	7742	0.16975001990795135	-0.26551336	Yes	
row_19	TRIM21	NA	7784	0.1671309918165207	-0.249869	Yes	
row_20	TRAFD1	NA	7928	0.1588892638683319	-0.24564426	Yes	
row_21	PARP9	NA	8155	0.1431834101676941	-0.25178033	Yes	
row_22	IFIT2	NA	8178	0.14093400537967682	-0.23730108	Yes	
row_23	EPSTI1	NA	8193	0.13994315266609192	-0.22212054	Yes	
row_24	TMEM140	NA	8297	0.13207533955574036	-0.2169845	Yes	
row_25	PSMA3	NA	8336	0.1288614124059677	-0.20557629	Yes	
row_26	IFI35	NA	8468	0.11744576692581177	-0.20504323	Yes	
row_27	IFIT3	NA	8524	0.11270909011363983	-0.19729277	Yes	
row_28	NMI	NA	8628	0.10288690775632858	-0.1956219	Yes	
row_29	TRIM14	NA	8637	0.10189265012741089	-0.18434441	Yes	
row_30	OASL	NA	8642	0.10148555040359497	-0.1727058	Yes	
row_31	NCOA7	NA	8705	0.09551262110471725	-0.16771342	Yes	
row_32	PARP14	NA	8901	0.0705585777759552	-0.17929801	Yes	
row_33	ADAR	NA	8968	0.06187396124005318	-0.17870857	Yes	
row_34	PSME2	NA	8970	0.06148761883378029	-0.1715113	Yes	
row_35	STAT2	NA	8979	0.059117306023836136	-0.16531198	Yes	
row_36	PSMB9	NA	8993	0.057549744844436646	-0.15981059	Yes	
row_37	EIF2AK2	NA	8999	0.05675476789474487	-0.15358464	Yes	
row_38	CXCL10	NA	9013	0.05526979640126228	-0.1483539	Yes	
row_39	BST2	NA	9019	0.0541478767991066	-0.14243746	Yes	
row_40	LGALS3BP	NA	9020	0.05407009273767471	-0.13601841	Yes	
row_41	UBA7	NA	9033	0.05199546739459038	-0.13107403	Yes	
row_42	IFI44	NA	9094	0.04256919398903847	-0.13216221	Yes	
row_43	UBE2L6	NA	9208	0.02199486456811428	-0.14111824	Yes	
row_44	NUB1	NA	9231	0.018391195684671402	-0.14118692	Yes	
row_45	MX1	NA	9252	0.014332160353660583	-0.14153273	Yes	
row_46	GBP4	NA	9262	0.01185588352382183	-0.14104652	Yes	
row_47	IFI44L	NA	9298	0.004851467441767454	-0.14405334	Yes	
row_48	LPAR6	NA	9636	-0.11907659471035004	-0.16441378	Yes	
row_49	SELL	NA	9703	-0.16061581671237946	-0.152102	Yes	
row_50	CASP1	NA	9712	-0.16749538481235504	-0.13303635	Yes	
row_51	TXNIP	NA	9778	-0.23537874221801758	-0.11174655	Yes	
row_52	IFITM2	NA	9785	-0.24971738457679749	-0.082715005	Yes	
row_53	IFITM1	NA	9812	-0.36058753728866577	-0.042568564	Yes	
row_54	CD74	NA	9813	-0.36719346046447754	0.0010235923	Yes	
