NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	C1R	NA	1409	0.40584200620651245	-0.120868996	No	
row_1	SOCS1	NA	2656	0.3472517430782318	-0.2284488	No	
row_2	GBP6	NA	2859	0.3404466211795807	-0.22896028	No	
row_3	PLA2G4A	NA	3346	0.3255762755870819	-0.25959387	No	
row_4	VCAM1	NA	3654	0.3181746006011963	-0.27224144	No	
row_5	CXCL11	NA	4008	0.30910199880599976	-0.29016495	No	
row_6	IFIT1	NA	4069	0.3073200285434723	-0.27803198	No	
row_7	SSPN	NA	4213	0.3039266765117645	-0.27464557	No	
row_8	CCL7	NA	4301	0.30199357867240906	-0.26560944	No	
row_9	RIPK1	NA	4553	0.29523760080337524	-0.27385867	No	
row_10	BATF2	NA	4736	0.29003003239631653	-0.27531502	No	
row_11	C1S	NA	4951	0.2843194603919983	-0.2804058	No	
row_12	CXCL9	NA	5178	0.2777159810066223	-0.28712532	No	
row_13	CASP3	NA	5562	0.2668757438659668	-0.31065294	No	
row_14	IL6	NA	5984	0.25400134921073914	-0.33885947	No	
row_15	NOD1	NA	6206	0.24571572244167328	-0.3469708	Yes	
row_16	SPPL2A	NA	6305	0.24175579845905304	-0.34265593	Yes	
row_17	PML	NA	6340	0.24025452136993408	-0.33184206	Yes	
row_18	IFI27	NA	6439	0.23631888628005981	-0.32785112	Yes	
row_19	IDO1	NA	6483	0.23463740944862366	-0.3182984	Yes	
row_20	RSAD2	NA	6592	0.2301616668701172	-0.31570372	Yes	
row_21	IL7	NA	6682	0.22504697740077972	-0.31145784	Yes	
row_22	BPGM	NA	6850	0.21725229918956757	-0.31570598	Yes	
row_23	CCL2	NA	6860	0.21684466302394867	-0.30371323	Yes	
row_24	RTP4	NA	6896	0.2148333191871643	-0.2945169	Yes	
row_25	CMPK2	NA	7192	0.20093002915382385	-0.31291434	Yes	
row_26	TRIM25	NA	7339	0.19306115806102753	-0.31644192	Yes	
row_27	ISG20	NA	7387	0.1903807371854782	-0.30993775	Yes	
row_28	USP18	NA	7401	0.1897628903388977	-0.29997027	Yes	
row_29	TNFAIP6	NA	7411	0.18932896852493286	-0.28961685	Yes	
row_30	IL15RA	NA	7513	0.18343499302864075	-0.28908548	Yes	
row_31	IFIH1	NA	7661	0.17501801252365112	-0.293791	Yes	
row_32	XCL1	NA	7668	0.17459779977798462	-0.28400642	Yes	
row_33	MT2A	NA	7680	0.17357724905014038	-0.27479735	Yes	
row_34	DDX60	NA	7734	0.17022603750228882	-0.2701116	Yes	
row_35	TRIM21	NA	7784	0.1671309918165207	-0.2651985	Yes	
row_36	CFH	NA	7792	0.16661827266216278	-0.25599226	Yes	
row_37	PTGS2	NA	7817	0.165174201130867	-0.2486221	Yes	
row_38	GCH1	NA	7824	0.16462741792201996	-0.23943155	Yes	
row_39	TRAFD1	NA	7928	0.1588892638683319	-0.24056844	Yes	
row_40	IFIT2	NA	8178	0.14093400537967682	-0.25780493	Yes	
row_41	EPSTI1	NA	8193	0.13994315266609192	-0.25090858	Yes	
row_42	CD40	NA	8233	0.13766303658485413	-0.24672167	Yes	
row_43	PTPN2	NA	8253	0.13623464107513428	-0.24056098	Yes	
row_44	RBCK1	NA	8309	0.13083794713020325	-0.23842779	Yes	
row_45	NCOA3	NA	8323	0.12962926924228668	-0.23204297	Yes	
row_46	PSMA3	NA	8336	0.1288614124059677	-0.22560096	Yes	
row_47	OAS3	NA	8406	0.12255090475082397	-0.22540273	Yes	
row_48	IFI35	NA	8468	0.11744576692581177	-0.2246851	Yes	
row_49	IFIT3	NA	8524	0.11270909011363983	-0.22363201	Yes	
row_50	NMI	NA	8628	0.10288690775632858	-0.22810543	Yes	
row_51	TRIM14	NA	8637	0.10189265012741089	-0.2228584	Yes	
row_52	OASL	NA	8642	0.10148555040359497	-0.21722382	Yes	
row_53	PSMA2	NA	8847	0.07734319567680359	-0.23361647	Yes	
row_54	ST8SIA4	NA	8874	0.0737835243344307	-0.23189712	Yes	
row_55	PFKP	NA	8898	0.07114461064338684	-0.23002616	Yes	
row_56	PARP14	NA	8901	0.0705585777759552	-0.22602828	Yes	
row_57	FCGR1A	NA	8908	0.07004404067993164	-0.22247285	Yes	
row_58	ST3GAL5	NA	8962	0.06243431195616722	-0.22420914	Yes	
row_59	ADAR	NA	8968	0.06187396124005318	-0.22103752	Yes	
row_60	PSME2	NA	8970	0.06148761883378029	-0.21747714	Yes	
row_61	STAT2	NA	8979	0.059117306023836136	-0.21477857	Yes	
row_62	PSMB9	NA	8993	0.057549744844436646	-0.21268813	Yes	
row_63	EIF2AK2	NA	8999	0.05675476789474487	-0.2098215	Yes	
row_64	HIF1A	NA	9004	0.05634615570306778	-0.20687626	Yes	
row_65	CXCL10	NA	9013	0.05526979640126228	-0.20440695	Yes	
row_66	BST2	NA	9019	0.0541478767991066	-0.20169562	Yes	
row_67	LGALS3BP	NA	9020	0.05407009273767471	-0.19847421	Yes	
row_68	ARID5B	NA	9044	0.050542429089546204	-0.19783069	Yes	
row_69	IRF5	NA	9062	0.048255134373903275	-0.19670579	Yes	
row_70	IFI44	NA	9094	0.04256919398903847	-0.19736086	Yes	
row_71	PNP	NA	9112	0.039446670562028885	-0.19676074	Yes	
row_72	MYD88	NA	9167	0.030196912586688995	-0.20052065	Yes	
row_73	MX2	NA	9169	0.029388003051280975	-0.1988727	Yes	
row_74	NAMPT	NA	9186	0.02736780419945717	-0.19888929	Yes	
row_75	UBE2L6	NA	9208	0.02199486456811428	-0.1997407	Yes	
row_76	CMKLR1	NA	9213	0.02134021185338497	-0.19888106	Yes	
row_77	MX1	NA	9252	0.014332160353660583	-0.20193905	Yes	
row_78	XAF1	NA	9257	0.013370475731790066	-0.20155424	Yes	
row_79	GBP4	NA	9262	0.01185588352382183	-0.20125966	Yes	
row_80	APOL6	NA	9272	0.009811187162995338	-0.20160162	Yes	
row_81	IFI44L	NA	9298	0.004851467441767454	-0.20388618	Yes	
row_82	GPR18	NA	9381	-0.01706146076321602	-0.21131112	Yes	
row_83	OAS2	NA	9409	-0.026450613513588905	-0.21251473	Yes	
row_84	LCP2	NA	9440	-0.03655450791120529	-0.21342519	Yes	
row_85	TNFSF10	NA	9447	-0.04049542173743248	-0.21163021	Yes	
row_86	IL10RA	NA	9466	-0.047313202172517776	-0.21066436	Yes	
row_87	TAPBP	NA	9504	-0.059888388961553574	-0.21090525	Yes	
row_88	BANK1	NA	9520	-0.0656290277838707	-0.20853934	Yes	
row_89	VAMP8	NA	9531	-0.06958040595054626	-0.2054233	Yes	
row_90	SLAMF7	NA	9582	-0.0940239429473877	-0.20496872	Yes	
row_91	PDE4B	NA	9609	-0.1038123071193695	-0.2014603	Yes	
row_92	CASP4	NA	9625	-0.11244639754295349	-0.1963051	Yes	
row_93	NUP93	NA	9632	-0.11639120429754257	-0.18998837	Yes	
row_94	CD86	NA	9637	-0.11914734542369843	-0.18330155	Yes	
row_95	CIITA	NA	9638	-0.11963743716478348	-0.17617375	Yes	
row_96	MVP	NA	9655	-0.12896299362182617	-0.17013745	Yes	
row_97	ITGB7	NA	9668	-0.13825003802776337	-0.16313608	Yes	
row_98	MARCHF1	NA	9677	-0.14596086740493774	-0.15526353	Yes	
row_99	CASP1	NA	9712	-0.16749538481235504	-0.14878453	Yes	
row_100	IL2RB	NA	9766	-0.2115234136581421	-0.14163835	Yes	
row_101	FPR1	NA	9769	-0.21649393439292908	-0.1289459	Yes	
row_102	CD69	NA	9770	-0.2185867726802826	-0.11592286	Yes	
row_103	TXNIP	NA	9778	-0.23537874221801758	-0.10262	Yes	
row_104	IFITM2	NA	9785	-0.24971738457679749	-0.088359915	Yes	
row_105	GZMA	NA	9788	-0.25285083055496216	-0.07350137	Yes	
row_106	FGL2	NA	9790	-0.25758153200149536	-0.058258038	Yes	
row_107	KLRK1	NA	9797	-0.28588202595710754	-0.04184333	Yes	
row_108	CD74	NA	9813	-0.36719346046447754	-0.021510713	Yes	
row_109	CCL5	NA	9815	-0.37660160660743713	8.2363887E-4	Yes	
