NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAD2L1	NA	1099	0.42486807703971863	-0.08762199	No	
row_1	CDC20	NA	1397	0.4062671661376953	-0.09389547	No	
row_2	PRDX4	NA	2796	0.34265926480293274	-0.21716951	No	
row_3	TYMS	NA	2946	0.3374274671077728	-0.21233732	No	
row_4	RRP9	NA	3233	0.32935068011283875	-0.22207345	No	
row_5	EIF1AX	NA	3242	0.32907792925834656	-0.20324269	No	
row_6	CSTF2	NA	4497	0.2966095805168152	-0.31446123	No	
row_7	TOMM70	NA	4518	0.29628342390060425	-0.29882285	No	
row_8	SRPK1	NA	4523	0.2961454689502716	-0.2815476	No	
row_9	POLD2	NA	4754	0.2896004617214203	-0.28789997	No	
row_10	LSM2	NA	5304	0.2743796110153198	-0.32796	Yes	
row_11	HPRT1	NA	5388	0.2718181014060974	-0.32026023	Yes	
row_12	ORC2	NA	5608	0.2657640278339386	-0.32690516	Yes	
row_13	HDDC2	NA	5668	0.2642451524734497	-0.31719005	Yes	
row_14	MCM6	NA	5843	0.2586170434951782	-0.31963503	Yes	
row_15	RANBP1	NA	6014	0.25303539633750916	-0.32200208	Yes	
row_16	SMARCC1	NA	6101	0.24973683059215546	-0.3159295	Yes	
row_17	MCM4	NA	6292	0.2422405481338501	-0.3209976	Yes	
row_18	RRM1	NA	6304	0.2417738139629364	-0.3076893	Yes	
row_19	NCBP1	NA	6310	0.24143002927303314	-0.29378462	Yes	
row_20	SNRPD3	NA	6552	0.23196938633918762	-0.30470982	Yes	
row_21	PCNA	NA	6654	0.22654104232788086	-0.30156478	Yes	
row_22	USP1	NA	6660	0.22627604007720947	-0.28856516	Yes	
row_23	NDUFAB1	NA	6739	0.22257056832313538	-0.28329247	Yes	
row_24	COX5A	NA	6771	0.2210046350955963	-0.2732809	Yes	
row_25	MCM5	NA	6799	0.21967098116874695	-0.2629377	Yes	
row_26	PSMD3	NA	7008	0.20979131758213043	-0.27179444	Yes	
row_27	PWP1	NA	7047	0.2081349939107895	-0.26327118	Yes	
row_28	PSMD14	NA	7100	0.20543429255485535	-0.25634867	Yes	
row_29	PSMC6	NA	7118	0.20473353564739227	-0.24586941	Yes	
row_30	GNL3	NA	7148	0.20291969180107117	-0.23673227	Yes	
row_31	GOT2	NA	7149	0.20281919836997986	-0.22461943	Yes	
row_32	SNRPB2	NA	7179	0.2013392299413681	-0.2155767	Yes	
row_33	SNRPA	NA	7330	0.1937112957239151	-0.21943039	Yes	
row_34	NOLC1	NA	7352	0.19232746958732605	-0.2101033	Yes	
row_35	SF3A1	NA	7400	0.18983674049377441	-0.20359822	Yes	
row_36	PSMC4	NA	7540	0.18202106654644012	-0.20701909	Yes	
row_37	PHB2	NA	7571	0.18041828274726868	-0.1993286	Yes	
