NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACTN2	NA	140	0.5412748456001282	0.004529801	Yes	
row_1	EPHB3	NA	209	0.5269799828529358	0.015964825	Yes	
row_2	COL1A1	NA	320	0.5083000659942627	0.022426948	Yes	
row_3	HSPB2	NA	442	0.4880918264389038	0.027051043	Yes	
row_4	KCNH1	NA	499	0.48009833693504333	0.03808078	Yes	
row_5	KCNH2	NA	573	0.46991628408432007	0.047006015	Yes	
row_6	ITGA7	NA	587	0.46819838881492615	0.06204211	Yes	
row_7	MAPRE3	NA	836	0.44490107893943787	0.05209399	Yes	
row_8	PTGIS	NA	938	0.43638715147972107	0.056966923	Yes	
row_9	MYL6B	NA	1122	0.42366379499435425	0.052961305	Yes	
row_10	LARGE1	NA	1141	0.4222566485404968	0.06587654	Yes	
row_11	SCHIP1	NA	1188	0.41909390687942505	0.07580142	Yes	
row_12	TNNT2	NA	1384	0.4070814549922943	0.06998172	Yes	
row_13	COX6A2	NA	1454	0.402614563703537	0.07696477	Yes	
row_14	REEP1	NA	1518	0.3990389108657837	0.08443988	Yes	
row_15	FST	NA	1591	0.39541947841644287	0.09086277	Yes	
row_16	SORBS1	NA	1695	0.39007648825645447	0.0939105	Yes	
row_17	TNNI1	NA	1785	0.38588082790374756	0.098251395	Yes	
row_18	SCD	NA	1883	0.38101786375045776	0.10159943	Yes	
row_19	CHRNG	NA	1890	0.38067156076431274	0.11429461	Yes	
row_20	COL4A2	NA	2079	0.3711203336715698	0.10793728	Yes	
row_21	COX7A1	NA	2135	0.36832574009895325	0.11516112	Yes	
row_22	ANKRD2	NA	2173	0.3665716052055359	0.1241749	Yes	
row_23	OCEL1	NA	2217	0.36399516463279724	0.13248149	Yes	
row_24	PGAM2	NA	2224	0.3636755049228668	0.1445823	Yes	
row_25	MYL3	NA	2242	0.36290526390075684	0.15552485	Yes	
row_26	DES	NA	2261	0.36208170652389526	0.16633575	Yes	
row_27	PPP1R3C	NA	2441	0.3558235466480255	0.16036911	Yes	
row_28	FOXO4	NA	2469	0.3545052409172058	0.16998942	Yes	
row_29	HRC	NA	2484	0.35397425293922424	0.18092819	Yes	
row_30	SPDEF	NA	2621	0.34829553961753845	0.17912081	Yes	
row_31	TNNC1	NA	2630	0.34793174266815186	0.19046536	Yes	
row_32	HSPB8	NA	2663	0.34715092182159424	0.19931424	Yes	
row_33	CRYAB	NA	2677	0.346589595079422	0.21009761	Yes	
row_34	CNN3	NA	2717	0.34524109959602356	0.21815975	Yes	
row_35	GNAO1	NA	2733	0.3447846472263336	0.22867431	Yes	
row_36	CASQ2	NA	2748	0.3443475663661957	0.23927642	Yes	
row_37	MYH7	NA	2759	0.34394434094429016	0.25027585	Yes	
row_38	BDKRB2	NA	2886	0.33940285444259644	0.24918596	Yes	
row_39	CHRNA1	NA	2895	0.33904626965522766	0.26021978	Yes	
row_40	IGF1	NA	2908	0.33868420124053955	0.27082956	Yes	
row_41	ACTC1	NA	3036	0.33479681611061096	0.26947576	Yes	
row_42	SOD3	NA	3144	0.33158183097839355	0.2700665	Yes	
row_43	MYOG	NA	3203	0.3301485478878021	0.27564672	Yes	
row_44	MYO1C	NA	3436	0.3232352137565613	0.26308948	Yes	
row_45	SLN	NA	3569	0.3199608623981476	0.2607026	Yes	
row_46	CASQ1	NA	3668	0.31775128841400146	0.26173532	Yes	
row_47	CDH13	NA	3833	0.31343644857406616	0.25582913	Yes	
row_48	WWTR1	NA	3912	0.3114287555217743	0.25869772	Yes	
row_49	FKBP1B	NA	3930	0.31106993556022644	0.26782757	Yes	
row_50	LDB3	NA	3982	0.309714674949646	0.27341315	Yes	
row_51	MYH2	NA	4039	0.30826088786125183	0.27843365	Yes	
