NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DLL1	NA	336	0.5059661865234375	0.11729455	Yes	
row_1	HES1	NA	401	0.4944950044155121	0.25887185	Yes	
row_2	CCND1	NA	429	0.4902730882167816	0.4029552	Yes	
row_3	JAG1	NA	533	0.4756298065185547	0.5349082	Yes	
row_4	HEYL	NA	1992	0.37563082575798035	0.49882966	No	
row_5	KAT2A	NA	4125	0.30592259764671326	0.37318942	No	
row_6	PSENEN	NA	5476	0.2695128917694092	0.31633484	No	
row_7	TCF7L2	NA	5632	0.2651340961456299	0.37994605	No	
row_8	APH1A	NA	8551	0.11014224588871002	0.11557258	No	
row_9	CUL1	NA	9165	0.030420303344726562	0.062215183	No	
row_10	MAML2	NA	9242	0.01581595279276371	0.059207167	No	
