NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAOB	NA	128	0.5450332760810852	0.015846612	No	
row_1	ECI1	NA	2319	0.36011841893196106	-0.1902908	No	
row_2	ATP1B1	NA	2447	0.35555264353752136	-0.18442848	No	
row_3	HCCS	NA	2698	0.3457394242286682	-0.1917429	No	
row_4	TIMM50	NA	3433	0.32327038049697876	-0.2500477	No	
row_5	SUCLA2	NA	3618	0.31893739104270935	-0.25199884	No	
row_6	NDUFA7	NA	4248	0.30312487483024597	-0.30057365	No	
row_7	MRPS12	NA	4392	0.2995082437992096	-0.299341	No	
row_8	TOMM70	NA	4518	0.29628342390060425	-0.29642814	No	
row_9	SUPV3L1	NA	4610	0.2937867045402527	-0.29015028	No	
row_10	GRPEL1	NA	4634	0.2932286560535431	-0.27690625	No	
row_11	ACADSB	NA	4964	0.2840985655784607	-0.29562974	No	
row_12	MRPL35	NA	5441	0.2704358994960785	-0.33020404	Yes	
row_13	TIMM17A	NA	5534	0.26772624254226685	-0.32541642	Yes	
row_14	TOMM22	NA	5553	0.2670782804489136	-0.31305012	Yes	
row_15	MRPS15	NA	5585	0.2663540542125702	-0.30205983	Yes	
row_16	RETSAT	NA	5762	0.26112666726112366	-0.3062655	Yes	
row_17	SLC25A12	NA	5797	0.2600228190422058	-0.2959209	Yes	
row_18	FXN	NA	5866	0.2575577199459076	-0.28920546	Yes	
row_19	NQO2	NA	5875	0.2573009431362152	-0.27633086	Yes	
row_20	NDUFC1	NA	5946	0.2549487352371216	-0.26996008	Yes	
row_21	NDUFB6	NA	6031	0.2526099979877472	-0.26515415	Yes	
row_22	FH	NA	6113	0.24938325583934784	-0.26021132	Yes	
row_23	MGST3	NA	6165	0.24741414189338684	-0.25228694	Yes	
row_24	COX7B	NA	6245	0.24456603825092316	-0.24739482	Yes	
row_25	MPC1	NA	6380	0.23863905668258667	-0.24847665	Yes	
row_26	NDUFS8	NA	6389	0.23822978138923645	-0.23661733	Yes	
row_27	COX11	NA	6399	0.2377108484506607	-0.2248885	Yes	
row_28	SURF1	NA	6437	0.23646768927574158	-0.21610652	Yes	
row_29	SLC25A20	NA	6486	0.23441949486732483	-0.20856525	Yes	
row_30	BDH2	NA	6519	0.23321598768234253	-0.19944197	Yes	
row_31	NDUFB5	NA	6613	0.2292064130306244	-0.19680786	Yes	
row_32	AIFM1	NA	6690	0.22470693290233612	-0.19266431	Yes	
row_33	NDUFAB1	NA	6739	0.22257056832313538	-0.18575384	Yes	
row_34	COX5A	NA	6771	0.2210046350955963	-0.17717776	Yes	
row_35	NDUFA8	NA	6857	0.2169303447008133	-0.17437413	Yes	
row_36	MTRR	NA	6868	0.21642780303955078	-0.16388121	Yes	
row_37	MTX2	NA	6926	0.21325747668743134	-0.15839246	Yes	
row_38	ABCB7	NA	6946	0.21226684749126434	-0.14904697	Yes	
row_39	BAX	NA	6987	0.21093709766864777	-0.14193277	Yes	
row_40	HSD17B10	NA	7035	0.20866061747074127	-0.13565993	Yes	
row_41	NDUFB4	NA	7130	0.20414572954177856	-0.13446283	Yes	
row_42	GOT2	NA	7149	0.20281919836997986	-0.12551743	Yes	
row_43	NDUFA2	NA	7164	0.20222170650959015	-0.116192296	Yes	
row_44	NDUFS3	NA	7200	0.20031124353408813	-0.10912937	Yes	
row_45	PDK4	NA	7226	0.1981240063905716	-0.10115408	Yes	
