NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ABCC8	NA	829	0.44536522030830383	-0.022650084	Yes	
row_1	DCX	NA	1521	0.39889976382255554	-0.037681524	Yes	
row_2	NEUROD1	NA	1549	0.3977567255496979	0.014876275	Yes	
row_3	CHGA	NA	1556	0.39729198813438416	0.069512084	Yes	
row_4	NEUROG3	NA	1672	0.39128467440605164	0.11219119	Yes	
row_5	NKX2-2	NA	1777	0.3863729238510132	0.1553096	Yes	
row_6	SYT13	NA	1893	0.3805704414844513	0.19649878	Yes	
row_7	VDR	NA	2164	0.36699551343917847	0.21998549	Yes	
row_8	NKX6-1	NA	2214	0.36415883898735046	0.26562643	Yes	
row_9	SCGN	NA	2333	0.3595474064350128	0.30358604	Yes	
row_10	SLC2A2	NA	2519	0.35249727964401245	0.33372918	Yes	
row_11	SST	NA	3623	0.31877484917640686	0.26551893	Yes	
row_12	INS	NA	3646	0.31829023361206055	0.30753615	Yes	
row_13	GCK	NA	3844	0.31318286061286926	0.3309878	Yes	
row_14	G6PC2	NA	4289	0.3023100197315216	0.32772598	Yes	
row_15	HNF1A	NA	4675	0.2918068468570709	0.32902336	Yes	
row_16	PCSK1	NA	5066	0.28132814168930054	0.32835338	Yes	
row_17	GCG	NA	5147	0.2791433036327362	0.35900903	Yes	
row_18	PAX4	NA	5389	0.2718143165111542	0.37221858	Yes	
row_19	PKLR	NA	5508	0.268616646528244	0.3975332	Yes	
row_20	IAPP	NA	5872	0.2573523223400116	0.39628395	No	
row_21	SRP9	NA	9124	0.038036320358514786	0.06987248	No	
row_22	AKT3	NA	9274	0.009669985622167587	0.05601468	No	
