NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FGF22	NA	47	0.5823846459388733	0.060691986	No	
row_1	EGFR	NA	855	0.44349098205566406	0.028069846	No	
row_2	CDK1	NA	1400	0.40618064999580383	0.018137794	No	
row_3	PIK3R3	NA	1495	0.4001101851463318	0.0535259	No	
row_4	GNA14	NA	2188	0.3656168580055237	0.02390209	No	
row_5	FGF6	NA	2676	0.3466005027294159	0.013096504	No	
row_6	NGF	NA	2730	0.3448893427848816	0.04646568	No	
row_7	NFKBIB	NA	3702	0.31690701842308044	-0.017157957	No	
row_8	PITX2	NA	3754	0.3155098557472229	0.013111571	No	
row_9	RIPK1	NA	4553	0.29523760080337524	-0.035263527	No	
row_10	PDK1	NA	5119	0.2797965109348297	-0.06155592	No	
row_11	GNGT1	NA	5566	0.2667979300022125	-0.07714497	Yes	
row_12	TSC2	NA	5790	0.26031577587127686	-0.07066605	Yes	
row_13	DUSP3	NA	5944	0.2550451457500458	-0.05762388	Yes	
row_14	TRIB3	NA	6065	0.2512752115726471	-0.041632146	Yes	
row_15	ECSIT	NA	6134	0.24858416616916656	-0.020627169	Yes	
row_16	PLCG1	NA	6148	0.24825145304203033	0.0059629614	Yes	
row_17	PRKAR2A	NA	6200	0.2459382861852646	0.028408263	Yes	
row_18	NOD1	NA	6206	0.24571572244167328	0.055531047	Yes	
row_19	PPP2R1B	NA	7129	0.2041534036397934	-0.015764	Yes	
row_20	ITPR2	NA	7147	0.20292891561985016	0.0053201085	Yes	
row_21	PTPN11	NA	7329	0.1938176155090332	0.0086140465	Yes	
row_22	IL4	NA	7442	0.18728569149971008	0.018227156	Yes	
row_23	MAPKAP1	NA	7464	0.1857164055109024	0.03696658	Yes	
row_24	SLC2A1	NA	7733	0.17038819193840027	0.028731689	Yes	
row_25	RAF1	NA	8099	0.14830097556114197	0.00809663	Yes	
row_26	GRK2	NA	8160	0.14262622594833374	0.018003087	Yes	
row_27	UBE2N	NA	8255	0.13617022335529327	0.023707712	Yes	
row_28	NCK1	NA	8383	0.12464911490678787	0.024743097	Yes	
row_29	MAPK1	NA	8430	0.12080610543489456	0.0336268	Yes	
row_30	RIT1	NA	8487	0.1156984195113182	0.04091379	Yes	
row_31	MAP2K6	NA	8635	0.1021103709936142	0.03736983	Yes	
row_32	RALB	NA	8725	0.09305278956890106	0.03873648	Yes	
row_33	CLTC	NA	8805	0.08340007066726685	0.040039845	Yes	
row_34	STAT2	NA	8979	0.059117306023836136	0.02900281	Yes	
row_35	CAMK4	NA	8998	0.057027269154787064	0.033576153	Yes	
row_36	MYD88	NA	9167	0.030196912586688995	0.019797787	Yes	
row_37	FASLG	NA	9267	0.010682415217161179	0.010878535	Yes	
row_38	TNFRSF1A	NA	9312	0.0014563967706635594	0.006544268	Yes	
row_39	AP2M1	NA	9480	-0.050820305943489075	-0.0048125004	Yes	
row_40	ARPC3	NA	9693	-0.15458032488822937	-0.009100393	Yes	
row_41	SLA	NA	9755	-0.1981794238090515	0.006951517	Yes	
