NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OCRL	NA	675	0.45831990242004395	-0.029585024	No	
row_1	EGFR	NA	855	0.44349098205566406	-0.009640769	No	
row_2	CAV2	NA	1043	0.42887356877326965	0.008222252	No	
row_3	SH3GL2	NA	1357	0.40860939025878906	0.011428948	No	
row_4	ATP7A	NA	2306	0.3605458438396454	-0.05456119	No	
row_5	RAB22A	NA	3459	0.32236531376838684	-0.14474429	No	
row_6	ICA1	NA	3797	0.3144018054008484	-0.1521278	No	
row_7	ATP6V1B1	NA	3853	0.3128316402435303	-0.1307593	No	
row_8	ZW10	NA	3967	0.3100626468658447	-0.11557123	No	
row_9	SSPN	NA	4213	0.3039266765117645	-0.114434615	No	
row_10	RAB9A	NA	4916	0.2854328155517578	-0.1617085	No	
row_11	ARFGEF2	NA	5037	0.2820010781288147	-0.14965966	No	
row_12	ABCA1	NA	5361	0.2727077305316925	-0.15920793	No	
row_13	YIPF6	NA	5768	0.2609485387802124	-0.17827356	Yes	
row_14	VAMP4	NA	5769	0.2608574330806732	-0.15575722	Yes	
row_15	GLA	NA	5958	0.2546496093273163	-0.15303506	Yes	
row_16	YKT6	NA	6370	0.23893143236637115	-0.17451333	Yes	
row_17	COG2	NA	6385	0.2385089248418808	-0.15536018	Yes	
row_18	STAM	NA	6403	0.23760101199150085	-0.13659269	Yes	
row_19	TSPAN8	NA	6452	0.23589320480823517	-0.1211482	Yes	
row_20	STX7	NA	6521	0.23311686515808105	-0.10799212	Yes	
row_21	CLN5	NA	6524	0.23306217789649963	-0.08807985	Yes	
row_22	GBF1	NA	6727	0.22325751185417175	-0.089501485	Yes	
row_23	BET1	NA	7001	0.21013763546943665	-0.09932869	Yes	
row_24	STX12	NA	7021	0.2091732621192932	-0.08321987	Yes	
row_25	CLCN3	NA	7156	0.2026192992925644	-0.07945715	Yes	
row_26	DNM1L	NA	7175	0.20162874460220337	-0.06389711	Yes	
row_27	RAB2A	NA	7228	0.19803917407989502	-0.05212981	Yes	
row_28	ARFGEF1	NA	7444	0.18720930814743042	-0.0579947	Yes	
row_29	USO1	NA	7569	0.18055078387260437	-0.055112477	Yes	
row_30	DOP1A	NA	7574	0.1801704317331314	-0.039970517	Yes	
row_31	RAB5A	NA	7779	0.16736528277397156	-0.046421465	Yes	
row_32	SCAMP3	NA	8000	0.15430569648742676	-0.055638675	Yes	
row_33	COPB2	NA	8053	0.15122953057289124	-0.047911827	Yes	
row_34	ATP6V1H	NA	8071	0.1499040722846985	-0.036714055	Yes	
row_35	TMX1	NA	8134	0.14469866454601288	-0.030575305	Yes	
row_36	COPB1	NA	8188	0.14026516675949097	-0.0238973	Yes	
row_37	SEC24D	NA	8272	0.13440187275409698	-0.020798534	Yes	
row_38	ADAM10	NA	8329	0.12932421267032623	-0.01537223	Yes	
row_39	TPD52	NA	8402	0.12312085181474686	-0.0121203875	Yes	
row_40	VAMP3	NA	8426	0.12130693346261978	-0.0040056524	Yes	
row_41	MAPK1	NA	8430	0.12080610543489456	0.006114613	Yes	
row_42	SCRN1	NA	8452	0.11883535981178284	0.014220886	Yes	
row_43	RAB14	NA	8469	0.1174241453409195	0.022717537	Yes	
row_44	ANP32E	NA	8519	0.11315955221652985	0.027465628	Yes	
row_45	AP1G1	NA	8677	0.09823265671730042	0.019861974	Yes	
row_46	GOSR2	NA	8689	0.09675532579421997	0.027086752	Yes	
row_47	AP2B1	NA	8740	0.09146300703287125	0.029859632	Yes	
row_48	PAM	NA	8751	0.09020012617111206	0.036621027	Yes	
row_49	COPE	NA	8792	0.08462493121623993	0.039828047	Yes	
row_50	SEC31A	NA	8798	0.0838625431060791	0.04655459	Yes	
row_51	CLTC	NA	8805	0.08340007066726685	0.053138778	Yes	
row_52	SNAP23	NA	8839	0.07828734070062637	0.056515824	Yes	
row_53	SOD1	NA	8913	0.06953022629022598	0.055039465	Yes	
row_54	TMED10	NA	8944	0.06525368988513947	0.057598807	Yes	
row_55	LAMP2	NA	8996	0.05725472420454025	0.057316504	Yes	
row_56	DST	NA	9130	0.03684404119849205	0.0468725	Yes	
row_57	SNX2	NA	9306	0.0025439795572310686	0.029165434	Yes	
row_58	CTSC	NA	9438	-0.03588579222559929	0.018843595	Yes	
row_59	AP2M1	NA	9480	-0.050820305943489075	0.019030275	Yes	
row_60	PPT1	NA	9547	-0.07751139998435974	0.01895989	Yes	
row_61	M6PR	NA	9615	-0.10670705884695053	0.021307139	Yes	
