NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PRDX4	NA	2796	0.34265926480293274	-0.19452198	No	
row_1	GCLC	NA	4635	0.2932266592979431	-0.30437976	No	
row_2	GPX3	NA	5446	0.27038413286209106	-0.31538272	No	
row_3	NQO1	NA	5590	0.26623475551605225	-0.2594172	No	
row_4	SELENOS	NA	6866	0.21658754348754883	-0.33213142	Yes	
row_5	GSR	NA	6873	0.21614812314510345	-0.27545908	Yes	
row_6	NDUFB4	NA	7130	0.20414572954177856	-0.24748048	Yes	
row_7	TXNRD1	NA	7481	0.18483376502990723	-0.23421286	Yes	
row_8	MSRA	NA	7749	0.1695052981376648	-0.21653742	Yes	
row_9	CDKN2D	NA	7885	0.16145439445972443	-0.18752488	Yes	
row_10	MPO	NA	8128	0.14511537551879883	-0.17376208	Yes	
row_11	PDLIM1	NA	8133	0.14472880959510803	-0.13581355	Yes	
row_12	ATOX1	NA	8620	0.10356013476848602	-0.15796442	Yes	
row_13	PFKP	NA	8898	0.07114461064338684	-0.16737752	Yes	
row_14	SOD1	NA	8913	0.06953022629022598	-0.150379	Yes	
row_15	CAT	NA	9058	0.04839048162102699	-0.1522497	Yes	
row_16	PRDX6	NA	9091	0.042998604476451874	-0.14411962	Yes	
row_17	PRNP	NA	9197	0.025142254307866096	-0.14817168	Yes	
row_18	PRDX2	NA	9317	-1.3816905266139656E-4	-0.16027915	Yes	
row_19	GLRX	NA	9362	-0.012710941955447197	-0.16140069	Yes	
row_20	MGST1	NA	9365	-0.013754433952271938	-0.15795954	Yes	
row_21	IPCEF1	NA	9471	-0.048497866839170456	-0.15582177	Yes	
row_22	PRDX1	NA	9541	-0.07466041296720505	-0.14307643	Yes	
row_23	FTL	NA	9777	-0.23425255715847015	-0.1049757	Yes	
row_24	LSP1	NA	9819	-0.41342541575431824	4.082455E-4	Yes	
