NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PACRG	NA	306	0.5106830596923828	-0.012758624	Yes	
row_1	DDX25	NA	441	0.4882970154285431	-0.0086726565	Yes	
row_2	NCAPH	NA	507	0.4794405698776245	0.0021752655	Yes	
row_3	ELOVL3	NA	544	0.4741238057613373	0.015806891	Yes	
row_4	ZPBP	NA	564	0.4710466265678406	0.03107179	Yes	
row_5	HSPA4L	NA	575	0.4698939621448517	0.047218774	Yes	
row_6	AURKA	NA	594	0.46720412373542786	0.062445927	Yes	
row_7	PCSK1N	NA	666	0.4593081772327423	0.0719419	Yes	
row_8	KIF2C	NA	741	0.4526839554309845	0.08088769	Yes	
row_9	IL13RA2	NA	784	0.4486614167690277	0.09297257	Yes	
row_10	ZC2HC1C	NA	786	0.4485873579978943	0.109265044	Yes	
row_11	CDKN3	NA	787	0.4485771358013153	0.12565984	Yes	
row_12	GAD1	NA	848	0.44405242800712585	0.13572784	Yes	
row_13	NEK2	NA	917	0.43792641162872314	0.1447504	Yes	
row_14	EZH2	NA	1137	0.42251116037368774	0.13770331	Yes	
row_15	SHE	NA	1329	0.40998178720474243	0.13307361	Yes	
row_16	CDK1	NA	1400	0.40618064999580383	0.14073054	Yes	
row_17	AKAP4	NA	1420	0.405046284198761	0.15358324	Yes	
row_18	TEKT2	NA	1421	0.40503445267677307	0.16838662	Yes	
row_19	TULP2	NA	1492	0.4001753032207489	0.17582406	Yes	
row_20	CCNB2	NA	1511	0.39949604868888855	0.1885766	Yes	
row_21	NPY5R	NA	1573	0.3963426351547241	0.19679818	Yes	
row_22	SCG3	NA	1600	0.39525148272514343	0.20857404	Yes	
row_23	CST8	NA	1636	0.3932334780693054	0.21935195	Yes	
row_24	TCP11	NA	1651	0.3923179805278778	0.2322529	Yes	
row_25	LDHC	NA	1886	0.38085344433784485	0.22214292	Yes	
row_26	SNAP91	NA	2097	0.3698289692401886	0.21409458	Yes	
row_27	CLPB	NA	2128	0.3685392439365387	0.2244834	Yes	
row_28	RPL39L	NA	2134	0.3684411644935608	0.23743589	Yes	
row_29	MTNR1A	NA	2216	0.3640449047088623	0.24242324	Yes	
row_30	MLF1	NA	2241	0.3629480004310608	0.25322387	Yes	
row_31	NPHP1	NA	2264	0.36193710565567017	0.2641929	Yes	
row_32	CLVS1	NA	2288	0.360932856798172	0.27502254	Yes	
row_33	TNNI3	NA	2312	0.36033424735069275	0.28583032	Yes	
row_34	TUBA3C	NA	2389	0.357376366853714	0.2910874	Yes	
row_35	NEFH	NA	2400	0.357047975063324	0.30311003	Yes	
row_36	CFTR	NA	2581	0.3499899208545685	0.29741734	Yes	
row_37	CRISP2	NA	2747	0.34437838196754456	0.2930599	Yes	
row_38	ADAD1	NA	2792	0.34275662899017334	0.30106872	Yes	
row_39	HBZ	NA	2798	0.342615008354187	0.31307733	Yes	
row_40	TNP1	NA	2819	0.3417060375213623	0.32351232	Yes	
row_41	GSG1	NA	2874	0.33983710408210754	0.33038756	Yes	
row_42	TNP2	NA	3057	0.33425408601760864	0.32391435	Yes	
row_43	ACRV1	NA	3229	0.32942578196525574	0.31839427	Yes	
row_44	PHKG2	NA	3296	0.3272121548652649	0.3235758	Yes	
row_45	DMRT1	NA	3313	0.3265652656555176	0.3338682	Yes	
row_46	GRM8	NA	3456	0.32244813442230225	0.3310711	Yes	
row_47	DNAJB8	NA	3566	0.32006195187568665	0.33157563	Yes	
row_48	COIL	NA	3662	0.3179428279399872	0.33344033	Yes	
row_49	NAA11	NA	3726	0.3160724639892578	0.3385228	Yes	
row_50	HSPA2	NA	3896	0.31176847219467163	0.33256274	Yes	
