NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CXCL6	NA	323	0.5081486105918884	-0.007751191	No	
row_1	HES1	NA	401	0.4944950044155121	0.009096555	No	
row_2	CCND1	NA	429	0.4902730882167816	0.03087164	No	
row_3	JAG1	NA	533	0.4756298065185547	0.04410258	No	
row_4	GEM	NA	613	0.465641587972641	0.059299964	No	
row_5	LIF	NA	709	0.4556965231895447	0.072354965	No	
row_6	NR4A3	NA	837	0.4447630047798157	0.08157368	No	
row_7	EDN1	NA	1221	0.41747787594795227	0.06311573	No	
row_8	F3	NA	1343	0.4093893766403198	0.071179785	No	
row_9	PLK2	NA	1594	0.39538782835006714	0.065284766	No	
row_10	CXCL3	NA	2020	0.3739326298236847	0.04032978	No	
row_11	EFNA1	NA	2095	0.3701258599758148	0.051258173	No	
row_12	IL12B	NA	2218	0.3639500141143799	0.056944117	No	
row_13	CSF2	NA	2826	0.3414628505706787	0.011658202	No	
row_14	CXCL1	NA	2974	0.33645501732826233	0.013397986	No	
row_15	SERPINE1	NA	3106	0.332665354013443	0.016592406	No	
row_16	SDC4	NA	3212	0.3299364745616913	0.022322325	No	
row_17	PHLDA1	NA	3273	0.3280923664569855	0.032584775	No	
row_18	CXCL11	NA	4008	0.30910199880599976	-0.027374	No	
row_19	B4GALT5	NA	4012	0.3089301288127899	-0.01221291	No	
row_20	ACKR3	NA	4288	0.30231356620788574	-0.02533792	No	
row_21	BCL3	NA	4337	0.3011951148509979	-0.015189027	No	
row_22	RELB	NA	4381	0.2999645173549652	-0.0045878813	No	
row_23	AREG	NA	4641	0.29316437244415283	-0.01652663	No	
row_24	CLCF1	NA	5118	0.2797965705394745	-0.05143692	No	
row_25	TNFRSF9	NA	5190	0.2772802710533142	-0.044849366	No	
row_26	NFKB2	NA	5210	0.2766730487346649	-0.03294792	No	
row_27	IRS2	NA	5325	0.2736091911792755	-0.030963516	No	
row_28	ABCA1	NA	5361	0.2727077305316925	-0.02090503	No	
row_29	IL1A	NA	5715	0.2629140615463257	-0.044019382	No	
row_30	ZC3H12A	NA	5722	0.26268213987350464	-0.031482447	No	
row_31	DNAJB4	NA	5775	0.26076602935791016	-0.023769107	No	
row_32	IL6	NA	5984	0.25400134921073914	-0.03242739	No	
row_33	CD80	NA	6003	0.253375768661499	-0.021589762	No	
row_34	MSC	NA	6074	0.25092244148254395	-0.016219279	No	
row_35	PANX1	NA	6347	0.23997394740581512	-0.032157566	No	
row_36	EGR2	NA	6398	0.2378162294626236	-0.025387868	No	
row_37	PTX3	NA	6532	0.23271490633487701	-0.027403932	No	
row_38	CCL2	NA	6860	0.21684466302394867	-0.05015302	No	
row_39	SLC16A6	NA	6895	0.21490876376628876	-0.042885993	No	
row_40	CCRL2	NA	7037	0.20863622426986694	-0.046929978	No	
row_41	ETS2	NA	7066	0.20735497772693634	-0.03942455	No	
row_42	TNFAIP6	NA	7411	0.18932896852493286	-0.06529864	No	
row_43	TRIB1	NA	7421	0.18872518837451935	-0.05677336	No	
row_44	IL15RA	NA	7513	0.18343499302864075	-0.056940526	No	
row_45	IL18	NA	7621	0.1776689887046814	-0.05904082	No	
row_46	IFIH1	NA	7661	0.17501801252365112	-0.054285165	No	
row_47	OLR1	NA	7816	0.16517698764801025	-0.061841406	No	
row_48	PTGS2	NA	7817	0.165174201130867	-0.05357045	No	
row_49	GCH1	NA	7824	0.16462741792201996	-0.04594352	No	
row_50	MARCKS	NA	7838	0.16398920118808746	-0.039067976	No	
row_51	DENND5A	NA	7861	0.16313128173351288	-0.033160362	No	
row_52	PDLIM5	NA	7983	0.15563157200813293	-0.03780301	No	
row_53	CCL20	NA	7998	0.15454770624637604	-0.031503014	No	
row_54	IFIT2	NA	8178	0.14093400537967682	-0.042842574	No	
row_55	MYC	NA	8274	0.1343548595905304	-0.04587849	No	
row_56	SERPINB8	NA	8299	0.13197696208953857	-0.041736454	No	
row_57	IL23A	NA	8420	0.12149296700954437	-0.047985785	No	
row_58	GADD45B	NA	8439	0.11981907486915588	-0.043835897	No	
row_59	CD83	NA	8461	0.11790645867586136	-0.040090106	No	
row_60	TIPARP	NA	8482	0.11645209044218063	-0.036314365	No	
row_61	PTGER4	NA	8496	0.11495199054479599	-0.031894315	No	
row_62	SERPINB2	NA	8600	0.10555877536535263	-0.037194367	No	
row_63	B4GALT1	NA	8654	0.10045115649700165	-0.037611432	No	
row_64	TNF	NA	8734	0.0921751856803894	-0.041115057	No	
row_65	STAT5A	NA	8812	0.08259189128875732	-0.044893008	No	
row_66	IER3	NA	8956	0.06293606013059616	-0.056438353	No	
row_67	CXCL10	NA	9013	0.05526979640126228	-0.05942616	No	
row_68	SLC2A3	NA	9131	0.03683038800954819	-0.06960657	No	
row_69	SGK1	NA	9141	0.03521977365016937	-0.06876795	No	
row_70	IFNGR2	NA	9168	0.029514050111174583	-0.0699622	No	
row_71	NAMPT	NA	9186	0.02736780419945717	-0.07033896	No	
row_72	IER2	NA	9205	0.023340830579400063	-0.071020134	No	
row_73	CCNL1	NA	9249	0.014686464332044125	-0.07470404	No	
row_74	SMAD3	NA	9260	0.012651750817894936	-0.07509827	No	
row_75	G0S2	NA	9277	0.00900872703641653	-0.07629156	No	
row_76	PPP1R15A	NA	9323	-0.0023843618109822273	-0.08079704	No	
