NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FKBP14	NA	712	0.4556208848953247	-0.028936112	No	
row_1	WFS1	NA	1691	0.3902142345905304	-0.09139852	No	
row_2	IGFBP1	NA	1977	0.3763694167137146	-0.08427877	No	
row_3	RRP9	NA	3233	0.32935068011283875	-0.18095516	No	
row_4	PDIA5	NA	3712	0.31660205125808716	-0.19934772	No	
row_5	EXOSC4	NA	3980	0.30976173281669617	-0.19680743	No	
row_6	IFIT1	NA	4069	0.3073200285434723	-0.1761849	No	
row_7	NFYB	NA	4824	0.28769442439079285	-0.22560832	Yes	
row_8	TSPYL2	NA	5063	0.28136494755744934	-0.22283801	Yes	
row_9	BAG3	NA	5082	0.28093448281288147	-0.19759591	Yes	
row_10	PARN	NA	5592	0.26616114377975464	-0.22402367	Yes	
row_11	EXOSC9	NA	5657	0.2645126283168793	-0.20507208	Yes	
row_12	WIPI1	NA	5913	0.25622907280921936	-0.20646472	Yes	
row_13	CXXC1	NA	6213	0.24550414085388184	-0.21339399	Yes	
row_14	POP4	NA	6250	0.24438408017158508	-0.1935176	Yes	
row_15	ERN1	NA	6278	0.24299868941307068	-0.17285378	Yes	
row_16	HYOU1	NA	6283	0.2428601235151291	-0.14984965	Yes	
row_17	DDX10	NA	6334	0.24052034318447113	-0.13177842	Yes	
row_18	EXOSC1	NA	6506	0.23371334373950958	-0.12674576	Yes	
row_19	EIF2AK3	NA	6534	0.23263931274414062	-0.10708065	Yes	
row_20	EXOC2	NA	6585	0.23083460330963135	-0.0899432	Yes	
row_21	ZBTB17	NA	6744	0.22236944735050201	-0.08467384	Yes	
row_22	CCL2	NA	6860	0.21684466302394867	-0.07553677	Yes	
row_23	SDAD1	NA	6900	0.21468856930732727	-0.05883025	Yes	
row_24	CNOT4	NA	6999	0.2103196382522583	-0.048582584	Yes	
row_25	ATF6	NA	7110	0.20495924353599548	-0.040079694	Yes	
row_26	DKC1	NA	7131	0.20413516461849213	-0.022446264	Yes	
row_27	DNAJA4	NA	7174	0.20163382589817047	-0.007305311	Yes	
row_28	NOLC1	NA	7352	0.19232746958732605	-0.0068765385	Yes	
row_29	DCP1A	NA	7431	0.18791021406650543	0.0032573654	Yes	
row_30	DNAJB9	NA	7454	0.18652698397636414	0.018988574	Yes	
row_31	DCP2	NA	7634	0.17671866714954376	0.017707879	Yes	
row_32	IARS1	NA	7709	0.17196029424667358	0.026713429	Yes	
row_33	DNAJC3	NA	7755	0.16880588233470917	0.038382534	Yes	
row_34	EDC4	NA	7808	0.1655711978673935	0.049023457	Yes	
row_35	NHP2	NA	7956	0.15752464532852173	0.049166985	Yes	
row_36	TARS1	NA	7981	0.15579362213611603	0.061730612	Yes	
row_37	ASNS	NA	8024	0.15319837629795074	0.07220204	Yes	
row_38	ARFGAP1	NA	8123	0.14591655135154724	0.076240785	Yes	
row_39	SRPRA	NA	8224	0.13796910643577576	0.07930868	Yes	
row_40	NOP56	NA	8301	0.13146363198757172	0.0842054	Yes	
row_41	EIF2S1	NA	8648	0.10070617496967316	0.05850691	Yes	
row_42	GOSR2	NA	8689	0.09675532579421997	0.06374149	Yes	
row_43	SEC31A	NA	8798	0.0838625431060791	0.060774453	Yes	
row_44	FUS	NA	8879	0.07319066673517227	0.059643906	Yes	
row_45	HERPUD1	NA	9014	0.055211909115314484	0.05125408	Yes	
row_46	MTREX	NA	9101	0.041534069925546646	0.046457607	Yes	
row_47	SSR1	NA	9200	0.0244256854057312	0.038783766	Yes	
row_48	IMP3	NA	9326	-0.0027962839230895042	0.026261698	Yes	
row_49	DCTN1	NA	9455	-0.04502984136343002	0.01750425	Yes	
row_50	RPS14	NA	9574	-0.08651064336299896	0.01376918	Yes	
row_51	NPM1	NA	9641	-0.12042337656021118	0.018624866	Yes	
