NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MYO5C	NA	457	0.48623543977737427	-0.0013333692	Yes	
row_1	KRT19	NA	510	0.4791814684867859	0.03803168	Yes	
row_2	CST6	NA	631	0.4621112644672394	0.06886151	Yes	
row_3	GAD1	NA	848	0.44405242800712585	0.08820475	Yes	
row_4	CLDN4	NA	898	0.4395708739757538	0.12418317	Yes	
row_5	NR2F2	NA	944	0.4361225664615631	0.16024856	Yes	
row_6	VWA1	NA	1052	0.4283227026462555	0.18925568	Yes	
row_7	METRN	NA	1349	0.4090653657913208	0.19716792	Yes	
row_8	BIK	NA	1424	0.40496084094047546	0.22736675	Yes	
row_9	DKK1	NA	1482	0.4008322060108185	0.2589166	Yes	
row_10	KRT8	NA	1995	0.3754148483276367	0.24163495	Yes	
row_11	MLPH	NA	2056	0.3723929822444916	0.270227	Yes	
row_12	PROM1	NA	2190	0.3653750717639923	0.29071045	Yes	
row_13	EFEMP1	NA	2339	0.35933592915534973	0.30909917	Yes	
row_14	WFDC2	NA	2530	0.352001428604126	0.32251528	Yes	
row_15	CNN3	NA	2717	0.34524109959602356	0.33570957	Yes	
row_16	LOXL1	NA	2973	0.3365907371044159	0.34105155	Yes	
row_17	IGFBP4	NA	3006	0.3355643153190613	0.3690692	Yes	
row_18	TM4SF1	NA	3437	0.32322779297828674	0.3552954	Yes	
row_19	KRT81	NA	3528	0.32092610001564026	0.37602568	Yes	
row_20	ADAMTS5	NA	3645	0.31829139590263367	0.39385536	Yes	
row_21	MIA	NA	3876	0.31226202845573425	0.39948195	Yes	
row_22	KLK6	NA	4382	0.299922376871109	0.3758768	Yes	
row_23	KRT15	NA	4558	0.29515179991722107	0.38552445	Yes	
row_24	GPRC5A	NA	4570	0.2949218153953552	0.4118973	Yes	
row_25	GABRP	NA	4587	0.2945365607738495	0.43772367	Yes	
row_26	CLDN7	NA	4906	0.285655677318573	0.4318837	No	
row_27	KRT86	NA	5401	0.2714841365814209	0.40675044	No	
row_28	MYO6	NA	6005	0.2533422112464905	0.3687954	No	
row_29	IGFBP3	NA	7796	0.16630686819553375	0.20151687	No	
row_30	PSMB9	NA	8993	0.057549744844436646	0.08475429	No	
