NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TMEM47	NA	8	0.652159571647644	0.007729163	Yes	
row_1	LRP4	NA	53	0.574066698551178	0.010677387	Yes	
row_2	GPC3	NA	85	0.5647208094596863	0.014859031	Yes	
row_3	LRCH2	NA	104	0.5517712831497192	0.020226777	Yes	
row_4	MAOB	NA	128	0.5450332760810852	0.024984447	Yes	
row_5	ETV5	NA	129	0.5449076294898987	0.0321398	Yes	
row_6	NUDT11	NA	177	0.5325161218643188	0.034229457	Yes	
row_7	LCA5	NA	190	0.5293373465538025	0.039928526	Yes	
row_8	TBX2	NA	206	0.5271518230438232	0.04528594	Yes	
row_9	HSPG2	NA	211	0.5267785787582397	0.05178596	Yes	
row_10	SEMA5A	NA	246	0.5209088921546936	0.05507934	Yes	
row_11	HAS2	NA	247	0.5200440287590027	0.061908204	Yes	
row_12	NTF3	NA	250	0.5192939043045044	0.06851858	Yes	
row_13	PTPRT	NA	307	0.5106361508369446	0.06938205	Yes	
row_14	DLL1	NA	336	0.5059661865234375	0.07310513	Yes	
row_15	CYGB	NA	342	0.5048450231552124	0.079212815	Yes	
row_16	PLXNA2	NA	361	0.5021317601203918	0.08392873	Yes	
row_17	PKNOX2	NA	380	0.49857503175735474	0.08859793	Yes	
row_18	ITGA9	NA	381	0.4984357953071594	0.09514305	Yes	
row_19	SLC4A3	NA	384	0.49809733033180237	0.10147508	Yes	
row_20	BVES	NA	400	0.49466001987457275	0.10640584	Yes	
row_21	HSPB2	NA	442	0.4880918264389038	0.108538054	Yes	
row_22	SOBP	NA	472	0.4835669696331024	0.11186268	Yes	
row_23	DCHS1	NA	481	0.4828563928604126	0.11736867	Yes	
row_24	FERMT2	NA	494	0.48086076974868774	0.12243118	Yes	
row_25	SCN4B	NA	501	0.47997528314590454	0.12810798	Yes	
row_26	MCAM	NA	511	0.479152649641037	0.13346101	Yes	
row_27	TRIM9	NA	518	0.4787271022796631	0.13912141	Yes	
row_28	JAG1	NA	533	0.4756298065185547	0.1439066	Yes	
row_29	SRPX	NA	538	0.4747941493988037	0.14972399	Yes	
row_30	ALDH1L2	NA	558	0.47208115458488464	0.15394098	Yes	
row_31	CPXM1	NA	574	0.4699159264564514	0.15854682	Yes	
row_32	CSRP2	NA	593	0.4672652781009674	0.16280489	Yes	
row_33	GEM	NA	613	0.465641587972641	0.1669373	Yes	
row_34	BNC1	NA	642	0.46119651198387146	0.17007251	Yes	
row_35	ANTXR1	NA	668	0.4592441916465759	0.17349501	Yes	
row_36	PDLIM4	NA	700	0.4564427435398102	0.17625482	Yes	
row_37	TRPC1	NA	733	0.4532797336578369	0.17886879	Yes	
row_38	NUDT10	NA	738	0.4528712034225464	0.18439831	Yes	
row_39	FBLN1	NA	740	0.45269814133644104	0.1902385	Yes	
row_40	EGFR	NA	855	0.44349098205566406	0.18416978	Yes	
row_41	IL17RD	NA	878	0.44093430042266846	0.18766482	Yes	
row_42	SORCS1	NA	906	0.43877148628234863	0.19060986	Yes	
row_43	HS3ST3A1	NA	931	0.43708792328834534	0.19384575	Yes	
row_44	RND3	NA	966	0.4345203638076782	0.19600473	Yes	
row_45	SLIT2	NA	973	0.43401336669921875	0.20107798	Yes	
row_46	STXBP4	NA	1001	0.43232059478759766	0.20393832	Yes	
row_47	PCDH7	NA	1006	0.4320172965526581	0.20919399	Yes	
row_48	PSD2	NA	1015	0.431368350982666	0.21402387	Yes	
row_49	LAMA1	NA	1031	0.4300263226032257	0.21810591	Yes	
row_50	LRRN1	NA	1053	0.4283199906349182	0.22153962	Yes	
row_51	TWIST2	NA	1072	0.4267670512199402	0.22526589	Yes	
row_52	SCARF2	NA	1091	0.4255094528198242	0.22897565	Yes	
row_53	LIFR	NA	1105	0.4244330823421478	0.23319288	Yes	
row_54	COL16A1	NA	1149	0.42175596952438354	0.23424537	Yes	
row_55	TSKU	NA	1180	0.41962242126464844	0.23662601	Yes	
row_56	SCHIP1	NA	1188	0.41909390687942505	0.24139903	Yes	
row_57	EXT1	NA	1232	0.41632279753685	0.24238019	Yes	
row_58	BMP7	NA	1252	0.41516727209091187	0.24584982	Yes	
row_59	STAC	NA	1259	0.4146990180015564	0.25066945	Yes	
row_60	EFCAB1	NA	1298	0.4119802713394165	0.2521152	Yes	
row_61	WIF1	NA	1326	0.41018146276474	0.2546848	Yes	
row_62	SHE	NA	1329	0.40998178720474243	0.25985977	Yes	
row_63	TTL	NA	1352	0.4088342487812042	0.26293328	Yes	
row_64	STAC2	NA	1391	0.40673136711120605	0.2643101	Yes	
row_65	TRO	NA	1456	0.4024731516838074	0.26291868	Yes	
row_66	SNTB2	NA	1458	0.4024011492729187	0.2680984	Yes	
row_67	SLC27A6	NA	1466	0.40188637375831604	0.27264547	Yes	
row_68	TIMP3	NA	1469	0.40161457657814026	0.2777106	Yes	
row_69	JAM2	NA	1490	0.4002273678779602	0.2808797	Yes	
row_70	KCNMA1	NA	1494	0.4001169800758362	0.2858208	Yes	
row_71	CAV1	NA	1509	0.39962297677993774	0.28960794	Yes	
row_72	ELOVL4	NA	1528	0.39859631657600403	0.29296428	Yes	
row_73	FHOD3	NA	1535	0.3983507752418518	0.29756925	Yes	
row_74	CDH4	NA	1543	0.39795735478401184	0.30206472	Yes	
row_75	ACER2	NA	1548	0.39776262640953064	0.30687058	Yes	
row_76	PRICKLE1	NA	1553	0.39742979407310486	0.3116721	Yes	
row_77	VGLL3	NA	1567	0.39678964018821716	0.3155263	Yes	
row_78	FST	NA	1591	0.39541947841644287	0.31831935	Yes	
row_79	CSPG4	NA	1602	0.3951720595359802	0.3224653	Yes	
row_80	PRRX1	NA	1611	0.39458808302879333	0.3268122	Yes	
row_81	ITGA1	NA	1673	0.39117661118507385	0.32558542	Yes	
row_82	SORBS1	NA	1695	0.39007648825645447	0.32851696	Yes	
row_83	TGFB1I1	NA	1722	0.3887430429458618	0.33090937	Yes	
row_84	PLS3	NA	1764	0.3870505094528198	0.33171478	Yes	
row_85	PKP1	NA	1783	0.3859562575817108	0.33490515	Yes	
row_86	MRGPRF	NA	1874	0.3815705478191376	0.33052698	Yes	
row_87	COL7A1	NA	1898	0.38016611337661743	0.33311975	Yes	
row_88	LMOD1	NA	1931	0.3787294328212738	0.33475474	Yes	
row_89	TNS4	NA	1955	0.37742751836776733	0.33731154	Yes	
row_90	FLRT2	NA	1961	0.3770820200443268	0.34174153	Yes	
row_91	EDNRB	NA	2001	0.3750374913215637	0.34259784	Yes	
row_92	ERF	NA	2049	0.372478187084198	0.34258598	Yes	
row_93	COL4A2	NA	2079	0.3711203336715698	0.34443402	Yes	
row_94	CLIP3	NA	2090	0.37032350897789	0.34825367	Yes	
row_95	SNAI2	NA	2119	0.36886805295944214	0.35017648	Yes	
row_96	NRP2	NA	2167	0.3667575716972351	0.3500895	Yes	
row_97	DZIP1L	NA	2184	0.3659827411174774	0.35322624	Yes	
row_98	IL17B	NA	2185	0.36581701040267944	0.3580299	Yes	
row_99	CRISPLD1	NA	2295	0.36079761385917664	0.3513969	Yes	
row_100	SYNM	NA	2324	0.35991963744163513	0.3532022	Yes	
row_101	HGFAC	NA	2337	0.3594103455543518	0.35666987	Yes	
row_102	LEP	NA	2354	0.3588804602622986	0.35971335	Yes	
row_103	CHST7	NA	2368	0.35835129022598267	0.36306283	Yes	
row_104	LAMB1	NA	2376	0.35809826850891113	0.3670349	Yes	
row_105	GJC1	NA	2414	0.35676267743110657	0.36785987	Yes	
row_106	PPP1R3C	NA	2441	0.3558235466480255	0.36982003	Yes	
row_107	CNRIP1	NA	2535	0.35175395011901855	0.36473736	Yes	
row_108	EPDR1	NA	2540	0.35142454504966736	0.36893475	Yes	
row_109	PCDH18	NA	2582	0.3499479293823242	0.36925295	Yes	
row_110	COL5A1	NA	2597	0.34939247369766235	0.37238047	Yes	
row_111	CNN1	NA	2607	0.3489249646663666	0.37602344	Yes	
row_112	TIE1	NA	2631	0.34792360663414	0.3781928	Yes	
row_113	THY1	NA	2633	0.3478063642978668	0.38265565	Yes	
row_114	CRYAB	NA	2677	0.346589595079422	0.38272113	Yes	
row_115	ZC3H12B	NA	2681	0.3463269770145416	0.3869559	Yes	
row_116	NGF	NA	2730	0.3448893427848816	0.38647744	Yes	
row_117	APOE	NA	2756	0.3439907431602478	0.38838652	Yes	
row_118	ARSI	NA	2809	0.3422026038169861	0.38745552	Yes	
row_119	ADARB1	NA	2829	0.3414381742477417	0.38995698	Yes	
row_120	UCN2	NA	2833	0.34126633405685425	0.3941253	Yes	
row_121	SGIP1	NA	2865	0.340167760848999	0.3953583	Yes	
row_122	CXCL14	NA	2900	0.33887213468551636	0.39626127	Yes	
row_123	GJA1	NA	2920	0.33842822909355164	0.3987232	Yes	
row_124	C1QTNF4	NA	2990	0.3359641432762146	0.39593688	Yes	
row_125	IGFBP4	NA	3006	0.3355643153190613	0.3987785	Yes	
row_126	CACNB4	NA	3107	0.33266299962997437	0.39271492	Yes	
row_127	COL9A2	NA	3138	0.3317277729511261	0.39394137	Yes	
row_128	PCDHGC3	NA	3149	0.3313767611980438	0.3972496	Yes	
row_129	CDC42EP2	NA	3169	0.33101847767829895	0.39961427	Yes	
row_130	POSTN	NA	3228	0.32944461703300476	0.39788982	Yes	
row_131	RASL12	NA	3276	0.32800841331481934	0.397294	Yes	
row_132	ANKRD1	NA	3308	0.3266330659389496	0.39834926	Yes	
row_133	COL14A1	NA	3485	0.32174772024154663	0.3842141	Yes	
row_134	GOLIM4	NA	3512	0.32123422622680664	0.38572004	Yes	
row_135	MAMDC2	NA	3559	0.3201636075973511	0.38512555	Yes	
row_136	MATN2	NA	3574	0.31988149881362915	0.38786554	Yes	
row_137	CDH3	NA	3628	0.3186721205711365	0.38652125	Yes	
row_138	KRT75	NA	3632	0.31863513588905334	0.3903924	Yes	
row_139	NLGN2	NA	3636	0.31858181953430176	0.39426282	Yes	
row_140	SULF1	NA	3663	0.31785500049591064	0.3957244	Yes	
row_141	FEZ1	NA	3685	0.31737974286079407	0.39770132	Yes	
row_142	RHOJ	NA	3713	0.3165268003940582	0.39904112	Yes	
row_143	NNMT	NA	3728	0.316059410572052	0.40173092	Yes	
