NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	POTEM	NA	161	0.5364043712615967	0.046209212	Yes	
row_1	AR	NA	392	0.4961242079734802	0.08067226	Yes	
row_2	PPM1H	NA	892	0.439806193113327	0.08110393	Yes	
row_3	FOLH1	NA	1664	0.391792893409729	0.048167843	Yes	
row_4	KCNN2	NA	1746	0.3877597153186798	0.08518331	Yes	
row_5	DCDC2	NA	1768	0.38686877489089966	0.12821843	Yes	
row_6	CCK	NA	2074	0.3714161813259125	0.14046349	Yes	
row_7	UPK1A	NA	2226	0.36348873376846313	0.16750029	Yes	
row_8	ST8SIA1	NA	2268	0.3617074489593506	0.20555584	Yes	
row_9	DNAJC12	NA	2282	0.36117789149284363	0.24640727	Yes	
row_10	SPDEF	NA	2621	0.34829553961753845	0.25258428	Yes	
row_11	PLA2G2A	NA	3037	0.33478569984436035	0.24932487	Yes	
row_12	ANKRD1	NA	3308	0.3266330659389496	0.25991234	Yes	
row_13	KLK3	NA	3372	0.32493793964385986	0.2914286	Yes	
row_14	CPNE4	NA	3655	0.31817448139190674	0.29980353	Yes	
row_15	KRT20	NA	4269	0.3026384115219116	0.27258176	Yes	
row_16	TRPV6	NA	4291	0.30224958062171936	0.30573508	Yes	
row_17	SLC2A12	NA	4338	0.30110669136047363	0.3362034	Yes	
row_18	ANO7	NA	4733	0.29010024666786194	0.3298689	Yes	
row_19	LMAN1L	NA	4795	0.28845834732055664	0.35732922	Yes	
row_20	RIMS1	NA	5203	0.27686944603919983	0.34812286	Yes	
row_21	TRPM8	NA	5294	0.27472880482673645	0.37102005	Yes	
row_22	PGC	NA	6108	0.24956047534942627	0.31718752	No	
row_23	TSPAN8	NA	6452	0.23589320480823517	0.30972794	No	
row_24	KMO	NA	7040	0.20854288339614868	0.27417132	No	
row_25	CHI3L2	NA	8802	0.08361142128705978	0.10420486	No	
