NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TPX2	NA	467	0.48483890295028687	0.08500056	Yes	
row_1	NCAPH	NA	507	0.4794405698776245	0.21213605	Yes	
row_2	VGLL1	NA	743	0.4524455964565277	0.31191793	Yes	
row_3	MYBL2	NA	820	0.44591569900512695	0.42611545	Yes	
row_4	LRP8	NA	1159	0.42111992835998535	0.5068357	Yes	
row_5	CDC20	NA	1397	0.4062671661376953	0.5937857	Yes	
row_6	NDC80	NA	1628	0.3937358856201172	0.6780221	Yes	
row_7	TTLL4	NA	5927	0.2557395398616791	0.31001168	No	
row_8	DKC1	NA	7131	0.20413516461849213	0.24325515	No	
row_9	ANP32E	NA	8519	0.11315955221652985	0.13287142	No	
