NAME	TITLE	SCORE	
SPANXA1	NA	0.7165884	
SMIM10L2B	NA	0.7094814	
GAGE13	NA	0.6954295	
CTAG2	NA	0.6865344	
EEF1AKMT4-ECE2	NA	0.67822194	
AC139530.2	NA	0.6736244	
SPACA5B	NA	0.6667296	
SPANXA2	NA	0.6649482	
TMEM47	NA	0.6521596	
RIBC1	NA	0.6443723	
SMARCA1	NA	0.6442276	
RAI2	NA	0.6430285	
TUBA4B	NA	0.63610023	
JADE3	NA	0.63547444	
NPAS4	NA	0.63484806	
CT45A1	NA	0.63336056	
CCDC151	NA	0.6332265	
VGF	NA	0.63126874	
DISP2	NA	0.6306754	
VCX2	NA	0.6261211	
POTEG	NA	0.62050134	
MAOA	NA	0.61834675	
TSACC	NA	0.6178858	
CFAP57	NA	0.61492944	
AL136295.1	NA	0.6142813	
RPS6KA6	NA	0.6099869	
HRH3	NA	0.60989356	
AK7	NA	0.60547966	
CENPS-CORT	NA	0.6054338	
GPC4	NA	0.6045656	
FGD1	NA	0.6013253	
CALR3	NA	0.60111094	
KHDRBS3	NA	0.60010445	
ZNF511-PRAP1	NA	0.5998425	
GAGE2A	NA	0.5977676	
MBD3L1	NA	0.5972653	
ANLN	NA	0.59413916	
SYCE2	NA	0.59338486	
PDZD7	NA	0.5901053	
AC024592.3	NA	0.5890047	
TYRO3	NA	0.5875728	
HSPA12A	NA	0.58752465	
ETDB	NA	0.5874639	
DEPDC4	NA	0.58662677	
METTL27	NA	0.58651876	
ENTPD8	NA	0.58402103	
CPLX1	NA	0.5831806	
FGF22	NA	0.58238465	
MAGEC3	NA	0.5822246	
DEFB106A	NA	0.57951736	
SMAD6	NA	0.57649416	
PTPRU	NA	0.575885	
KCNK3	NA	0.5748754	
LRP4	NA	0.5740667	
CXorf58	NA	0.57390875	
SHROOM2	NA	0.5734724	
AL662899.2	NA	0.57345414	
CCDC103	NA	0.57345176	
LMX1B	NA	0.57323086	
ADGRG2	NA	0.57306576	
FSIP1	NA	0.57298523	
DLX2	NA	0.572943	
FBXO43	NA	0.57160044	
XKR9	NA	0.571318	
MAL2	NA	0.57107997	
LRRC46	NA	0.5705566	
GPR50	NA	0.57003057	
RAC3	NA	0.5698654	
HTR2C	NA	0.5695465	
E2F8	NA	0.56931293	
HROB	NA	0.5693062	
SLC29A4	NA	0.56925243	
LNP1	NA	0.5685661	
WDR62	NA	0.56822485	
FOXA3	NA	0.5678948	
AC004076.1	NA	0.5678661	
C2orf50	NA	0.5677824	
ADAMTS7	NA	0.5674791	
EFCAB12	NA	0.56681424	
TPTE	NA	0.5667904	
ESCO2	NA	0.5667448	
C9orf43	NA	0.56657153	
VANGL2	NA	0.5660485	
KIAA1549	NA	0.5656793	
CATSPERE	NA	0.5655173	
GPC3	NA	0.5647208	
XRCC2	NA	0.5641519	
EFCAB6	NA	0.5604179	
CFHR2	NA	0.5595807	
TEX14	NA	0.558153	
CFAP91	NA	0.558049	
PPP1R1A	NA	0.55797744	
BGN	NA	0.5576419	
RAD54L	NA	0.557296	
PNMA6E	NA	0.5569301	
RAB3C	NA	0.5560892	
KCNK15	NA	0.5560629	
TMEM52	NA	0.5548719	
PHF24	NA	0.554689	
STKLD1	NA	0.55417234	
AK8	NA	0.5540503	
CFAP206	NA	0.55305105	
EMID1	NA	0.55259126	
SLC2A4	NA	0.5522669	
LRCH2	NA	0.5517713	
AL139300.1	NA	0.5511261	
DCAF12L1	NA	0.5510371	
LRP5	NA	0.55098194	
AL353579.1	NA	0.5503345	
FGF8	NA	0.5498965	
TNFRSF12A	NA	0.54982466	
ZNF837	NA	0.54979146	
IL1RAPL1	NA	0.54936117	
KCNJ11	NA	0.54917866	
TMEM151A	NA	0.5490954	
DYNLRB2	NA	0.5484695	
KIAA0895	NA	0.54833496	
KIF20A	NA	0.54802424	
MDH1B	NA	0.5473542	
GCAT	NA	0.54699665	
CDC25A	NA	0.5468356	
AUNIP	NA	0.5464093	
ATP5MF-PTCD1	NA	0.5460454	
DIRAS1	NA	0.54603523	
EFHB	NA	0.54597956	
GPRIN1	NA	0.5458901	
AC093827.5	NA	0.54580724	
DOCK6	NA	0.545338	
MAOB	NA	0.5450333	
ETV5	NA	0.5449076	
HSD11B2	NA	0.54477173	
CAGE1	NA	0.5446962	
APLN	NA	0.5446245	
PRRT4	NA	0.54461616	
NR6A1	NA	0.54373163	
FAM171A2	NA	0.5435371	
ARX	NA	0.54287285	
TONSL	NA	0.54271513	
C15orf65	NA	0.54254043	
CDNF	NA	0.5416061	
ACTN2	NA	0.54127485	
KIF18A	NA	0.5410906	
CYS1	NA	0.5410399	
EHD2	NA	0.5408834	
VCX3A	NA	0.54080826	
HCN3	NA	0.540619	
CCDC173	NA	0.5405371	
NXPH4	NA	0.5404697	
RHOXF1	NA	0.5402676	
GAREM1	NA	0.5399508	
LEKR1	NA	0.5396981	
SATL1	NA	0.53905267	
KIF4A	NA	0.5387937	
CFAP94	NA	0.5387045	
EPHA8	NA	0.53858835	
PIR	NA	0.5384806	
ACBD7	NA	0.53748304	
TPTEP2-CSNK1E	NA	0.53732914	
KIAA1755	NA	0.53691655	
TMEM240	NA	0.53669953	
MORN5	NA	0.5364868	
POTEM	NA	0.5364044	
VSTM4	NA	0.53609604	
HJURP	NA	0.53588885	
P4HA3	NA	0.5358597	
FAM187A	NA	0.53572285	
XKR4	NA	0.5355162	
MAPK15	NA	0.53545827	
AC009163.5	NA	0.5351325	
AC008770.2	NA	0.5351061	
CKLF-CMTM1	NA	0.5344073	
AC058822.1	NA	0.5343297	
FGF3	NA	0.5343081	
TCERG1L	NA	0.5342044	
CENPA	NA	0.53389585	
E2F7	NA	0.5334877	
CAMSAP3	NA	0.5332862	
NUDT11	NA	0.5325161	
WDR87	NA	0.5322252	
PNPLA3	NA	0.531896	
