NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ST8SIA3	NA	547	0.18176484107971191	0.0380723	Yes	
row_1	RGS7	NA	1462	0.1548149287700653	0.041729067	Yes	
row_2	NRSN1	NA	1852	0.14632783830165863	0.07567613	Yes	
row_3	PROX1	NA	2004	0.14372126758098602	0.12385449	Yes	
row_4	TRIM9	NA	2212	0.1394515335559845	0.166718	Yes	
row_5	SCG3	NA	2339	0.1371491402387619	0.21385504	Yes	
row_6	KIAA0408	NA	2730	0.13057707250118256	0.24139543	Yes	
row_7	KCNB2	NA	2827	0.12901127338409424	0.28718168	Yes	
row_8	BRINP1	NA	2978	0.1263347864151001	0.3284231	Yes	
row_9	MYCN	NA	3137	0.12377107888460159	0.36811852	Yes	
row_10	PCSK1	NA	3425	0.11903253942728043	0.39762333	Yes	
row_11	SVOP	NA	3701	0.11392702907323837	0.42584273	Yes	
row_12	CAND2	NA	4023	0.10794973373413086	0.44870174	Yes	
row_13	JAKMIP2	NA	4047	0.10738629102706909	0.4904671	Yes	
row_14	SEZ6	NA	4431	0.10033906251192093	0.5062807	Yes	
row_15	KCND2	NA	4707	0.09478440880775452	0.5267918	Yes	
row_16	GNAO1	NA	4850	0.09190408140420914	0.5546824	Yes	
row_17	AURKA	NA	6327	0.060515157878398895	0.48428327	No	
row_18	GPX2	NA	6660	0.05298711359500885	0.48430377	No	
row_19	ETV5	NA	6756	0.05105980485677719	0.49876493	No	
row_20	EZH2	NA	8067	0.025514472275972366	0.4249299	No	
row_21	SYT11	NA	10856	-0.015680857002735138	0.2522394	No	
row_22	SEC11C	NA	13860	-0.06133515387773514	0.08412872	No	
row_23	DNMT1	NA	14165	-0.06803455948829651	0.09200628	No	
