NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SPARCL1	NA	225	0.20657230913639069	0.004748239	No	
row_1	ITGA7	NA	358	0.19439199566841125	0.014386593	No	
row_2	CYP4B1	NA	1276	0.15923070907592773	-0.030167904	No	
row_3	MRAP	NA	1773	0.14774103462696075	-0.048499316	No	
row_4	LAMA4	NA	2097	0.1416410207748413	-0.056184027	No	
row_5	ITIH5	NA	2236	0.1388797163963318	-0.05213138	No	
row_6	SNCG	NA	2301	0.13789699971675873	-0.04337239	No	
row_7	CIDEA	NA	2435	0.1354852318763733	-0.039313298	No	
row_8	ORM1	NA	2458	0.13503868877887726	-0.028098498	No	
row_9	ADIG	NA	2517	0.13406860828399658	-0.019308837	No	
row_10	COL15A1	NA	2576	0.1330527663230896	-0.010614273	No	
row_11	COL4A1	NA	2699	0.1310136467218399	-0.0062605115	No	
row_12	FABP4	NA	2727	0.13062965869903564	0.004217335	No	
row_13	LEP	NA	2874	0.1281849592924118	0.0067500775	No	
row_14	PPARG	NA	2892	0.12790518999099731	0.017621303	No	
row_15	ENPP2	NA	3032	0.12555955350399017	0.02036217	No	
row_16	HSPB8	NA	3114	0.12408608198165894	0.026725965	No	
row_17	ADIPOQ	NA	3362	0.1200876459479332	0.02195161	No	
row_18	APOE	NA	3541	0.11673603951931	0.02133763	No	
row_19	PHLDB1	NA	3775	0.11259310692548752	0.016769486	No	
row_20	LIFR	NA	3803	0.11206162720918655	0.025509128	No	
row_21	C3	NA	3900	0.1102982610464096	0.02960957	No	
row_22	ACADL	NA	4007	0.1081121489405632	0.03285694	No	
row_23	LTC4S	NA	4117	0.10643088817596436	0.035752397	No	
row_24	GPX3	NA	4275	0.10346709191799164	0.035257965	No	
row_25	ADCY6	NA	4354	0.10191000998020172	0.039740324	No	
row_26	CD151	NA	5088	0.08689672499895096	3.4545624E-4	No	
row_27	ME1	NA	5285	0.08300027251243591	-0.004593783	No	
row_28	ANGPT1	NA	5290	0.08291677385568619	0.0029089083	No	
row_29	OMD	NA	5479	0.0783507376909256	-0.0019468467	No	
row_30	SORBS1	NA	5571	0.07640001177787781	-6.954983E-4	No	
row_31	ANGPTL4	NA	5698	0.07372546941041946	-0.001964006	No	
row_32	PTGER3	NA	5816	0.0712876245379448	-0.0028771453	No	
