NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PRG2	NA	428	0.18895173072814941	0.04281412	Yes	
row_1	CXCL6	NA	828	0.17167335748672485	0.08106198	Yes	
row_2	COL5A2	NA	979	0.16705158352851868	0.1335845	Yes	
row_3	POSTN	NA	1218	0.1606348603963852	0.1780668	Yes	
row_4	KCNJ8	NA	1237	0.16013912856578827	0.23649621	Yes	
row_5	SPP1	NA	1656	0.15022099018096924	0.2655415	Yes	
row_6	APOH	NA	1737	0.14830820262432098	0.31558624	Yes	
row_7	COL3A1	NA	2103	0.14152143895626068	0.34479892	Yes	
row_8	VTN	NA	2664	0.1316828727722168	0.35782516	Yes	
row_9	SERPINA5	NA	2854	0.12851083278656006	0.39350203	Yes	
row_10	JAG2	NA	2977	0.12634001672267914	0.43267485	Yes	
row_11	LUM	NA	3383	0.11976167559623718	0.45122167	Yes	
row_12	SLCO2A1	NA	3941	0.10945644974708557	0.45617044	Yes	
row_13	OLR1	NA	4021	0.10796505957841873	0.49126828	Yes	
row_14	MSX1	NA	4250	0.10389918833971024	0.51528233	Yes	
row_15	STC1	NA	4987	0.08914848417043686	0.50117683	No	
row_16	TNFRSF21	NA	5338	0.0817805677652359	0.5091243	No	
row_17	ITGAV	NA	7138	0.04291921854019165	0.4095364	No	
row_18	PGLYRP1	NA	7656	0.0333138033747673	0.38872287	No	
row_19	PTK2	NA	7665	0.03316013514995575	0.40054744	No	
row_20	JAG1	NA	8179	0.023886149749159813	0.37648293	No	
row_21	PDGFA	NA	8759	0.014397225342690945	0.34464827	No	
row_22	PF4	NA	8795	0.013851887546479702	0.34755418	No	
row_23	FSTL1	NA	9271	0.006314209662377834	0.3193923	No	
row_24	TIMP1	NA	9454	0.003771871328353882	0.30910513	No	
row_25	CCND2	NA	10059	-0.005230889655649662	0.27225393	No	
row_26	NRP1	NA	10631	-0.012571237049996853	0.24025372	No	
row_27	VCAN	NA	12573	-0.03964003920555115	0.13032441	No	
row_28	VAV2	NA	13201	-0.04924660548567772	0.108373486	No	
row_29	APP	NA	13241	-0.04993841424584389	0.12444976	No	
row_30	S100A4	NA	14335	-0.07225833833217621	0.081128	No	
