NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TRO	NA	297	0.19920878112316132	-0.005490542	Yes	
row_1	FBN1	NA	395	0.19112400710582733	0.0014231219	Yes	
row_2	NRAP	NA	461	0.1869257539510727	0.010120838	Yes	
row_3	PDZD3	NA	487	0.18549369275569916	0.021312164	Yes	
row_4	AMH	NA	584	0.18017520010471344	0.02753443	Yes	
row_5	CDH4	NA	593	0.1797623634338379	0.03943173	Yes	
row_6	ACTG2	NA	600	0.179403156042099	0.051433843	Yes	
row_7	CDH8	NA	731	0.1746506690979004	0.055070896	Yes	
row_8	VCAM1	NA	753	0.1735285222530365	0.06569507	Yes	
row_9	DMP1	NA	792	0.1724744588136673	0.07514461	Yes	
row_10	ITGA10	NA	880	0.16997411847114563	0.08124563	Yes	
row_11	SLC30A3	NA	949	0.16777028143405914	0.08842588	Yes	
row_12	ACTN2	NA	997	0.16662614047527313	0.09688818	Yes	
row_13	MMP2	NA	1098	0.16374823451042175	0.101716615	Yes	
row_14	CDH11	NA	1151	0.1622091680765152	0.10954978	Yes	
row_15	DSC1	NA	1190	0.16120755672454834	0.11822115	Yes	
row_16	COL9A1	NA	1267	0.1594032347202301	0.124304995	Yes	
row_17	CNTN1	NA	1338	0.15778297185897827	0.13066582	Yes	
row_18	CLDN19	NA	1534	0.15300853550434113	0.12859525	Yes	
row_19	VWF	NA	1815	0.14704981446266174	0.12060402	Yes	
row_20	CD209	NA	1862	0.1460067629814148	0.127707	Yes	
row_21	SHROOM2	NA	1888	0.14560890197753906	0.13614357	Yes	
row_22	CLDN18	NA	1904	0.14524497091770172	0.14520313	Yes	
row_23	CADM2	NA	2013	0.14349091053009033	0.14811394	Yes	
row_24	SLIT2	NA	2119	0.14122219383716583	0.15106249	Yes	
row_25	ADAMTS5	NA	2149	0.14055083692073822	0.15889046	Yes	
row_26	NLGN3	NA	2198	0.13970623910427094	0.16542864	Yes	
row_27	NLGN2	NA	2394	0.1361846923828125	0.16219608	Yes	
row_28	CDH6	NA	2568	0.13316476345062256	0.16018084	Yes	
row_29	CD34	NA	2569	0.13315699994564056	0.1693777	Yes	
row_30	LAMC2	NA	2582	0.13300873339176178	0.17778657	Yes	
row_31	LAMB3	NA	2718	0.1307803988456726	0.17806955	Yes	
row_32	KCNH2	NA	2719	0.1307472586631775	0.18709998	Yes	
row_33	ACTC1	NA	2753	0.1302649974822998	0.19395827	Yes	
row_34	MMP9	NA	2819	0.1290966421365738	0.19866185	Yes	
row_35	LAMA3	NA	2884	0.12807799875736237	0.2033599	Yes	
row_36	ADAM23	NA	2897	0.1278393566608429	0.21141173	Yes	
row_37	NFASC	NA	2934	0.12716783583164215	0.21786167	Yes	
row_38	CLDN14	NA	2936	0.12713730335235596	0.22657795	Yes	
row_39	ATP1A3	NA	3067	0.12485566735267639	0.22677578	Yes	
row_40	LAYN	NA	3207	0.12245291471481323	0.22622433	Yes	
row_41	COL17A1	NA	3259	0.12169113755226135	0.23132381	Yes	
row_42	NRTN	NA	3348	0.12022525817155838	0.23392397	Yes	
row_43	TNFRSF11B	NA	3353	0.12020362913608551	0.24196693	Yes	
row_44	ICAM4	NA	3358	0.12014416605234146	0.25000578	Yes	
row_45	THY1	NA	3375	0.11988072097301483	0.25724867	Yes	
row_46	CADM3	NA	3519	0.1173313558101654	0.25608423	Yes	
row_47	DSC3	NA	3681	0.11415968090295792	0.2535341	Yes	
row_48	CDH15	NA	3816	0.11191027611494064	0.25257856	Yes	
row_49	CLDN11	NA	3821	0.11180601269006729	0.2600415	Yes	
row_50	NEGR1	NA	3842	0.11136595159769058	0.26643705	Yes	
row_51	CLDN6	NA	3933	0.10978317260742188	0.2681864	Yes	
row_52	ITGA9	NA	4052	0.10731036961078644	0.26795015	Yes	
row_53	MYH10	NA	4082	0.10696202516555786	0.2734582	Yes	
row_54	MDK	NA	4128	0.10621695965528488	0.27787778	Yes	
row_55	CALB2	NA	4163	0.10552829504013062	0.28296277	Yes	
row_56	ALOX15B	NA	4351	0.10193966329097748	0.27788347	Yes	
row_57	SDC3	NA	4359	0.10184254497289658	0.28446385	Yes	
row_58	COL16A1	NA	4384	0.1013006940484047	0.28990495	Yes	
row_59	NECTIN4	NA	4400	0.10096508264541626	0.2959062	Yes	
row_60	CD276	NA	4512	0.09869836270809174	0.29552883	Yes	
row_61	ITGB4	NA	4552	0.09802983701229095	0.29977185	Yes	
row_62	PPP2R2C	NA	4582	0.09760714322328568	0.30463377	Yes	
row_63	CDH3	NA	4689	0.09537001699209213	0.30435058	Yes	
row_64	CX3CL1	NA	4888	0.09117394685745239	0.29781482	Yes	
