NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SRPX	NA	482	0.1857147514820099	0.02873583	Yes	
row_1	SLC22A12	NA	1474	0.1545533984899521	0.014737859	Yes	
row_2	SHROOM2	NA	1888	0.14560890197753906	0.035012797	Yes	
row_3	AFAP1L2	NA	2061	0.14238587021827698	0.069740824	Yes	
row_4	ATP6V0A4	NA	2447	0.13521139323711395	0.08847215	Yes	
row_5	LYPD3	NA	2601	0.132709801197052	0.12131009	Yes	
row_6	NTNG1	NA	2839	0.1287621408700943	0.1474799	Yes	
row_7	PCSK9	NA	2902	0.1277770847082138	0.18458049	Yes	
row_8	RTN4RL1	NA	2922	0.12737080454826355	0.22431412	Yes	
row_9	THY1	NA	3375	0.11988072097301483	0.23380983	Yes	
row_10	EFNA5	NA	3610	0.11547090858221054	0.2558988	Yes	
row_11	SCUBE1	NA	3741	0.11306513100862503	0.28389844	Yes	
row_12	PKHD1	NA	3944	0.10942896455526352	0.30610138	Yes	
row_13	RHCG	NA	4124	0.1063225269317627	0.3287837	Yes	
row_14	GHRL	NA	4681	0.09553863108158112	0.32376823	Yes	
row_15	CROCC	NA	4738	0.09420783072710037	0.3504606	Yes	
row_16	CX3CL1	NA	4888	0.09117394685745239	0.3702002	Yes	
row_17	SLC2A4	NA	5628	0.07506915181875229	0.3468413	No	
row_18	CD160	NA	5831	0.0709601417183876	0.35667497	No	
row_19	GSTM3	NA	6185	0.06352683901786804	0.35441354	No	
row_20	SLC34A3	NA	6492	0.05672059208154678	0.3529844	No	
row_21	DCBLD2	NA	6639	0.053342804312705994	0.36075258	No	
row_22	BRCA1	NA	7041	0.04489327222108841	0.3494147	No	
row_23	TMEM8B	NA	7068	0.044408850371837616	0.36202285	No	
row_24	MDGA1	NA	7458	0.036922577768564224	0.3488933	No	
row_25	EPHB4	NA	8707	0.015032933093607426	0.2735162	No	
row_26	IL2RG	NA	9076	0.009046564809978008	0.25277314	No	
row_27	HSPB1	NA	10186	-0.006802009884268045	0.18368317	No	
row_28	GATA3	NA	10430	-0.009960643947124481	0.17126796	No	
row_29	AKAP7	NA	10457	-0.01030728779733181	0.1729111	No	
row_30	IL2RB	NA	10973	-0.01713702082633972	0.14532152	No	
row_31	NCOA6	NA	11088	-0.018467480316758156	0.1439326	No	
row_32	SULF2	NA	11382	-0.02293531410396099	0.13247567	No	
row_33	ADIPOR2	NA	12603	-0.040136177092790604	0.06696984	No	
row_34	APP	NA	13241	-0.04993841424584389	0.0420861	No	
row_35	LYN	NA	13283	-0.05070280656218529	0.055753935	No	
row_36	B4GALT1	NA	13904	-0.062281932681798935	0.035931736	No	
row_37	ADAM10	NA	14350	-0.0727066844701767	0.030709023	No	
row_38	FLOT2	NA	14381	-0.07322769612073898	0.052326497	No	
row_39	PLAUR	NA	14631	-0.08032475411891937	0.062150504	No	
