NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TTR	NA	363	0.19367335736751556	0.0033371202	Yes	
row_1	ABCG8	NA	446	0.18810534477233887	0.024039673	Yes	
row_2	GC	NA	467	0.18654660880565643	0.04852811	Yes	
row_3	ABCA8	NA	708	0.1754707396030426	0.057287827	Yes	
row_4	DIO2	NA	823	0.17175838351249695	0.073666185	Yes	
row_5	NR1H4	NA	1193	0.1611710786819458	0.07212454	Yes	
row_6	NR0B2	NA	1363	0.15733499825000763	0.08296017	Yes	
row_7	ABCA9	NA	1478	0.15435448288917542	0.096933454	Yes	
row_8	CYP8B1	NA	1582	0.15180036425590515	0.111263685	Yes	
row_9	SLC23A1	NA	1924	0.14503663778305054	0.109299436	Yes	
row_10	SOAT2	NA	1934	0.14494328200817108	0.12874855	Yes	
row_11	BBOX1	NA	1953	0.1445089876651764	0.14755681	Yes	
row_12	ABCA4	NA	2039	0.14300572872161865	0.16183336	Yes	
row_13	AKR1D1	NA	2184	0.13995175063610077	0.1718802	Yes	
row_14	RXRG	NA	2239	0.13882416486740112	0.18757954	Yes	
row_15	APOA1	NA	2414	0.13580799102783203	0.19511764	Yes	
row_16	ABCA6	NA	2466	0.13497380912303925	0.2104785	Yes	
row_17	KLF1	NA	2606	0.13260143995285034	0.21983227	Yes	
row_18	ALDH8A1	NA	2725	0.1306535005569458	0.23027213	Yes	
row_19	SLC27A5	NA	2739	0.13043104112148285	0.24745762	Yes	
row_20	SLCO1A2	NA	2864	0.1283346563577652	0.2571898	Yes	
row_21	NR1I2	NA	3532	0.11697535961866379	0.23030868	Yes	
row_22	HSD3B1	NA	3604	0.11558752506971359	0.24169978	Yes	
row_23	ABCG4	NA	3652	0.11472464352846146	0.25452054	Yes	
row_24	CYP7A1	NA	3703	0.11389727145433426	0.26703334	Yes	
row_25	RBP1	NA	3718	0.11361096799373627	0.2818299	Yes	
row_26	AGXT	NA	3927	0.10991504788398743	0.28359556	Yes	
row_27	SULT1B1	NA	4090	0.10679088532924652	0.28789818	Yes	
row_28	PIPOX	NA	4402	0.10094671696424484	0.28177717	No	
row_29	CYP46A1	NA	4949	0.08991246670484543	0.25896513	No	
row_30	HAO1	NA	5004	0.08876833319664001	0.2677472	No	
row_31	DIO1	NA	5279	0.08307037502527237	0.2615437	No	
row_32	SLC27A2	NA	5452	0.07897976040840149	0.26135767	No	
row_33	SULT2B1	NA	5549	0.07671447098255157	0.26576343	No	
row_34	CYP7B1	NA	5596	0.07571421563625336	0.2732578	No	
row_35	TFCP2L1	NA	5995	0.0677800327539444	0.25693873	No	
row_36	NUDT12	NA	6038	0.06691962480545044	0.2634759	No	
row_37	BCAR3	NA	6047	0.06679539382457733	0.27219018	No	
row_38	HSD17B6	NA	6080	0.06599622219800949	0.2792451	No	
row_39	LIPE	NA	6461	0.0574512779712677	0.26266035	No	
row_40	NR3C2	NA	6624	0.05365702137351036	0.2596203	No	
row_41	PEX12	NA	6648	0.053170736879110336	0.26548374	No	
row_42	EFHC1	NA	6663	0.05293567478656769	0.27189547	No	
row_43	PXMP2	NA	6814	0.04989663511514664	0.26911023	No	
row_44	FADS2	NA	6857	0.04869331046938896	0.2731287	No	
row_45	PAOX	NA	6885	0.048294052481651306	0.27806002	No	
row_46	HSD3B7	NA	7020	0.04517510160803795	0.27565488	No	
row_47	NEDD4	NA	7074	0.0441993810236454	0.2783424	No	
row_48	ABCA1	NA	7165	0.042096465826034546	0.27835146	No	
row_49	AQP9	NA	7251	0.04071769118309021	0.27849266	No	
row_50	ABCA3	NA	7326	0.039295077323913574	0.27914718	No	
row_51	PFKM	NA	7338	0.03905147314071655	0.28383386	No	
row_52	SLC23A2	NA	7566	0.03501919284462929	0.27402332	No	
row_53	MLYCD	NA	7618	0.03406624123454094	0.27543962	No	
row_54	CYP39A1	NA	8159	0.024222522974014282	0.24393702	No	
row_55	AMACR	NA	8204	0.023470856249332428	0.24434087	No	
row_56	PEX19	NA	8209	0.023429453372955322	0.24732047	No	
row_57	PEX11G	NA	8291	0.021808480843901634	0.24510673	No	
row_58	PEX6	NA	8383	0.020245151594281197	0.24203157	No	
row_59	ATXN1	NA	8600	0.017077220603823662	0.23045152	No	
row_60	FDXR	NA	8833	0.012860034592449665	0.2172561	No	
row_61	ABCD1	NA	9031	0.009742099791765213	0.2058886	No	
row_62	PECR	NA	9067	0.009180629625916481	0.20489849	No	
row_63	ABCA5	NA	9097	0.008758426643908024	0.20423725	No	
row_64	HACL1	NA	9100	0.008723814971745014	0.20531374	No	
row_65	BMP6	NA	9241	0.006832031067460775	0.1972227	No	
row_66	PEX16	NA	9647	7.859835168346763E-4	0.17119385	No	
row_67	PEX11A	NA	9736	-5.70397125557065E-4	0.16559342	No	
row_68	ABCD3	NA	9738	-6.088303634896874E-4	0.16561301	No	
row_69	ABCD2	NA	9846	-0.0021428021136671305	0.15900367	No	
row_70	PHYH	NA	9966	-0.003775844117626548	0.15184557	No	
row_71	IDH1	NA	10041	-0.004789977800101042	0.14773178	No	
row_72	FADS1	NA	10297	-0.008494824171066284	0.13244876	No	
row_73	RETSAT	NA	10728	-0.01377107109874487	0.106600925	No	
row_74	HSD17B4	NA	10742	-0.01401577703654766	0.107698806	No	
row_75	ISOC1	NA	10987	-0.017414292320609093	0.094358295	No	
row_76	PEX7	NA	11041	-0.017947044223546982	0.09341797	No	
row_77	SLC29A1	NA	11064	-0.018219010904431343	0.094515875	No	
row_78	GSTK1	NA	11465	-0.024150921031832695	0.072038546	No	
row_79	CYP27A1	NA	11668	-0.026979990303516388	0.06273049	No	
row_80	GNMT	NA	11711	-0.027489112690091133	0.0638187	No	
row_81	EPHX2	NA	11834	-0.029270781204104424	0.05999017	No	
row_82	ACSL5	NA	12147	-0.033358652144670486	0.04446453	No	
row_83	ALDH9A1	NA	12161	-0.03356979414820671	0.04826461	No	
row_84	AR	NA	12229	-0.03444154933094978	0.048700172	No	
row_85	DHCR24	NA	12365	-0.03634750843048096	0.045010604	No	
row_86	NPC1	NA	12397	-0.03677216172218323	0.04809156	No	
row_87	ALDH1A1	NA	12401	-0.03692864254117012	0.05300118	No	
row_88	PEX1	NA	13199	-0.04924030974507332	0.008369828	No	
row_89	GNPAT	NA	13319	-0.05141592398285866	0.00779518	No	
row_90	CROT	NA	13322	-0.051480114459991455	0.014780226	No	
row_91	OPTN	NA	13343	-0.05192279815673828	0.020664783	No	
row_92	PEX13	NA	13450	-0.053622156381607056	0.021233998	No	
row_93	LONP2	NA	13527	-0.055121421813964844	0.023946509	No	
row_94	PRDX5	NA	13592	-0.056396614760160446	0.027609682	No	
row_95	PNPLA8	NA	14048	-0.06537047773599625	0.0072790217	No	
row_96	ACSL1	NA	14202	-0.06896806508302689	0.006935676	No	
row_97	SCP2	NA	14205	-0.0690029188990593	0.016342226	No	
row_98	LCK	NA	14300	-0.07144813239574432	0.020149287	No	
row_99	HSD17B11	NA	14344	-0.07251150906085968	0.02739468	No	
row_100	CAT	NA	14625	-0.08026647567749023	0.020416487	No	
row_101	IDI1	NA	14986	-0.09417861700057983	0.010197881	No	
row_102	SOD1	NA	15102	-0.10042482614517212	0.016654	No	
row_103	IDH2	NA	15234	-0.11065572500228882	0.023491353	No	
