NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	F9	NA	49	0.25829464197158813	0.018206855	Yes	
row_1	RGN	NA	132	0.22373391687870026	0.031421423	Yes	
row_2	FBN1	NA	395	0.19112400710582733	0.030305937	Yes	
row_3	FGA	NA	436	0.18841993808746338	0.043312415	Yes	
row_4	F13B	NA	579	0.18040697276592255	0.04906456	Yes	
row_5	DCT	NA	625	0.1785687804222107	0.060932778	Yes	
row_6	FGG	NA	764	0.17312313616275787	0.066340685	Yes	
row_7	LEFTY2	NA	984	0.16701173782348633	0.06600864	Yes	
row_8	CPN1	NA	1047	0.16528500616550446	0.075679116	Yes	
row_9	MMP2	NA	1098	0.16374823451042175	0.085997865	Yes	
row_10	HNF4A	NA	1100	0.16370980441570282	0.09947983	Yes	
row_11	MMP3	NA	1126	0.16288705170154572	0.11134283	Yes	
row_12	MMP1	NA	1195	0.1611492931842804	0.12028336	Yes	
row_13	TFPI2	NA	1351	0.15755654871463776	0.12330462	Yes	
row_14	CPB2	NA	1370	0.1571529060602188	0.13514547	Yes	
row_15	F12	NA	1371	0.15714915096759796	0.14814919	Yes	
row_16	MBL2	NA	1383	0.1569327563047409	0.16042417	Yes	
row_17	HRG	NA	1424	0.15571001172065735	0.17072397	Yes	
row_18	GDA	NA	1580	0.15184906125068665	0.17327297	Yes	
row_19	PROZ	NA	1607	0.15121804177761078	0.18410575	Yes	
row_20	C1S	NA	1744	0.1481466293334961	0.18757616	Yes	
row_21	A2M	NA	1762	0.1478973925113678	0.19871576	Yes	
row_22	COMP	NA	1766	0.1478191763162613	0.21075357	Yes	
row_23	VWF	NA	1815	0.14704981446266174	0.21981981	Yes	
row_24	SERPINC1	NA	1910	0.14516015350818634	0.22575715	Yes	
row_25	PLAT	NA	1969	0.14435026049613953	0.2339538	Yes	
row_26	CFH	NA	1975	0.14419196546077728	0.24556224	Yes	
row_27	PLAU	NA	2034	0.14306685328483582	0.2536527	Yes	
row_28	C9	NA	2087	0.14179691672325134	0.26202577	Yes	
row_29	ACOX2	NA	2105	0.1414702981710434	0.27263355	Yes	
row_30	CTSE	NA	2113	0.1413382738828659	0.28387663	Yes	
row_31	MMP7	NA	2215	0.13934600353240967	0.2888805	Yes	
row_32	MEP1A	NA	2249	0.13869477808475494	0.2982247	Yes	
row_33	C8A	NA	2333	0.13725833594799042	0.30421898	Yes	
row_34	APOA1	NA	2414	0.13580799102783203	0.31028715	Yes	
row_35	HMGCS2	NA	2527	0.13390298187732697	0.3141298	Yes	
row_36	F11	NA	2583	0.13296154141426086	0.32157794	Yes	
row_37	F2	NA	2650	0.13188935816287994	0.3282265	Yes	
row_38	C8B	NA	2726	0.13063766062259674	0.33418992	Yes	
row_39	S100A1	NA	2767	0.13000468909740448	0.3423627	Yes	
row_40	PLG	NA	2800	0.12945623695850372	0.35100704	Yes	
row_41	MMP9	NA	2819	0.1290966421365738	0.3605263	Yes	
row_42	MMP8	NA	2850	0.12857061624526978	0.3692266	Yes	
row_43	SERPINE1	NA	2940	0.12712889909744263	0.37399498	Yes	
row_44	KLK8	NA	2988	0.12620124220848083	0.38140067	Yes	
row_45	ITIH1	NA	3122	0.1239696592092514	0.38306436	Yes	
row_46	TMPRSS6	NA	3166	0.12328214198350906	0.390487	Yes	
row_47	APOC2	NA	3286	0.12123008072376251	0.39282864	Yes	
row_48	HTRA1	NA	3291	0.12115919589996338	0.4025958	Yes	
row_49	APOC3	NA	3448	0.11861828714609146	0.4023304	Yes	
row_50	CFI	NA	3487	0.11801009625196457	0.40963987	Yes	
row_51	KLKB1	NA	3526	0.11718998104333878	0.41688147	Yes	
row_52	TF	NA	3556	0.11645309627056122	0.4246437	Yes	
row_53	PROC	NA	3760	0.11274978518486023	0.42085555	Yes	
row_54	F10	NA	3882	0.11070643365383148	0.42219716	Yes	
row_55	F3	NA	3883	0.11069871485233307	0.4313572	Yes	
row_56	C3	NA	3900	0.1102982610464096	0.4394502	Yes	
row_57	OLR1	NA	4021	0.10796505957841873	0.4406296	Yes	
