NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ADCY6	NA	4354	0.10191000998020172	-0.26385644	No	
row_1	GSDME	NA	4774	0.09360460937023163	-0.27466354	No	
row_2	VPS37D	NA	4897	0.09094833582639694	-0.26672456	No	
row_3	NPR2	NA	5740	0.07275396585464478	-0.30851805	No	
row_4	BCAM	NA	6281	0.06140846759080887	-0.3327544	No	
row_5	PDE6G	NA	6458	0.05747995153069496	-0.33413294	No	
row_6	ZWINT	NA	6681	0.052588898688554764	-0.3393378	No	
row_7	GTF2H5	NA	6926	0.04709021747112274	-0.34692252	No	
row_8	ERCC4	NA	7109	0.04343751072883606	-0.35113314	No	
row_9	BRF2	NA	7123	0.043143630027770996	-0.34446487	No	
row_10	RAD51	NA	7363	0.03853403776884079	-0.3532154	No	
row_11	POLB	NA	7381	0.038248129189014435	-0.3476579	No	
row_12	POLR1C	NA	7406	0.037868838757276535	-0.34261912	No	
row_13	NME1	NA	7583	0.03473939001560211	-0.34795558	No	
row_14	RPA3	NA	7658	0.03328147530555725	-0.34694898	No	
row_15	AGO4	NA	7823	0.03007252886891365	-0.3523216	No	
row_16	TK2	NA	7833	0.029829416424036026	-0.34771195	No	
row_17	POLA2	NA	7834	0.029825765639543533	-0.34252086	No	
row_18	CDA	NA	7996	0.026754627004265785	-0.3482769	No	
row_19	TAF13	NA	8183	0.023809783160686493	-0.3561624	No	
row_20	TAF1C	NA	8220	0.023160310462117195	-0.3544597	No	
row_21	RFC5	NA	8239	0.022922862321138382	-0.35163417	No	
row_22	NME4	NA	8272	0.022200018167495728	-0.34983993	No	
row_23	SNAPC5	NA	8297	0.02171168103814125	-0.34761328	No	
row_24	UPF3B	NA	8515	0.01830759271979332	-0.3584613	No	
row_25	SNAPC4	NA	8518	0.018265265971422195	-0.35541162	No	
row_26	TARBP2	NA	8752	0.014448603615164757	-0.3679661	No	
row_27	POLD4	NA	8796	0.01384828519076109	-0.36833686	No	
row_28	ALYREF	NA	8909	0.011421660892665386	-0.37359253	No	
row_29	TAF10	NA	8996	0.010180293582379818	-0.3773827	No	
row_30	POLD3	NA	9065	0.009182573296129704	-0.38018236	No	
row_31	CMPK2	NA	9207	0.007284562569111586	-0.38803363	No	
row_32	ERCC8	NA	9214	0.007163798436522484	-0.38717484	No	
row_33	RRM2B	NA	9465	0.0036323366221040487	-0.40271133	No	
row_34	TYMS	NA	9492	0.0032432186417281628	-0.40382838	No	
row_35	GTF2H3	NA	9523	0.002709301421418786	-0.4052971	No	
row_36	ADA	NA	9535	0.0025830655358731747	-0.40555894	No	
row_37	RAD52	NA	9550	0.0022591371089220047	-0.4060712	No	
row_38	DCTN4	NA	9603	0.0013431148836389184	-0.4092005	No	
row_39	AK3	NA	9691	1.0634376667439938E-4	-0.4148087	No	
row_40	MPC2	NA	9780	-0.0012172551359981298	-0.4202882	No	
row_41	POLE4	NA	9801	-0.0015744926640763879	-0.42130765	No	
row_42	GTF2A2	NA	9802	-0.0015956568531692028	-0.42102996	No	
row_43	SUPT4H1	NA	9841	-0.0021059615537524223	-0.42312104	No	
row_44	LIG1	NA	10092	-0.0056943162344396114	-0.43829864	No	
row_45	POLR2I	NA	10097	-0.0057998476549983025	-0.4375479	No	
row_46	GTF3C5	NA	10119	-0.006023310124874115	-0.43785772	No	
row_47	POLL	NA	10193	-0.006925950758159161	-0.44137353	No	
