NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PDZK1	NA	221	0.20705264806747437	0.0048559923	Yes	
row_1	GJA1	NA	623	0.17860177159309387	-0.0045880475	Yes	
row_2	KCNK15	NA	766	0.17309747636318207	0.0022424848	Yes	
row_3	GFRA1	NA	1071	0.16454963386058807	-0.0022170567	Yes	
row_4	KRT19	NA	1449	0.15500092506408691	-0.012291764	Yes	
row_5	CALCR	NA	1494	0.15408991277217865	-8.709153E-4	Yes	
row_6	CXCL12	NA	1639	0.15058013796806335	0.0037443861	Yes	
row_7	KLK10	NA	1917	0.1450812965631485	-7.686436E-4	Yes	
row_8	KRT15	NA	1977	0.1441373974084854	0.008758305	Yes	
row_9	SYT12	NA	2229	0.13908961415290833	0.0053752274	Yes	
row_10	KRT13	NA	2375	0.13657845556735992	0.008628848	Yes	
row_11	THSD4	NA	2493	0.1344892680644989	0.013503492	Yes	
row_12	ELOVL2	NA	2781	0.12977910041809082	0.006925082	Yes	
row_13	PGR	NA	2900	0.12782317399978638	0.011117487	Yes	
row_14	CYP26B1	NA	2966	0.12663602828979492	0.01863458	Yes	
row_15	OLFML3	NA	2976	0.12635396420955658	0.029754607	Yes	
row_16	HSPB8	NA	3114	0.12408608198165894	0.032369584	Yes	
row_17	ADCY1	NA	3120	0.12402859330177307	0.043533448	Yes	
row_18	NPY1R	NA	3168	0.12322460860013962	0.05190105	Yes	
row_19	DHRS2	NA	3219	0.12230467051267624	0.059989028	Yes	
row_20	DLC1	NA	3309	0.12096013873815536	0.06542509	Yes	
row_21	TFF1	NA	3314	0.12085770815610886	0.07636006	Yes	
row_22	TMPRSS3	NA	3330	0.12062333524227142	0.08656047	Yes	
row_23	MSMB	NA	3421	0.11905424296855927	0.091755204	Yes	
row_24	TBC1D30	NA	3542	0.11668989062309265	0.09478681	Yes	
row_25	MPPED2	NA	3650	0.11474034935235977	0.09848029	Yes	
row_26	KAZN	NA	3871	0.1108783408999443	0.09449315	Yes	
row_27	PTGES	NA	4161	0.10561224073171616	0.085546724	Yes	
row_28	CALB2	NA	4163	0.10552829504013062	0.095256254	Yes	
row_29	NAV2	NA	4299	0.10289133340120316	0.09603772	Yes	
row_30	TSKU	NA	4396	0.10102430731058121	0.09917364	Yes	
row_31	TPBG	NA	4452	0.09989411383867264	0.10486187	Yes	
row_32	FRK	NA	4526	0.09843730181455612	0.10924868	Yes	
row_33	CA12	NA	4620	0.09674770385026932	0.1121829	Yes	
row_34	PDLIM3	NA	4693	0.09520959109067917	0.116335556	Yes	
row_35	SCNN1A	NA	4729	0.0943676009774208	0.122807994	Yes	
row_36	RAPGEFL1	NA	4822	0.09249849617481232	0.12541345	Yes	
row_37	SLC7A2	NA	4875	0.0913391038775444	0.1305037	Yes	
row_38	IGFBP4	NA	4919	0.09050330519676208	0.13609977	Yes	
row_39	REEP1	NA	4958	0.08976729214191437	0.14195171	Yes	
row_40	CELSR2	NA	5039	0.08789894729852676	0.14490879	Yes	
row_41	CCN5	NA	5046	0.08774527162313461	0.15264718	Yes	
row_42	SLC24A3	NA	5128	0.08620915561914444	0.15538295	Yes	
row_43	SYBU	NA	5169	0.08518028259277344	0.16068041	Yes	
row_44	TPD52L1	NA	5254	0.08368901163339615	0.16298833	Yes	
row_45	OVOL2	NA	5277	0.08316328376531601	0.16926546	Yes	
row_46	TGM2	NA	5421	0.07973708212375641	0.16738388	Yes	
row_47	SLC27A2	NA	5452	0.07897976040840149	0.17275508	Yes	
row_48	NBL1	NA	5507	0.0778149962425232	0.17646307	Yes	
row_49	SLC1A1	NA	5512	0.07773084938526154	0.1834035	Yes	
row_50	WWC1	NA	5544	0.07681673020124435	0.18850955	Yes	
row_51	SULT2B1	NA	5549	0.07671447098255157	0.19535585	Yes	
row_52	MUC1	NA	5629	0.07506860047578812	0.19718936	Yes	
row_53	TUBB2B	NA	5635	0.07499987632036209	0.20381203	Yes	
row_54	ANXA9	NA	5726	0.0731293112039566	0.20475307	Yes	
row_55	MLPH	NA	5988	0.06797085702419281	0.19413473	Yes	
row_56	FARP1	NA	6022	0.06722592562437057	0.19822283	Yes	
row_57	RHOBTB3	NA	6026	0.06710091233253479	0.2042435	Yes	
row_58	OLFM1	NA	6044	0.0668715164065361	0.20933564	Yes	
row_59	GREB1	NA	6106	0.06534706801176071	0.2114352	Yes	
row_60	TFF3	NA	6124	0.06486479938030243	0.21634148	Yes	
row_61	ZNF185	NA	6215	0.06287229806184769	0.21633248	Yes	
row_62	DEPTOR	NA	6229	0.06250817328691483	0.22127971	Yes	
row_63	P2RY2	NA	6294	0.06114247441291809	0.22279541	Yes	
row_64	IL17RB	NA	6332	0.06041393056511879	0.22599335	Yes	
row_65	IGF1R	NA	6452	0.05756005644798279	0.22361298	Yes	
row_66	RAB17	NA	6612	0.054139990359544754	0.21832365	Yes	
row_67	ESRP2	NA	6621	0.05378585681319237	0.22278701	Yes	
row_68	CCND1	NA	6646	0.05322599411010742	0.22616164	Yes	
row_69	KRT8	NA	6842	0.049041494727134705	0.21806711	No	
row_70	FHL2	NA	6866	0.048564862459897995	0.22107482	No	
row_71	SNX24	NA	6870	0.04847026988863945	0.22536986	No	
row_72	PODXL	NA	6998	0.04548967257142067	0.22135305	No	
row_73	ARL3	NA	7113	0.04337320476770401	0.21798268	No	
row_74	RHOD	NA	7125	0.04310581833124161	0.22126243	No	
row_75	ABCA3	NA	7326	0.039295077323913574	0.21194112	No	
row_76	CHPT1	NA	7366	0.03843381255865097	0.2129736	No	
row_77	SLC26A2	NA	7411	0.037694890052080154	0.2136136	No	
row_78	CLIC3	NA	7431	0.03724256530404091	0.21583182	No	
row_79	SLC19A2	NA	7483	0.03632549196481705	0.21589136	No	
row_80	ELF3	NA	7564	0.03505624458193779	0.213954	No	
row_81	STC2	NA	7588	0.03466710448265076	0.21567446	No	
row_82	PAPSS2	NA	7591	0.03456806764006615	0.21874665	No	
row_83	SEC14L2	NA	7652	0.033353500068187714	0.21794766	No	
row_84	WFS1	NA	7759	0.03131270781159401	0.21397865	No	
row_85	LAD1	NA	7780	0.030859287828207016	0.21554084	No	
row_86	RETREG1	NA	7835	0.02976711466908455	0.2147985	No	
row_87	TFAP2C	NA	7896	0.028633954003453255	0.21356238	No	
row_88	MAST4	NA	8053	0.02566242776811123	0.2058298	No	
row_89	MREG	NA	8237	0.02296246588230133	0.1960974	No	
row_90	SLC1A4	NA	8326	0.021051693707704544	0.19234446	No	
row_91	FKBP4	NA	8462	0.019124513491988182	0.18536721	No	
row_92	ABAT	NA	8489	0.018770955502986908	0.1854209	No	
row_93	CLDN7	NA	8609	0.016960885375738144	0.17928012	No	
row_94	HES1	NA	8646	0.016366533935070038	0.17846307	No	
row_95	MINDY1	NA	8670	0.01589941419661045	0.17844522	No	
row_96	RARA	NA	8847	0.012651406228542328	0.16821142	No	
row_97	FCMR	NA	8886	0.011898634023964405	0.16685092	No	
row_98	TMEM164	NA	8989	0.010244449600577354	0.16118972	No	
row_99	ADCY9	NA	8995	0.010185910388827324	0.16180915	No	
row_100	LRIG1	NA	9098	0.008749562315642834	0.1560095	No	
row_101	AKAP1	NA	9181	0.007638477720320225	0.15140301	No	
row_102	SLC16A1	NA	9229	0.006974475458264351	0.1490032	No	
row_103	GLA	NA	9245	0.006779294926673174	0.14865904	No	
row_104	OPN3	NA	9352	0.005059610586613417	0.14225839	No	
row_105	ASB13	NA	9437	0.004101114813238382	0.13719465	No	
