NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLAC1	NA	157	0.21891017258167267	0.008538155	Yes	
row_1	IGSF1	NA	219	0.2072046399116516	0.022296594	Yes	
row_2	PDZK1	NA	221	0.20705264806747437	0.039930068	Yes	
row_3	TFPI2	NA	1351	0.15755654871463776	-0.019762112	Yes	
row_4	SERPINA3	NA	1360	0.15737728774547577	-0.0068283505	Yes	
row_5	KRT19	NA	1449	0.15500092506408691	7.1825285E-4	Yes	
row_6	CALCR	NA	1494	0.15408991277217865	0.011038204	Yes	
row_7	CXCL12	NA	1639	0.15058013796806335	0.014578107	Yes	
row_8	CCNA1	NA	1763	0.14786753058433533	0.019246953	Yes	
row_9	ASCL1	NA	1859	0.14611589908599854	0.025580486	Yes	
row_10	KLK10	NA	1917	0.1450812965631485	0.034288	Yes	
row_11	ACOX2	NA	2105	0.1414702981710434	0.034262806	Yes	
row_12	PKP3	NA	2172	0.14010392129421234	0.041961662	Yes	
row_13	KRT13	NA	2375	0.13657845556735992	0.04054632	Yes	
row_14	HMGCS2	NA	2527	0.13390298187732697	0.042207103	Yes	
row_15	LAMC2	NA	2582	0.13300873339176178	0.050077092	Yes	
row_16	TH	NA	2662	0.13170139491558075	0.05621532	Yes	
row_17	NMU	NA	2705	0.13096660375595093	0.064688355	Yes	
row_18	SERPINA5	NA	2854	0.12851083278656006	0.06608264	Yes	
row_19	PGR	NA	2900	0.12782317399978638	0.07409258	Yes	
row_20	CYP26B1	NA	2966	0.12663602828979492	0.08070505	Yes	
row_21	CXCL14	NA	2975	0.12636369466781616	0.09098785	Yes	
row_22	PCP4	NA	3045	0.1252792924642563	0.097225145	Yes	
row_23	HSPB8	NA	3114	0.12408608198165894	0.10342524	Yes	
row_24	NPY1R	NA	3168	0.12322460860013962	0.11052371	Yes	
row_25	DHRS2	NA	3219	0.12230467051267624	0.11773794	Yes	
row_26	GAL	NA	3289	0.12119027972221375	0.12362572	Yes	
row_27	GJB3	NA	3296	0.12108901888132095	0.13358726	Yes	
row_28	TFF1	NA	3314	0.12085770815610886	0.14281623	Yes	
row_29	TMPRSS3	NA	3330	0.12062333524227142	0.15215476	Yes	
row_30	CHST8	NA	3593	0.11577190458774567	0.1450729	Yes	
row_31	GINS2	NA	3616	0.11539136618375778	0.15351063	Yes	
row_32	CPE	NA	3752	0.11291643232107162	0.15441436	Yes	
row_33	LARGE1	NA	3880	0.11073540151119232	0.15565005	Yes	
row_34	MDK	NA	4128	0.10621695965528488	0.14872347	Yes	
row_35	PTGES	NA	4161	0.10561224073171616	0.15567729	Yes	
row_36	ST6GALNAC2	NA	4211	0.10476416349411011	0.16145702	Yes	
row_37	KLK11	NA	4233	0.10423751920461655	0.16900614	Yes	
row_38	CAV1	NA	4312	0.10256235301494598	0.17271844	Yes	
row_39	TPBG	NA	4452	0.09989411383867264	0.17224985	Yes	
row_40	FRK	NA	4526	0.09843730181455612	0.17593355	Yes	
row_41	CA12	NA	4620	0.09674770385026932	0.17817684	Yes	
row_42	PDLIM3	NA	4693	0.09520959109067917	0.18164946	Yes	
row_43	SCNN1A	NA	4729	0.0943676009774208	0.18744771	Yes	
row_44	RAPGEFL1	NA	4822	0.09249849617481232	0.18939258	Yes	
row_45	IGFBP4	NA	4919	0.09050330519676208	0.19090772	Yes	
row_46	PLXNB1	NA	4966	0.08956864476203918	0.19558297	Yes	
row_47	KIF20A	NA	5032	0.08796126395463943	0.19888963	Yes	
row_48	CELSR2	NA	5039	0.08789894729852676	0.20601417	Yes	
row_49	CCN5	NA	5046	0.08774527162313461	0.21312559	Yes	
row_50	SLC24A3	NA	5128	0.08620915561914444	0.21524566	Yes	
row_51	TPD52L1	NA	5254	0.08368901163339615	0.21429911	Yes	
row_52	HOMER2	NA	5256	0.08366189897060394	0.2213855	Yes	
row_53	OVOL2	NA	5277	0.08316328376531601	0.22719805	Yes	
row_54	TRIM29	NA	5300	0.08266377449035645	0.2328383	Yes	
row_55	SORD	NA	5309	0.08248823881149292	0.23937076	Yes	
row_56	SLC27A2	NA	5452	0.07897976040840149	0.23692007	Yes	
row_57	NBL1	NA	5507	0.0778149962425232	0.24007225	Yes	
row_58	SULT2B1	NA	5549	0.07671447098255157	0.24397278	Yes	
row_59	HSPA4L	NA	5663	0.07456054538488388	0.24302354	Yes	
row_60	ANXA9	NA	5726	0.0731293112039566	0.24525681	Yes	
row_61	PTGER3	NA	5816	0.0712876245379448	0.24558304	Yes	
row_62	PRLR	NA	5974	0.06830698251724243	0.24124806	Yes	
row_63	FARP1	NA	6022	0.06722592562437057	0.24394873	Yes	
row_64	OLFM1	NA	6044	0.0668715164065361	0.2483039	Yes	
row_65	ASS1	NA	6105	0.06536314636468887	0.25000292	Yes	
row_66	TFF3	NA	6124	0.06486479938030243	0.25438097	Yes	
row_67	EMP2	NA	6196	0.06335016340017319	0.25519514	Yes	
row_68	IL17RB	NA	6332	0.06041393056511879	0.2516111	Yes	
row_69	CDH1	NA	6436	0.05792105942964554	0.24988759	Yes	
row_70	DNAJC12	NA	6477	0.05712439492344856	0.2521784	Yes	
row_71	CYP4F11	NA	6505	0.05647769570350647	0.25525635	Yes	
row_72	CCND1	NA	6646	0.05322599411010742	0.25073388	No	
row_73	AGR2	NA	6748	0.051256388425827026	0.24857031	No	
row_74	PLK4	NA	6854	0.048779863864183426	0.24593583	No	
row_75	STIL	NA	6876	0.04844401404261589	0.24871588	No	
row_76	TNNC1	NA	7035	0.04497136175632477	0.24232143	No	
row_77	ARL3	NA	7113	0.04337320476770401	0.24103922	No	
row_78	ABCA3	NA	7326	0.039295077323913574	0.23066036	No	
row_79	CHPT1	NA	7366	0.03843381255865097	0.23141836	No	
row_80	SLC26A2	NA	7411	0.037694890052080154	0.2317892	No	
row_81	CLIC3	NA	7431	0.03724256530404091	0.23374137	No	
row_82	PAPSS2	NA	7591	0.03456806764006615	0.2263929	No	
row_83	BATF	NA	7641	0.03350747749209404	0.22608179	No	
row_84	GALE	NA	7724	0.03206269443035126	0.22350879	No	
row_85	WFS1	NA	7759	0.03131270781159401	0.2239821	No	
row_86	CDC6	NA	7809	0.03034691885113716	0.22340085	No	
row_87	TFAP2C	NA	7896	0.028633954003453255	0.22027557	No	
row_88	UNC13B	NA	8215	0.02330009639263153	0.20166065	No	
row_89	SLC1A4	NA	8326	0.021051693707704544	0.19633205	No	
row_90	CDC20	NA	8367	0.020437093451619148	0.19548693	No	
row_91	FKBP4	NA	8462	0.019124513491988182	0.19103041	No	
row_92	RNASEH2A	NA	8688	0.015449241735041142	0.17777087	No	
row_93	DNAJC1	NA	8859	0.01240830309689045	0.16781543	No	
row_94	CA2	NA	9046	0.009580648504197598	0.15658148	No	
row_95	MEST	NA	9096	0.00875935424119234	0.15415499	No	
row_96	LLGL2	NA	9115	0.00851841177791357	0.1537167	No	
row_97	UGDH	NA	9120	0.008447851054370403	0.1541796	No	
row_98	MOCS2	NA	9215	0.0071541378274559975	0.14869988	No	
row_99	SLC16A1	NA	9229	0.006974475458264351	0.14845362	No	
row_100	GLA	NA	9245	0.006779294926673174	0.1480611	No	
row_101	FABP5	NA	9268	0.006346587091684341	0.14717798	No	
row_102	OPN3	NA	9352	0.005059610586613417	0.14223203	No	
row_103	GPER1	NA	9478	0.0034381195437163115	0.13442585	No	
row_104	AMFR	NA	9599	0.00141216313932091	0.12677051	No	
row_105	AREG	NA	9685	1.5994322893675417E-4	0.12127615	No	
