NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DMD	NA	1128	0.1628318428993225	-0.05684278	No	
row_1	ORC6	NA	1181	0.16141627728939056	-0.04402541	No	
row_2	MEIS2	NA	1441	0.1552230566740036	-0.045257725	No	
row_3	HMGB3	NA	1799	0.14736805856227875	-0.05363537	No	
row_4	HOXC10	NA	2511	0.13418656587600708	-0.086299814	No	
row_5	EFNA5	NA	3610	0.11547090858221054	-0.14594693	No	
row_6	GINS2	NA	3616	0.11539136618375778	-0.13469706	No	
row_7	CDC45	NA	3877	0.11076340824365616	-0.14045374	No	
row_8	PURA	NA	4178	0.10522189736366272	-0.14936112	No	
row_9	TROAP	NA	4304	0.10269521176815033	-0.14716935	No	
row_10	KIF15	NA	4367	0.10169395059347153	-0.14099109	No	
row_11	EGF	NA	4640	0.09628797322511673	-0.14897817	No	
row_12	KIF4A	NA	4701	0.09489069879055023	-0.14335257	No	
row_13	RAD54L	NA	4779	0.0935007855296135	-0.13896918	No	
row_14	CENPF	NA	4797	0.09308107942342758	-0.1307356	No	
row_15	PBK	NA	5198	0.08461741358041763	-0.14819688	No	
row_16	NEK2	NA	5332	0.08190758526325226	-0.14860918	No	
row_17	TTK	NA	5367	0.081015944480896	-0.14268859	No	
row_18	MEIS1	NA	5426	0.07964849472045898	-0.1384621	No	
row_19	POLQ	NA	5431	0.07946126908063889	-0.1307513	No	
row_20	EXO1	NA	5481	0.0783013328909874	-0.12607607	No	
row_21	CCNA2	NA	5601	0.07559411972761154	-0.12621343	No	
row_22	RASAL2	NA	5678	0.07419170439243317	-0.12370196	No	
row_23	ESPL1	NA	5695	0.07376883924007416	-0.117340595	No	
row_24	E2F1	NA	5908	0.06973659247159958	-0.12409857	No	
row_25	KIF23	NA	6073	0.06613712012767792	-0.12810373	No	
row_26	UBE2C	NA	6157	0.06415115296840668	-0.12705348	No	
row_27	KIF2C	NA	6210	0.0629599392414093	-0.12411168	No	
row_28	CDC25A	NA	6315	0.060779158025979996	-0.12476196	No	
row_29	AURKA	NA	6327	0.060515157878398895	-0.119405635	No	
row_30	MKI67	NA	6335	0.06033315882086754	-0.11380807	No	
row_31	KIF20B	NA	6383	0.05896205082535744	-0.11094292	No	
row_32	MAP3K20	NA	6416	0.0582587867975235	-0.10717522	No	
row_33	BRCA2	NA	6539	0.05564234405755997	-0.10950844	No	
row_34	CCND1	NA	6646	0.05322599411010742	-0.111046076	No	
row_35	CENPA	NA	6693	0.052258845418691635	-0.10878841	No	
row_36	TPX2	NA	6711	0.05184250324964523	-0.104691215	No	
row_37	CCNB2	NA	6715	0.05179771035909653	-0.09969031	No	
row_38	PLK4	NA	6854	0.048779863864183426	-0.10374981	No	
row_39	STIL	NA	6876	0.04844401404261589	-0.10025299	No	
row_40	CENPE	NA	6883	0.048346154391765594	-0.095792904	No	
row_41	NDC80	NA	6939	0.04688883572816849	-0.09465772	No	
row_42	NUSAP1	NA	6944	0.046780169010162354	-0.09022497	No	
row_43	SLC7A1	NA	6971	0.04606659337878227	-0.087290965	No	
row_44	CCNF	NA	6992	0.04558522254228592	-0.08401602	No	
row_45	HMMR	NA	7013	0.04522173851728439	-0.08077753	No	
row_46	MAD2L1	NA	7084	0.043946679681539536	-0.08091053	No	
row_47	PLK1	NA	7179	0.041877228766679764	-0.08280803	No	
row_48	MYBL2	NA	7202	0.04150983318686485	-0.08007161	No	
row_49	TRAIP	NA	7225	0.04120364785194397	-0.0773659	No	
row_50	SMC1A	NA	7266	0.040413763374090195	-0.07590711	No	
row_51	TOP1	NA	7295	0.039905618876218796	-0.07372083	No	
row_52	CDK1	NA	7427	0.03733104467391968	-0.07847459	No	
row_53	SLC12A2	NA	7470	0.036620110273361206	-0.07752606	No	
row_54	AURKB	NA	7563	0.03506289795041084	-0.07997732	No	
row_55	CUL1	NA	7643	0.033481303602457047	-0.08174389	No	
row_56	MNAT1	NA	7777	0.030909935012459755	-0.08727146	No	
row_57	KIF11	NA	7784	0.03075438179075718	-0.0845759	No	
row_58	CDC6	NA	7809	0.03034691885113716	-0.083088905	No	
row_59	POLA2	NA	7834	0.029825765639543533	-0.08165418	No	
row_60	UBE2S	NA	7846	0.029595891013741493	-0.07939918	No	
row_61	KNL1	NA	7929	0.028078090399503708	-0.08190233	No	
row_62	BIRC5	NA	7991	0.02680842950940132	-0.083170526	No	
row_63	CDKN3	NA	8026	0.026117954403162003	-0.08275643	No	
row_64	EZH2	NA	8067	0.025514472275972366	-0.082792096	No	
row_65	BUB1	NA	8148	0.024443458765745163	-0.08553007	No	
row_66	CDC20	NA	8367	0.020437093451619148	-0.097622216	No	
row_67	WRN	NA	8386	0.020228587090969086	-0.0967609	No	
row_68	SMC2	NA	8495	0.018559245392680168	-0.101905495	No	
row_69	CHEK1	NA	8535	0.01806223765015602	-0.10262378	No	
row_70	FANCC	NA	8620	0.016775794327259064	-0.10639034	No	
row_71	RBL1	NA	8951	0.010807786136865616	-0.12671399	No	
row_72	PRC1	NA	9071	0.009102054871618748	-0.13352078	No	
row_73	PTTG1	NA	9132	0.008262062445282936	-0.13658437	No	
row_74	SUV39H1	NA	9277	0.006221686024218798	-0.14530186	No	
row_75	CUL5	NA	9284	0.006153089925646782	-0.1450739	No	
row_76	E2F3	NA	9343	0.005215989891439676	-0.1483133	No	
row_77	PRIM2	NA	9349	0.005108012817800045	-0.1481253	No	
row_78	SAP30	NA	9456	0.0037537007592618465	-0.1546252	No	
row_79	FBXO5	NA	9611	0.0012738127261400223	-0.1644877	No	
row_80	DTYMK	NA	9693	9.718717774376273E-5	-0.16973259	No	
row_81	GSPT1	NA	9704	-1.7196312546730042E-4	-0.17036405	No	
row_82	CDC7	NA	9717	-3.1006266362965107E-4	-0.17111142	No	
row_83	SMAD3	NA	9765	-9.67354339081794E-4	-0.17406337	No	
row_84	POLE	NA	9774	-0.0011316288728266954	-0.17446883	No	
row_85	MCM2	NA	9824	-0.0018719875952228904	-0.17745979	No	
row_86	ORC5	NA	9837	-0.0020091524347662926	-0.17803672	No	
row_87	BCL3	NA	9840	-0.002068453235551715	-0.177959	No	
row_88	MAPK14	NA	9879	-0.002606273628771305	-0.1801627	No	
row_89	SLC7A5	NA	9886	-0.00268131447955966	-0.18028298	No	
row_90	PML	NA	9915	-0.003006442915648222	-0.18179785	No	
row_91	UCK2	NA	9932	-0.003213424701243639	-0.18251348	No	
row_92	HUS1	NA	9934	-0.003247002838179469	-0.18225266	No	
row_93	TACC3	NA	9973	-0.00385130662471056	-0.18433149	No	
row_94	CKS1B	NA	10012	-0.004434015601873398	-0.18635187	No	
row_95	E2F2	NA	10065	-0.005320070311427116	-0.18919158	No	
row_96	TFDP1	NA	10103	-0.005840804427862167	-0.19100599	No	
row_97	TGFB1	NA	10212	-0.007192205172032118	-0.19729073	No	
row_98	TOP2A	NA	10268	-0.00798164401203394	-0.2000581	No	
row_99	INCENP	NA	10373	-0.009176867082715034	-0.2058843	No	
row_100	CKS2	NA	10424	-0.009912329725921154	-0.20813365	No	
row_101	STAG1	NA	10617	-0.012360839173197746	-0.2193492	No	
row_102	LMNB1	NA	10902	-0.016226213425397873	-0.23614526	No	
row_103	RACGAP1	NA	10916	-0.01647070236504078	-0.23533651	No	
row_104	SNRPD1	NA	10939	-0.016699641942977905	-0.23508866	No	
row_105	PRMT5	NA	10965	-0.017004771158099174	-0.23500481	No	
row_106	RPS6KA5	NA	10980	-0.017278190702199936	-0.23417994	No	
row_107	KATNA1	NA	11098	-0.01869143545627594	-0.23989512	No	
row_108	SQLE	NA	11153	-0.019439509138464928	-0.24144834	No	
row_109	TNPO2	NA	11313	-0.021799398586153984	-0.2495764	No	
row_110	CDKN2C	NA	11564	-0.025428885594010353	-0.26324376	No	
row_111	HMGA1	NA	11579	-0.02563597448170185	-0.26158056	No	
row_112	DBF4	NA	11584	-0.025719819590449333	-0.25926024	No	
row_113	G3BP1	NA	11606	-0.026100214570760727	-0.2580046	No	
row_114	PDS5B	NA	11622	-0.026248876005411148	-0.25634483	No	
row_115	CHAF1A	NA	11641	-0.026623336598277092	-0.25484207	No	
row_116	MCM6	NA	11741	-0.02799016423523426	-0.25845686	No	
row_117	SLC38A1	NA	11809	-0.02896500565111637	-0.25989798	No	
row_118	LIG3	NA	11934	-0.030614236369729042	-0.26487136	No	
row_119	SMARCC1	NA	12069	-0.032212451100349426	-0.27033314	No	
row_120	RPA2	NA	12181	-0.0337701179087162	-0.27414665	No	
row_121	CASP8AP2	NA	12253	-0.034729380160570145	-0.27526906	No	
row_122	MCM3	NA	12285	-0.03519675135612488	-0.2737497	No	
row_123	RBM14	NA	12341	-0.035902682691812515	-0.27371648	No	
row_124	FOXN3	NA	12572	-0.03963589668273926	-0.28466135	No	
row_125	KPNA2	NA	12640	-0.040769703686237335	-0.2849184	No	
